session_id,user_id,action,action_type,action_detail,device_type,secs_elapsed
1,1122,show,view,user_profile,Mac Desktop,528.0
2,1122,other_hosting_reviews_first,-unknown-,-unknown-,Mac Desktop,541.0
3,1122,ajax_refresh_subtotal,click,change_trip_characteristics,Mac Desktop,156.0
4,1122,index,view,user_wishlists,Mac Desktop,286.0
5,1122,personalize,data,wishlist_content_update,Mac Desktop,1674.0
6,1122,search_results,click,view_search_results,Mac Desktop,37336.0
7,1122,show,view,p3,Mac Desktop,16452.0
8,1122,ajax_refresh_subtotal,click,change_trip_characteristics,Mac Desktop,66.0
9,1122,open_graph_setting,-unknown-,-unknown-,Mac Desktop,22663.0
10,1122,header_userpic,data,header_userpic,Mac Desktop,4.0
11,526,personalize,data,wishlist_content_update,Windows Desktop,1606.0
12,526,index,view,user_wishlists,Windows Desktop,418.0
13,526,my,view,user_wishlists,Windows Desktop,3274.0
14,526,update,submit,update_listing,Windows Desktop,27115.0
15,526,my,view,user_wishlists,Windows Desktop,8839.0
16,526,personalize,data,wishlist_content_update,Windows Desktop,41.0
17,526,personalize,data,wishlist_content_update,Windows Desktop,49.0
18,526,my,view,user_wishlists,Windows Desktop,71.0
19,526,header_userpic,data,header_userpic,Windows Desktop,2910.0
20,526,personalize,data,wishlist_content_update,Windows Desktop,210.0
21,3056,create,submit,create_phone_numbers,Mac Desktop,141460.0
22,3056,search_results,click,view_search_results,Mac Desktop,19140.0
23,3056,verify,-unknown-,-unknown-,Mac Desktop,17868.0
24,3056,personalize,data,wishlist_content_update,Mac Desktop,1072.0
25,3056,personalize,data,wishlist_content_update,Mac Desktop,1306.0
26,3056,index,view,view_search_results,Mac Desktop,7291.0
27,3056,similar_listings,data,similar_listings,Mac Desktop,1080.0
28,3056,search_results,click,view_search_results,Mac Desktop,7918.0
29,3056,show,view,p3,Mac Desktop,4380.0
30,3056,search_results,click,view_search_results,Mac Desktop,9613.0
31,2484,update,submit,update_listing_description,Windows Desktop,39663.0
32,2484,languages_multiselect,-unknown-,-unknown-,Windows Desktop,256194.0
33,2484,update,submit,update_listing_description,Windows Desktop,61693.0
34,2484,update,submit,update_listing_description,Windows Desktop,33404.0
35,2484,manage_listing,view,manage_listing,Windows Desktop,2788.0
36,2484,faq_category,-unknown-,-unknown-,-unknown-,49832.0
37,2484,verify,-unknown-,-unknown-,Windows Desktop,15627.0
38,2484,update,submit,update_listing_description,Windows Desktop,4932.0
39,2484,edit,view,edit_profile,Windows Desktop,87768.0
40,2484,update,submit,update_listing_description,Windows Desktop,96686.0
41,875,update,submit,update_user_profile,Windows Desktop,246391.0
42,875,ajax_refresh_subtotal,click,change_trip_characteristics,Windows Desktop,539.0
43,875,similar_listings,data,similar_listings,Windows Desktop,166.0
44,875,similar_listings,data,similar_listings,Windows Desktop,231.0
45,875,personalize,data,wishlist_content_update,Windows Desktop,999.0
46,875,update,submit,update_listing,Windows Desktop,87704.0
47,875,show,view,p3,Windows Desktop,7660.0
48,875,update,submit,update_listing,Windows Desktop,6318.0
49,875,open_graph_setting,-unknown-,-unknown-,Windows Desktop,2705.0
50,875,personalize,data,wishlist_content_update,Windows Desktop,657.0
51,616,edit,view,edit_profile,Mac Desktop,14784.0
52,616,ask_question,submit,contact_host,Mac Desktop,826.0
53,616,create,submit,create_phone_numbers,Mac Desktop,427884.0
54,616,edit,view,edit_profile,Mac Desktop,6.0
55,616,header_userpic,data,header_userpic,Mac Desktop,1621.0
56,616,confirm_email,click,confirm_email_link,Mac Desktop,118456.0
57,616,edit,view,edit_profile,Mac Desktop,1234.0
58,616,update,submit,update_user_profile,Mac Desktop,296295.0
59,616,edit_verification,view,profile_verifications,Mac Desktop,10055.0
60,616,dashboard,view,dashboard,Mac Desktop,674.0
61,1640,ajax_get_referrals_amt,-unknown-,-unknown-,iPad Tablet,56990.0
62,1640,ajax_check_dates,click,change_contact_host_dates,iPad Tablet,385601.0
63,1640,update,submit,update_listing,iPad Tablet,14718.0
64,1640,ajax_check_dates,click,change_contact_host_dates,iPad Tablet,2016.0
65,1640,new,view,list_your_space,iPad Tablet,11777.0
66,1640,ajax_refresh_subtotal,click,change_trip_characteristics,iPad Tablet,43.0
67,1640,ajax_get_referrals_amt,-unknown-,-unknown-,iPad Tablet,202605.0
68,1640,ask_question,submit,contact_host,iPad Tablet,744.0
69,1640,ajax_refresh_subtotal,click,change_trip_characteristics,iPad Tablet,20.0
70,1640,populate_help_dropdown,-unknown-,-unknown-,iPad Tablet,18955.0
71,1563,show,view,user_profile,Mac Desktop,54841.0
72,1563,show,view,p3,Mac Desktop,6534.0
73,1563,similar_listings,data,similar_listings,Mac Desktop,211.0
74,1563,personalize,data,wishlist_content_update,Mac Desktop,1449.0
75,1563,verify,-unknown-,-unknown-,Mac Desktop,15261.0
76,1563,show,view,p3,Mac Desktop,80482.0
77,1563,personalize,data,wishlist_content_update,Mac Desktop,1660.0
78,1563,ajax_refresh_subtotal,click,change_trip_characteristics,Mac Desktop,15.0
79,1563,index,view,view_search_results,Mac Desktop,69525.0
80,1563,ajax_refresh_subtotal,click,change_trip_characteristics,Mac Desktop,2.0
81,2781,dashboard,view,dashboard,Mac Desktop,5213.0
82,2781,personalize,data,wishlist_content_update,Mac Desktop,1354.0
83,2781,search_results,click,view_search_results,Mac Desktop,1781.0
84,2781,show,view,user_profile,Mac Desktop,487.0
85,2781,show,view,p3,Mac Desktop,4961.0
86,2781,edit,view,edit_profile,Mac Desktop,86.0
87,2781,index,view,message_thread,Mac Desktop,791.0
88,2781,show_personalize,data,user_profile_content_update,Mac Desktop,1452.0
89,2781,edit_verification,view,profile_verifications,Mac Desktop,1002.0
90,2781,search_results,click,view_search_results,Mac Desktop,2190.0
91,1689,show,view,user_profile,iPhone,134.0
92,1689,active,-unknown-,-unknown-,-unknown-,323.0
93,1689,show,view,p3,iPhone,212.0
94,1689,active,-unknown-,-unknown-,iPhone,203318.0
95,1689,reviews,data,listing_reviews,iPhone,38.0
96,1689,show,view,user_profile,iPhone,5389.0
97,1689,search,click,view_search_results,iPhone,23897.0
98,1689,active,-unknown-,-unknown-,iPhone,61700.0
99,1689,click,click,instant_book,iPhone,46037.0
100,1689,show,view,user_profile,iPhone,59.0
101,2295,message_to_host_change,click,message_to_host_change,Windows Desktop,58076.0
102,2295,show,view,p3,Windows Desktop,2775.0
103,2295,impressions,view,p4,Windows Desktop,49253.0
104,2295,agree_terms_check,-unknown-,-unknown-,Windows Desktop,113006.0
105,2295,header_userpic,data,header_userpic,Windows Desktop,458.0
106,2295,cancellation_policies,view,cancellation_policies,Windows Desktop,451.0
107,2295,cancellation_policies,view,cancellation_policies,Windows Desktop,1252.0
108,2295,show,view,p3,Windows Desktop,906.0
109,2295,impressions,view,p4,Windows Desktop,13098.0
110,2295,show,view,p3,Windows Desktop,2621.0
111,3054,edit_verification,view,profile_verifications,Mac Desktop,42444.0
112,3054,references,view,profile_references,Mac Desktop,2245.0
113,3054,edit,view,edit_profile,Mac Desktop,34589.0
114,3054,reviews_new,-unknown-,-unknown-,Mac Desktop,7718.0
115,3054,edit_verification,view,profile_verifications,Mac Desktop,487880.0
116,2546,ajax_check_dates,click,change_contact_host_dates,Windows Desktop,38.0
117,2546,index,view,view_search_results,Windows Desktop,103411.0
118,2546,similar_listings,data,similar_listings,Windows Desktop,981.0
119,2546,ajax_refresh_subtotal,click,change_trip_characteristics,Windows Desktop,1979.0
120,2546,ask_question,submit,contact_host,Windows Desktop,332.0
121,2546,ajax_refresh_subtotal,click,change_trip_characteristics,Windows Desktop,1330.0
122,2546,ajax_refresh_subtotal,click,change_trip_characteristics,Windows Desktop,983.0
123,2546,show,view,p3,Windows Desktop,280.0
124,2546,personalize,data,wishlist_content_update,Windows Desktop,1061.0
125,2546,ajax_lwlb_contact,click,contact_host,Windows Desktop,59324.0
126,2917,index,view,view_search_results,Mac Desktop,804.0
127,2917,index,view,view_search_results,Mac Desktop,923.0
128,2917,personalize,data,wishlist_content_update,Mac Desktop,1586.0
129,2917,index,view,view_search_results,Mac Desktop,4864.0
130,2917,search_results,click,view_search_results,Mac Desktop,22404.0
131,2917,show,view,p3,iPad Tablet,125697.0
132,2917,ajax_get_referrals_amt,-unknown-,-unknown-,Mac Desktop,43.0
133,2917,show,view,p3,Mac Desktop,507.0
134,2917,index,view,view_search_results,Mac Desktop,29593.0
135,2917,personalize,data,wishlist_content_update,Mac Desktop,836.0
136,1407,search_results,click,view_search_results,Windows Desktop,328.0
137,1407,search_results,click,view_search_results,Windows Desktop,304.0
138,1407,index,view,message_thread,Windows Desktop,680.0
139,1407,search_results,click,view_search_results,Windows Desktop,2623.0
140,1407,index,view,view_search_results,Windows Desktop,18589.0
141,1407,ajax_refresh_subtotal,click,change_trip_characteristics,Windows Desktop,1599.0
142,1407,ask_question,submit,contact_host,Windows Desktop,885.0
143,1407,ajax_refresh_subtotal,click,change_trip_characteristics,Windows Desktop,41.0
144,1407,index,view,message_thread,Windows Desktop,1911.0
145,1407,search_results,click,view_search_results,Windows Desktop,6395.0
146,130,edit_verification,view,profile_verifications,Mac Desktop,867.0
147,130,complete_status,-unknown-,-unknown-,Mac Desktop,608.0
148,130,dashboard,view,dashboard,Mac Desktop,3149.0
149,130,edit,view,edit_profile,Mac Desktop,286.0
150,130,show,view,p3,Mac Desktop,155.0
151,130,requested,view,p5,Mac Desktop,1247.0
152,130,edit_verification,view,profile_verifications,Mac Desktop,888.0
153,130,show,view,p1,Mac Desktop,856465.0
154,130,ajax_refresh_subtotal,click,change_trip_characteristics,Mac Desktop,32.0
155,130,edit,view,edit_profile,Mac Desktop,1025.0
156,1822,search_results,click,view_search_results,Mac Desktop,1922.0
157,1822,show,view,p3,Mac Desktop,366.0
158,1822,confirm_email,click,confirm_email_link,Mac Desktop,35704.0
159,1822,search_results,click,view_search_results,Mac Desktop,1766.0
160,1822,personalize,data,wishlist_content_update,Mac Desktop,488.0
161,1822,search_results,click,view_search_results,Mac Desktop,2067.0
162,1822,personalize,data,wishlist_content_update,Mac Desktop,2354.0
163,1822,personalize,data,wishlist_content_update,Mac Desktop,3228.0
164,1822,search_results,click,view_search_results,Mac Desktop,357.0
165,1822,show,view,p3,Mac Desktop,299.0
166,328,update,submit,update_listing_description,Mac Desktop,2632.0
167,328,update,submit,update_listing,Mac Desktop,23529.0
168,328,update,submit,update_listing,Mac Desktop,8270.0
169,328,manage_listing,view,manage_listing,Mac Desktop,291.0
170,328,header_userpic,data,header_userpic,Mac Desktop,643.0
171,328,update,submit,update_listing_description,Mac Desktop,12395.0
172,328,update,submit,update_listing_description,Mac Desktop,40516.0
173,328,update,submit,update_listing_description,Mac Desktop,0.0
174,328,header_userpic,data,header_userpic,Mac Desktop,3206.0
175,328,index,view,listing_descriptions,Mac Desktop,5013.0
176,3255,social_connections,data,user_social_connections,iPad Tablet,48.0
177,3255,show,view,user_profile,iPad Tablet,110.0
178,3255,search,click,view_search_results,iPad Tablet,29360.0
179,3255,show,view,user_profile,iPad Tablet,34.0
180,3255,search,click,view_search_results,iPad Tablet,20384.0
181,3255,social_connections,data,user_social_connections,iPad Tablet,23.0
182,3255,show,view,user_profile,iPad Tablet,73.0
183,3255,show,view,p3,iPad Tablet,273.0
184,3255,search,click,view_search_results,iPad Tablet,1261.0
185,3255,search,click,view_search_results,iPad Tablet,3101.0
186,1694,payout_preferences,view,account_payout_preferences,Windows Desktop,10.0
187,1694,requested,view,p5,Windows Desktop,669.0
188,1694,requested,view,p5,Windows Desktop,884.0
189,1694,index,data,user_tax_forms,Windows Desktop,838.0
190,1694,notifications,view,account_notification_settings,Windows Desktop,3056.0
191,1694,settings,-unknown-,-unknown-,Windows Desktop,0.0
192,1694,active,-unknown-,-unknown-,-unknown-,57246.0
