user_id,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
1,MALE,54.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,other
2,MALE,35.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
3,MALE,44.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,DE
4,-unknown-,105.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
5,FEMALE,29.0,basic,24,en,direct,direct,linked,Moweb,iPhone,Mobile Safari,US
6,FEMALE,31.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,FR
7,-unknown-,68.0,basic,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Safari,other
8,-unknown-,41.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Firefox,US
9,FEMALE,31.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
10,MALE,30.0,facebook,0,en,other,other,marketing,Web,Mac Desktop,Chrome,other
11,-unknown-,28.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
12,FEMALE,53.0,basic,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Safari,ES
13,-unknown-,33.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
14,MALE,22.0,facebook,0,en,seo,google,linked,Web,Windows Desktop,Chrome,US
15,MALE,47.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
16,FEMALE,28.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US
17,MALE,31.0,basic,0,en,seo,google,linked,Web,Windows Desktop,Firefox,other
18,-unknown-,43.0,basic,0,en,sem-brand,google,untracked,Web,Mac Desktop,Safari,FR
19,-unknown-,29.0,basic,0,en,other,padmapper,tracked-other,Web,Windows Desktop,Chrome,US
20,FEMALE,25.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
21,-unknown-,42.0,basic,0,en,direct,direct,untracked,Web,Android Tablet,IE,US
22,MALE,29.0,facebook,12,en,direct,direct,untracked,iOS,iPhone,-unknown-,US
23,MALE,50.0,facebook,0,it,direct,direct,untracked,Web,Windows Desktop,Chrome,IT
24,-unknown-,50.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,FR
25,-unknown-,40.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
26,MALE,35.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,FR
27,FEMALE,44.0,basic,0,en,seo,google,untracked,Web,Windows Desktop,Chrome,US
28,FEMALE,20.0,basic,0,en,seo,google,linked,Web,Mac Desktop,Chrome,US
29,MALE,57.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
30,MALE,32.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,US
31,-unknown-,27.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,US
32,-unknown-,105.0,basic,25,en,direct,direct,untracked,iOS,iPhone,-unknown-,FR
33,MALE,36.0,basic,0,en,sem-non-brand,google,omg,Web,Windows Desktop,IE,US
34,FEMALE,26.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
35,MALE,36.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
36,MALE,27.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
37,FEMALE,28.0,basic,0,en,content,google,omg,Web,Mac Desktop,Safari,CA
38,-unknown-,34.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Firefox,US
39,MALE,23.0,facebook,0,en,direct,direct,tracked-other,Web,Mac Desktop,Safari,other
40,FEMALE,26.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,IT
41,MALE,26.0,basic,0,fr,seo,google,linked,Web,Windows Desktop,Firefox,US
42,-unknown-,32.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Firefox,other
43,MALE,27.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,other
44,MALE,28.0,basic,23,en,direct,direct,untracked,Android,Other/Unknown,-unknown-,other
45,MALE,33.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,IT
46,-unknown-,32.0,basic,0,en,direct,direct,untracked,Web,iPad,Chrome Mobile,US
47,-unknown-,30.0,basic,25,en,direct,direct,untracked,iOS,iPhone,-unknown-,US
48,MALE,35.0,facebook,24,en,direct,direct,untracked,iOS,iPhone,-unknown-,US
49,-unknown-,45.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
50,MALE,50.0,facebook,12,en,api,other,untracked,iOS,iPhone,-unknown-,US
51,FEMALE,29.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
52,MALE,44.0,facebook,0,en,direct,direct,omg,Web,Mac Desktop,Safari,FR
53,MALE,49.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NL
54,MALE,26.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,other
55,MALE,47.0,facebook,0,en,direct,direct,linked,Web,iPad,Mobile Safari,US
56,FEMALE,26.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,CA
57,MALE,20.0,facebook,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Safari,other
58,MALE,37.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
59,-unknown-,25.0,basic,0,en,seo,google,linked,Web,Mac Desktop,Chrome,US
60,FEMALE,35.0,basic,25,en,direct,direct,untracked,iOS,iPhone,-unknown-,US
61,-unknown-,37.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,US
62,-unknown-,105.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,other
63,MALE,26.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
64,MALE,28.0,basic,0,en,direct,direct,untracked,Web,iPad,Mobile Safari,other
65,FEMALE,28.0,facebook,25,en,direct,direct,untracked,iOS,iPhone,-unknown-,US
66,FEMALE,58.0,basic,0,en,direct,direct,omg,Web,Mac Desktop,Safari,US
67,FEMALE,24.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
68,-unknown-,26.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
69,MALE,34.0,facebook,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,IT
70,-unknown-,49.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Firefox,US
71,FEMALE,64.0,basic,0,en,sem-brand,google,omg,Web,iPad,Mobile Safari,US
72,FEMALE,22.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
73,-unknown-,44.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,FR
74,FEMALE,23.0,basic,0,en,sem-brand,google,linked,Web,Windows Desktop,Chrome,US
75,FEMALE,28.0,basic,0,en,direct,direct,untracked,Web,iPad,Mobile Safari,US
76,MALE,41.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
77,MALE,37.0,facebook,12,en,api,other,untracked,Android,Other/Unknown,-unknown-,US
78,-unknown-,30.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
79,FEMALE,25.0,basic,23,en,direct,direct,untracked,Android,Other/Unknown,-unknown-,US
80,MALE,29.0,facebook,0,en,sem-non-brand,google,tracked-other,Web,Mac Desktop,Safari,DE
81,FEMALE,56.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,US
82,MALE,37.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
83,FEMALE,58.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
84,MALE,24.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,GB
85,FEMALE,52.0,basic,0,en,sem-brand,google,linked,Web,Mac Desktop,Safari,IT
