session_id,user_id,action,action_type,action_detail,device_type,secs_elapsed
1,1122,158.0,7.0,92.0,6.0,528.0
2,1122,107.0,0.0,0.0,6.0,541.0
3,1122,23.0,2.0,17.0,6.0,156.0
4,1122,81.0,7.0,97.0,6.0,286.0
5,1122,118.0,3.0,101.0,6.0,1674.0
6,1122,154.0,2.0,99.0,6.0,37336.0
7,1122,158.0,7.0,57.0,6.0,16452.0
8,1122,23.0,2.0,17.0,6.0,66.0
9,1122,105.0,0.0,0.0,6.0,22663.0
10,1122,74.0,3.0,34.0,6.0,4.0
11,526,118.0,3.0,101.0,8.0,1606.0
12,526,81.0,7.0,97.0,8.0,418.0
13,526,100.0,7.0,97.0,8.0,3274.0
14,526,183.0,6.0,85.0,8.0,27115.0
15,526,100.0,7.0,97.0,8.0,8839.0
16,526,118.0,3.0,101.0,8.0,41.0
17,526,118.0,3.0,101.0,8.0,49.0
18,526,100.0,7.0,97.0,8.0,71.0
19,526,74.0,3.0,34.0,8.0,2910.0
20,526,118.0,3.0,101.0,8.0,210.0
21,3056,54.0,6.0,24.0,6.0,141460.0
22,3056,154.0,2.0,99.0,6.0,19140.0
23,3056,187.0,0.0,0.0,6.0,17868.0
24,3056,118.0,3.0,101.0,6.0,1072.0
25,3056,118.0,3.0,101.0,6.0,1306.0
26,3056,81.0,7.0,99.0,6.0,7291.0
27,3056,165.0,3.0,78.0,6.0,1080.0
28,3056,154.0,2.0,99.0,6.0,7918.0
29,3056,158.0,7.0,57.0,6.0,4380.0
30,3056,154.0,2.0,99.0,6.0,9613.0
31,2484,183.0,6.0,86.0,8.0,39663.0
32,2484,89.0,0.0,0.0,8.0,256194.0
33,2484,183.0,6.0,86.0,8.0,61693.0
34,2484,183.0,6.0,86.0,8.0,33404.0
35,2484,94.0,7.0,47.0,8.0,2788.0
36,2484,66.0,0.0,0.0,0.0,49832.0
37,2484,187.0,0.0,0.0,8.0,15627.0
38,2484,183.0,6.0,86.0,8.0,4932.0
39,2484,60.0,7.0,28.0,8.0,87768.0
40,2484,183.0,6.0,86.0,8.0,96686.0
41,875,183.0,6.0,88.0,8.0,246391.0
42,875,23.0,2.0,17.0,8.0,539.0
43,875,165.0,3.0,78.0,8.0,166.0
44,875,165.0,3.0,78.0,8.0,231.0
45,875,118.0,3.0,101.0,8.0,999.0
46,875,183.0,6.0,85.0,8.0,87704.0
47,875,158.0,7.0,57.0,8.0,7660.0
48,875,183.0,6.0,85.0,8.0,6318.0
49,875,105.0,0.0,0.0,8.0,2705.0
50,875,118.0,3.0,101.0,8.0,657.0
51,616,60.0,7.0,28.0,6.0,14784.0
52,616,31.0,6.0,20.0,6.0,826.0
53,616,54.0,6.0,24.0,6.0,427884.0
54,616,60.0,7.0,28.0,6.0,6.0
55,616,74.0,3.0,34.0,6.0,1621.0
56,616,49.0,2.0,19.0,6.0,118456.0
57,616,60.0,7.0,28.0,6.0,1234.0
58,616,183.0,6.0,88.0,6.0,296295.0
59,616,61.0,7.0,68.0,6.0,10055.0
60,616,56.0,7.0,26.0,6.0,674.0
61,1640,10.0,0.0,0.0,10.0,56990.0
62,1640,9.0,2.0,14.0,10.0,385601.0
63,1640,183.0,6.0,85.0,10.0,14718.0
64,1640,9.0,2.0,14.0,10.0,2016.0
65,1640,102.0,7.0,38.0,10.0,11777.0
66,1640,23.0,2.0,17.0,10.0,43.0
67,1640,10.0,0.0,0.0,10.0,202605.0
68,1640,31.0,6.0,20.0,10.0,744.0
69,1640,23.0,2.0,17.0,10.0,20.0
70,1640,127.0,0.0,0.0,10.0,18955.0
71,1563,158.0,7.0,92.0,6.0,54841.0
72,1563,158.0,7.0,57.0,6.0,6534.0
73,1563,165.0,3.0,78.0,6.0,211.0
74,1563,118.0,3.0,101.0,6.0,1449.0
75,1563,187.0,0.0,0.0,6.0,15261.0
76,1563,158.0,7.0,57.0,6.0,80482.0
77,1563,118.0,3.0,101.0,6.0,1660.0
78,1563,23.0,2.0,17.0,6.0,15.0
79,1563,81.0,7.0,99.0,6.0,69525.0
80,1563,23.0,2.0,17.0,6.0,2.0
81,2781,56.0,7.0,26.0,6.0,5213.0
82,2781,118.0,3.0,101.0,6.0,1354.0
83,2781,154.0,2.0,99.0,6.0,1781.0
84,2781,158.0,7.0,92.0,6.0,487.0
85,2781,158.0,7.0,57.0,6.0,4961.0
86,2781,60.0,7.0,28.0,6.0,86.0
87,2781,81.0,7.0,50.0,6.0,791.0
88,2781,159.0,3.0,93.0,6.0,1452.0
89,2781,61.0,7.0,68.0,6.0,1002.0
90,2781,154.0,2.0,99.0,6.0,2190.0
91,1689,158.0,7.0,92.0,11.0,134.0
92,1689,6.0,0.0,0.0,0.0,323.0
93,1689,158.0,7.0,57.0,11.0,212.0
94,1689,6.0,0.0,0.0,11.0,203318.0
95,1689,150.0,3.0,41.0,11.0,38.0
96,1689,158.0,7.0,92.0,11.0,5389.0
97,1689,153.0,2.0,99.0,11.0,23897.0
98,1689,6.0,0.0,0.0,11.0,61700.0
99,1689,43.0,2.0,37.0,11.0,46037.0
100,1689,158.0,7.0,92.0,11.0,59.0
101,2295,95.0,2.0,51.0,8.0,58076.0
102,2295,158.0,7.0,57.0,8.0,2775.0
103,2295,80.0,7.0,58.0,8.0,49253.0
104,2295,7.0,0.0,0.0,8.0,113006.0
105,2295,74.0,3.0,34.0,8.0,458.0
106,2295,39.0,7.0,12.0,8.0,451.0
107,2295,39.0,7.0,12.0,8.0,1252.0
108,2295,158.0,7.0,57.0,8.0,906.0
109,2295,80.0,7.0,58.0,8.0,13098.0
110,2295,158.0,7.0,57.0,8.0,2621.0
111,3054,61.0,7.0,68.0,6.0,42444.0
112,3054,143.0,7.0,67.0,6.0,2245.0
113,3054,60.0,7.0,28.0,6.0,34589.0
114,3054,151.0,0.0,0.0,6.0,7718.0
115,3054,61.0,7.0,68.0,6.0,487880.0
116,2546,9.0,2.0,14.0,8.0,38.0
117,2546,81.0,7.0,99.0,8.0,103411.0
118,2546,165.0,3.0,78.0,8.0,981.0
119,2546,23.0,2.0,17.0,8.0,1979.0
120,2546,31.0,6.0,20.0,8.0,332.0
121,2546,23.0,2.0,17.0,8.0,1330.0
122,2546,23.0,2.0,17.0,8.0,983.0
123,2546,158.0,7.0,57.0,8.0,280.0
124,2546,118.0,3.0,101.0,8.0,1061.0
125,2546,16.0,2.0,20.0,8.0,59324.0
126,2917,81.0,7.0,99.0,6.0,804.0
127,2917,81.0,7.0,99.0,6.0,923.0
128,2917,118.0,3.0,101.0,6.0,1586.0
129,2917,81.0,7.0,99.0,6.0,4864.0
130,2917,154.0,2.0,99.0,6.0,22404.0
131,2917,158.0,7.0,57.0,10.0,125697.0
132,2917,10.0,0.0,0.0,6.0,43.0
133,2917,158.0,7.0,57.0,6.0,507.0
134,2917,81.0,7.0,99.0,6.0,29593.0
135,2917,118.0,3.0,101.0,6.0,836.0
136,1407,154.0,2.0,99.0,8.0,328.0
137,1407,154.0,2.0,99.0,8.0,304.0
138,1407,81.0,7.0,50.0,8.0,680.0
139,1407,154.0,2.0,99.0,8.0,2623.0
140,1407,81.0,7.0,99.0,8.0,18589.0
141,1407,23.0,2.0,17.0,8.0,1599.0
142,1407,31.0,6.0,20.0,8.0,885.0
143,1407,23.0,2.0,17.0,8.0,41.0
144,1407,81.0,7.0,50.0,8.0,1911.0
145,1407,154.0,2.0,99.0,8.0,6395.0
146,130,61.0,7.0,68.0,6.0,867.0
147,130,47.0,0.0,0.0,6.0,608.0
148,130,56.0,7.0,26.0,6.0,3149.0
149,130,60.0,7.0,28.0,6.0,286.0
150,130,158.0,7.0,57.0,6.0,155.0
151,130,147.0,7.0,60.0,6.0,1247.0
152,130,61.0,7.0,68.0,6.0,888.0
153,130,158.0,7.0,56.0,6.0,856465.0
154,130,23.0,2.0,17.0,6.0,32.0
155,130,60.0,7.0,28.0,6.0,1025.0
156,1822,154.0,2.0,99.0,6.0,1922.0
157,1822,158.0,7.0,57.0,6.0,366.0
158,1822,49.0,2.0,19.0,6.0,35704.0
159,1822,154.0,2.0,99.0,6.0,1766.0
160,1822,118.0,3.0,101.0,6.0,488.0
161,1822,154.0,2.0,99.0,6.0,2067.0
162,1822,118.0,3.0,101.0,6.0,2354.0
163,1822,118.0,3.0,101.0,6.0,3228.0
164,1822,154.0,2.0,99.0,6.0,357.0
165,1822,158.0,7.0,57.0,6.0,299.0
166,328,183.0,6.0,86.0,6.0,2632.0
167,328,183.0,6.0,85.0,6.0,23529.0
168,328,183.0,6.0,85.0,6.0,8270.0
169,328,94.0,7.0,47.0,6.0,291.0
170,328,74.0,3.0,34.0,6.0,643.0
171,328,183.0,6.0,86.0,6.0,12395.0
172,328,183.0,6.0,86.0,6.0,40516.0
173,328,183.0,6.0,86.0,6.0,0.0
174,328,74.0,3.0,34.0,6.0,3206.0
175,328,81.0,7.0,39.0,6.0,5013.0
176,3255,166.0,3.0,95.0,10.0,48.0
177,3255,158.0,7.0,92.0,10.0,110.0
178,3255,153.0,2.0,99.0,10.0,29360.0
179,3255,158.0,7.0,92.0,10.0,34.0
180,3255,153.0,2.0,99.0,10.0,20384.0
181,3255,166.0,3.0,95.0,10.0,23.0
182,3255,158.0,7.0,92.0,10.0,73.0
183,3255,158.0,7.0,57.0,10.0,273.0
184,3255,153.0,2.0,99.0,10.0,1261.0
185,3255,153.0,2.0,99.0,10.0,3101.0
186,1694,114.0,7.0,2.0,8.0,10.0
187,1694,147.0,7.0,60.0,8.0,669.0
188,1694,147.0,7.0,60.0,8.0,884.0
189,1694,81.0,3.0,96.0,8.0,838.0
190,1694,103.0,7.0,1.0,8.0,3056.0
191,1694,157.0,0.0,0.0,8.0,0.0
192,1694,6.0,0.0,0.0,0.0,57246.0
193,1694,74.0,3.0,34.0,8.0,2679.0
194,1694,134.0,6.0,73.0,8.0,1354.0
195,1694,56.0,7.0,26.0,8.0,1470.0
196,2692,118.0,3.0,101.0,6.0,585.0
197,2692,158.0,7.0,57.0,6.0,669.0
198,2692,118.0,3.0,101.0,6.0,18.0
199,2692,118.0,3.0,101.0,6.0,918.0
200,2692,19.0,0.0,0.0,6.0,599.0
201,2692,158.0,7.0,57.0,6.0,438.0
202,2692,165.0,3.0,78.0,6.0,638.0
203,2692,133.0,7.0,50.0,6.0,959.0
204,2692,81.0,7.0,50.0,6.0,729.0
205,2692,158.0,7.0,57.0,6.0,181.0
206,1789,74.0,3.0,34.0,7.0,405.0
207,1789,23.0,2.0,17.0,7.0,17.0
208,1789,9.0,2.0,14.0,7.0,114446.0
209,1789,56.0,7.0,26.0,11.0,830.0
210,1789,56.0,7.0,26.0,11.0,1019.0
211,1789,74.0,3.0,34.0,11.0,1795.0
212,1789,165.0,3.0,78.0,7.0,103.0
213,1789,74.0,3.0,34.0,7.0,136.0
214,1789,142.0,0.0,0.0,7.0,57.0
215,1789,49.0,2.0,19.0,11.0,386780.0
216,3024,181.0,3.0,84.0,11.0,700.0
217,3024,158.0,7.0,92.0,11.0,0.0
218,3024,6.0,0.0,0.0,11.0,167.0
219,3024,153.0,2.0,99.0,11.0,3846.0
220,3024,158.0,0.0,0.0,11.0,640.0
221,3024,153.0,2.0,99.0,11.0,34067.0
222,3024,183.0,6.0,87.0,11.0,1684.0
223,3024,158.0,7.0,92.0,11.0,1613.0
224,3024,81.0,7.0,48.0,11.0,48.0
225,3024,153.0,2.0,99.0,11.0,200900.0
226,1048,107.0,0.0,0.0,6.0,157.0
227,1048,81.0,7.0,99.0,6.0,2569.0
228,1048,23.0,2.0,17.0,6.0,1184.0
229,1048,118.0,3.0,101.0,6.0,62.0
230,1048,118.0,3.0,101.0,6.0,854.0
231,1048,23.0,2.0,17.0,6.0,1921.0
232,1048,165.0,3.0,78.0,6.0,0.0
233,1048,165.0,3.0,78.0,6.0,15.0
234,1048,118.0,3.0,101.0,6.0,5846.0
235,1048,118.0,3.0,101.0,6.0,944.0
236,3130,31.0,6.0,20.0,6.0,682.0
237,3130,118.0,3.0,101.0,6.0,131.0
238,3130,142.0,0.0,0.0,6.0,147.0
239,3130,56.0,7.0,26.0,6.0,878.0
240,3130,158.0,7.0,57.0,6.0,188.0
241,3130,158.0,7.0,57.0,6.0,47.0
242,3130,118.0,3.0,101.0,6.0,731.0
243,3130,118.0,3.0,101.0,6.0,57324.0
244,3130,81.0,7.0,99.0,6.0,703.0
245,3130,23.0,2.0,17.0,6.0,530.0
246,1905,154.0,2.0,99.0,6.0,41814.0
247,1905,154.0,2.0,99.0,6.0,274.0
248,1905,23.0,2.0,17.0,6.0,653.0
249,1905,158.0,7.0,57.0,6.0,11132.0
250,1905,158.0,7.0,57.0,6.0,7640.0
251,1905,165.0,3.0,78.0,6.0,86.0
252,1905,81.0,7.0,99.0,6.0,22710.0
253,1905,118.0,3.0,101.0,6.0,631.0
254,1905,183.0,6.0,85.0,6.0,261106.0
255,1905,23.0,2.0,17.0,6.0,599.0
256,155,49.0,2.0,19.0,2.0,23718.0
257,155,10.0,0.0,0.0,8.0,98805.0
258,155,74.0,3.0,34.0,8.0,215.0
259,155,33.0,6.0,43.0,8.0,1480405.0
260,155,31.0,6.0,20.0,8.0,508.0
261,155,133.0,7.0,50.0,8.0,39161.0
262,155,74.0,3.0,34.0,8.0,399.0
263,155,187.0,0.0,0.0,8.0,19235.0
264,155,56.0,7.0,26.0,2.0,373.0
265,155,33.0,6.0,43.0,8.0,11760.0
266,2027,165.0,3.0,78.0,6.0,663.0
