session_id,user_id,action,action_type,action_detail,device_type,secs_elapsed
21,3056,54.0,6.0,24.0,6.0,141460.0
22,3056,154.0,2.0,99.0,6.0,19140.0
23,3056,187.0,0.0,0.0,6.0,17868.0
24,3056,118.0,3.0,101.0,6.0,1072.0
25,3056,118.0,3.0,101.0,6.0,1306.0
26,3056,81.0,7.0,99.0,6.0,7291.0
27,3056,165.0,3.0,78.0,6.0,1080.0
28,3056,154.0,2.0,99.0,6.0,7918.0
29,3056,158.0,7.0,57.0,6.0,4380.0
30,3056,154.0,2.0,99.0,6.0,9613.0
61,1640,10.0,0.0,0.0,10.0,56990.0
62,1640,9.0,2.0,14.0,10.0,385601.0
63,1640,183.0,6.0,85.0,10.0,14718.0
64,1640,9.0,2.0,14.0,10.0,2016.0
65,1640,102.0,7.0,38.0,10.0,11777.0
66,1640,23.0,2.0,17.0,10.0,43.0
67,1640,10.0,0.0,0.0,10.0,202605.0
68,1640,31.0,6.0,20.0,10.0,744.0
69,1640,23.0,2.0,17.0,10.0,20.0
70,1640,127.0,0.0,0.0,10.0,18955.0
91,1689,158.0,7.0,92.0,11.0,134.0
92,1689,6.0,0.0,0.0,0.0,323.0
93,1689,158.0,7.0,57.0,11.0,212.0
94,1689,6.0,0.0,0.0,11.0,203318.0
95,1689,150.0,3.0,41.0,11.0,38.0
96,1689,158.0,7.0,92.0,11.0,5389.0
97,1689,153.0,2.0,99.0,11.0,23897.0
98,1689,6.0,0.0,0.0,11.0,61700.0
99,1689,43.0,2.0,37.0,11.0,46037.0
100,1689,158.0,7.0,92.0,11.0,59.0
126,2917,81.0,7.0,99.0,6.0,804.0
127,2917,81.0,7.0,99.0,6.0,923.0
128,2917,118.0,3.0,101.0,6.0,1586.0
129,2917,81.0,7.0,99.0,6.0,4864.0
130,2917,154.0,2.0,99.0,6.0,22404.0
131,2917,158.0,7.0,57.0,10.0,125697.0
132,2917,10.0,0.0,0.0,6.0,43.0
133,2917,158.0,7.0,57.0,6.0,507.0
134,2917,81.0,7.0,99.0,6.0,29593.0
135,2917,118.0,3.0,101.0,6.0,836.0
146,130,61.0,7.0,68.0,6.0,867.0
147,130,47.0,0.0,0.0,6.0,608.0
148,130,56.0,7.0,26.0,6.0,3149.0
149,130,60.0,7.0,28.0,6.0,286.0
150,130,158.0,7.0,57.0,6.0,155.0
151,130,147.0,7.0,60.0,6.0,1247.0
152,130,61.0,7.0,68.0,6.0,888.0
153,130,158.0,7.0,56.0,6.0,856465.0
154,130,23.0,2.0,17.0,6.0,32.0
155,130,60.0,7.0,28.0,6.0,1025.0
156,1822,154.0,2.0,99.0,6.0,1922.0
157,1822,158.0,7.0,57.0,6.0,366.0
158,1822,49.0,2.0,19.0,6.0,35704.0
159,1822,154.0,2.0,99.0,6.0,1766.0
160,1822,118.0,3.0,101.0,6.0,488.0
161,1822,154.0,2.0,99.0,6.0,2067.0
162,1822,118.0,3.0,101.0,6.0,2354.0
163,1822,118.0,3.0,101.0,6.0,3228.0
164,1822,154.0,2.0,99.0,6.0,357.0
165,1822,158.0,7.0,57.0,6.0,299.0
186,1694,114.0,7.0,2.0,8.0,10.0
187,1694,147.0,7.0,60.0,8.0,669.0
188,1694,147.0,7.0,60.0,8.0,884.0
189,1694,81.0,3.0,96.0,8.0,838.0
190,1694,103.0,7.0,1.0,8.0,3056.0
191,1694,157.0,0.0,0.0,8.0,0.0
192,1694,6.0,0.0,0.0,0.0,57246.0
193,1694,74.0,3.0,34.0,8.0,2679.0
194,1694,134.0,6.0,73.0,8.0,1354.0
195,1694,56.0,7.0,26.0,8.0,1470.0
206,1789,74.0,3.0,34.0,7.0,405.0
207,1789,23.0,2.0,17.0,7.0,17.0
208,1789,9.0,2.0,14.0,7.0,114446.0
209,1789,56.0,7.0,26.0,11.0,830.0
210,1789,56.0,7.0,26.0,11.0,1019.0
211,1789,74.0,3.0,34.0,11.0,1795.0
212,1789,165.0,3.0,78.0,7.0,103.0
213,1789,74.0,3.0,34.0,7.0,136.0
214,1789,142.0,0.0,0.0,7.0,57.0
215,1789,49.0,2.0,19.0,11.0,386780.0
216,3024,181.0,3.0,84.0,11.0,700.0
217,3024,158.0,7.0,92.0,11.0,0.0
218,3024,6.0,0.0,0.0,11.0,167.0
