user_id,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
2,2.0,35.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
4,0.0,105.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
9,1.0,31.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
18,0.0,43.0,0.0,0,2.0,5.0,6.0,6.0,2.0,3.0,13.0,4.0
19,0.0,29.0,0.0,0,2.0,3.0,10.0,5.0,2.0,6.0,5.0,9.0
29,2.0,57.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
30,2.0,32.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,9.0,9.0
35,2.0,36.0,1.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
46,0.0,32.0,0.0,0,2.0,2.0,2.0,6.0,2.0,7.0,6.0,9.0
48,2.0,35.0,1.0,24,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
49,0.0,45.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,5.0,9.0
51,1.0,29.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
68,0.0,26.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
69,2.0,34.0,1.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,6.0
71,1.0,64.0,0.0,0,2.0,5.0,6.0,3.0,2.0,7.0,11.0,9.0
74,1.0,23.0,0.0,0,2.0,5.0,6.0,0.0,2.0,6.0,5.0,9.0
76,2.0,41.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
78,0.0,30.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,9.0
79,1.0,25.0,0.0,23,2.0,2.0,2.0,6.0,0.0,4.0,0.0,9.0
81,1.0,56.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,8.0,9.0
84,2.0,24.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,5.0
85,1.0,52.0,0.0,0,2.0,5.0,6.0,0.0,2.0,3.0,13.0,6.0
88,1.0,25.0,0.0,0,2.0,4.0,6.0,0.0,2.0,3.0,13.0,9.0
89,1.0,37.0,1.0,0,2.0,5.0,1.0,3.0,2.0,1.0,9.0,9.0
95,1.0,44.0,1.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
100,2.0,44.0,0.0,0,2.0,5.0,6.0,3.0,2.0,7.0,6.0,9.0
101,2.0,33.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,8.0,9.0
107,2.0,33.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
109,2.0,29.0,0.0,0,2.0,2.0,2.0,4.0,2.0,6.0,9.0,9.0
110,1.0,39.0,1.0,0,2.0,2.0,2.0,0.0,2.0,6.0,8.0,9.0
114,1.0,28.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,13.0,9.0
117,0.0,33.0,0.0,0,2.0,7.0,6.0,0.0,2.0,3.0,5.0,9.0
120,1.0,25.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,9.0,9.0
121,2.0,19.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,9.0,9.0
124,1.0,22.0,0.0,0,2.0,2.0,2.0,0.0,2.0,6.0,9.0,9.0
126,1.0,26.0,1.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
130,2.0,26.0,1.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
131,0.0,34.0,0.0,0,2.0,6.0,6.0,0.0,2.0,6.0,5.0,9.0
132,1.0,37.0,0.0,0,2.0,4.0,6.0,0.0,2.0,6.0,8.0,4.0
133,1.0,27.0,1.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,4.0
134,1.0,30.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
136,2.0,30.0,1.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,9.0
141,2.0,29.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,3.0
147,1.0,32.0,1.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
148,0.0,36.0,0.0,0,2.0,6.0,6.0,0.0,2.0,6.0,8.0,9.0
154,2.0,30.0,1.0,0,2.0,4.0,6.0,6.0,2.0,8.0,0.0,10.0
158,2.0,36.0,1.0,12,2.0,0.0,9.0,6.0,3.0,8.0,11.0,9.0
159,1.0,25.0,1.0,0,2.0,2.0,2.0,6.0,2.0,7.0,11.0,9.0
166,0.0,37.0,0.0,0,2.0,5.0,6.0,5.0,2.0,3.0,13.0,4.0
167,1.0,69.0,0.0,0,2.0,7.0,6.0,0.0,2.0,6.0,5.0,9.0
169,1.0,37.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
171,2.0,31.0,0.0,0,2.0,2.0,2.0,0.0,2.0,6.0,8.0,9.0
175,1.0,28.0,0.0,0,2.0,2.0,2.0,6.0,2.0,2.0,5.0,9.0
176,1.0,55.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,5.0
178,2.0,26.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,13.0,9.0
179,0.0,27.0,0.0,0,2.0,5.0,6.0,6.0,2.0,3.0,5.0,9.0
186,0.0,30.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,4.0
187,2.0,105.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,9.0,9.0
192,1.0,22.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,10.0
193,1.0,46.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
196,2.0,30.0,1.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,10.0
199,2.0,27.0,0.0,0,2.0,2.0,2.0,0.0,2.0,6.0,5.0,4.0
210,2.0,29.0,1.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
211,1.0,51.0,1.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,10.0
215,0.0,29.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
216,2.0,33.0,0.0,0,2.0,5.0,6.0,6.0,2.0,6.0,8.0,9.0
217,1.0,28.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,8.0,9.0
220,1.0,32.0,1.0,0,2.0,1.0,6.0,3.0,2.0,6.0,8.0,6.0
224,1.0,45.0,1.0,0,2.0,5.0,6.0,6.0,2.0,3.0,13.0,10.0
231,0.0,25.0,0.0,0,2.0,2.0,2.0,0.0,2.0,6.0,5.0,9.0
