session_id,user_id,action,action_type,action_detail,device_type,secs_elapsed
1,1122,158.0,7.0,92.0,6.0,528.0
2,1122,107.0,0.0,0.0,6.0,541.0
3,1122,23.0,2.0,17.0,6.0,156.0
4,1122,81.0,7.0,97.0,6.0,286.0
5,1122,118.0,3.0,101.0,6.0,1674.0
6,1122,154.0,2.0,99.0,6.0,37336.0
7,1122,158.0,7.0,57.0,6.0,16452.0
8,1122,23.0,2.0,17.0,6.0,66.0
9,1122,105.0,0.0,0.0,6.0,22663.0
10,1122,74.0,3.0,34.0,6.0,4.0
41,875,183.0,6.0,88.0,8.0,246391.0
42,875,23.0,2.0,17.0,8.0,539.0
43,875,165.0,3.0,78.0,8.0,166.0
44,875,165.0,3.0,78.0,8.0,231.0
45,875,118.0,3.0,101.0,8.0,999.0
46,875,183.0,6.0,85.0,8.0,87704.0
47,875,158.0,7.0,57.0,8.0,7660.0
48,875,183.0,6.0,85.0,8.0,6318.0
49,875,105.0,0.0,0.0,8.0,2705.0
50,875,118.0,3.0,101.0,8.0,657.0
51,616,60.0,7.0,28.0,6.0,14784.0
52,616,31.0,6.0,20.0,6.0,826.0
53,616,54.0,6.0,24.0,6.0,427884.0
54,616,60.0,7.0,28.0,6.0,6.0
55,616,74.0,3.0,34.0,6.0,1621.0
56,616,49.0,2.0,19.0,6.0,118456.0
57,616,60.0,7.0,28.0,6.0,1234.0
58,616,183.0,6.0,88.0,6.0,296295.0
59,616,61.0,7.0,68.0,6.0,10055.0
60,616,56.0,7.0,26.0,6.0,674.0
226,1048,107.0,0.0,0.0,6.0,157.0
227,1048,81.0,7.0,99.0,6.0,2569.0
228,1048,23.0,2.0,17.0,6.0,1184.0
229,1048,118.0,3.0,101.0,6.0,62.0
230,1048,118.0,3.0,101.0,6.0,854.0
231,1048,23.0,2.0,17.0,6.0,1921.0
232,1048,165.0,3.0,78.0,6.0,0.0
233,1048,165.0,3.0,78.0,6.0,15.0
234,1048,118.0,3.0,101.0,6.0,5846.0
235,1048,118.0,3.0,101.0,6.0,944.0
246,1905,154.0,2.0,99.0,6.0,41814.0
247,1905,154.0,2.0,99.0,6.0,274.0
248,1905,23.0,2.0,17.0,6.0,653.0
249,1905,158.0,7.0,57.0,6.0,11132.0
250,1905,158.0,7.0,57.0,6.0,7640.0
251,1905,165.0,3.0,78.0,6.0,86.0
252,1905,81.0,7.0,99.0,6.0,22710.0
253,1905,118.0,3.0,101.0,6.0,631.0
254,1905,183.0,6.0,85.0,6.0,261106.0
255,1905,23.0,2.0,17.0,6.0,599.0
256,155,49.0,2.0,19.0,2.0,23718.0
257,155,10.0,0.0,0.0,8.0,98805.0
258,155,74.0,3.0,34.0,8.0,215.0
259,155,33.0,6.0,43.0,8.0,1480405.0
260,155,31.0,6.0,20.0,8.0,508.0
261,155,133.0,7.0,50.0,8.0,39161.0
262,155,74.0,3.0,34.0,8.0,399.0
263,155,187.0,0.0,0.0,8.0,19235.0
264,155,56.0,7.0,26.0,2.0,373.0
265,155,33.0,6.0,43.0,8.0,11760.0
266,2027,165.0,3.0,78.0,6.0,663.0
267,2027,158.0,7.0,56.0,6.0,221118.0
268,2027,81.0,7.0,99.0,6.0,46160.0
269,2027,158.0,7.0,57.0,6.0,33917.0
270,2027,118.0,3.0,101.0,6.0,1224.0
271,2027,118.0,3.0,101.0,6.0,1001.0
272,2027,74.0,3.0,34.0,6.0,941.0
273,2027,81.0,7.0,99.0,6.0,11991.0
274,2027,23.0,2.0,17.0,6.0,124.0
275,2027,158.0,7.0,57.0,6.0,9881.0
312,3151,56.0,7.0,26.0,8.0,1635.0
313,3151,49.0,2.0,19.0,8.0,24346.0
314,3151,31.0,6.0,20.0,8.0,981.0
315,3151,56.0,7.0,26.0,8.0,769.0
316,3151,74.0,3.0,34.0,8.0,592.0
337,2857,133.0,7.0,50.0,6.0,4899.0
338,2857,74.0,3.0,34.0,6.0,1246.0
339,2857,81.0,7.0,99.0,6.0,23024.0
340,2857,81.0,7.0,50.0,6.0,282724.0
341,2857,154.0,2.0,99.0,6.0,32242.0
342,2857,165.0,3.0,78.0,6.0,36.0
343,2857,158.0,7.0,57.0,6.0,795.0
344,2857,118.0,3.0,101.0,6.0,3673.0
345,2857,158.0,7.0,57.0,6.0,10391.0
346,2857,81.0,7.0,50.0,6.0,2843.0
347,763,154.0,2.0,99.0,8.0,856.0
348,763,118.0,3.0,101.0,8.0,709.0
349,763,118.0,3.0,101.0,8.0,1251.0
350,763,154.0,2.0,99.0,8.0,7979.0
351,763,158.0,7.0,57.0,8.0,13860.0
352,763,154.0,2.0,99.0,8.0,10034.0
353,763,154.0,2.0,99.0,8.0,4905.0
354,763,154.0,2.0,99.0,8.0,974.0
355,763,154.0,2.0,99.0,8.0,15030.0
356,763,23.0,2.0,17.0,8.0,437.0
367,3162,105.0,0.0,0.0,10.0,4694.0
368,3162,81.0,7.0,99.0,10.0,2381.0
369,3162,54.0,0.0,0.0,10.0,9617.0
370,3162,81.0,7.0,99.0,10.0,5605.0
371,3162,183.0,6.0,85.0,10.0,3996.0
372,3162,74.0,3.0,34.0,10.0,1221.0
373,3162,118.0,3.0,101.0,10.0,81.0
374,980,23.0,2.0,17.0,6.0,92662.0
375,980,81.0,7.0,99.0,6.0,7703.0
376,980,165.0,3.0,78.0,6.0,73.0
377,980,154.0,2.0,99.0,6.0,97735.0
378,980,118.0,3.0,101.0,6.0,96.0
379,980,118.0,3.0,101.0,6.0,676.0
380,980,118.0,3.0,101.0,6.0,0.0
381,980,154.0,2.0,99.0,6.0,56735.0
382,980,158.0,7.0,57.0,6.0,276.0
383,980,158.0,7.0,57.0,6.0,6759.0
415,1947,23.0,2.0,17.0,6.0,1292.0
416,1947,187.0,0.0,0.0,6.0,15570.0
417,1947,147.0,7.0,60.0,6.0,1059.0
418,1947,99.0,0.0,0.0,0.0,222.0
419,1947,118.0,3.0,101.0,6.0,1168.0
420,1947,118.0,3.0,101.0,6.0,19.0
421,1947,178.0,7.0,104.0,6.0,561.0
422,1947,33.0,6.0,43.0,6.0,70562.0
423,1947,23.0,2.0,17.0,6.0,3232.0
424,1947,116.0,1.0,62.0,6.0,0.0
435,1586,178.0,7.0,104.0,6.0,641.0
436,1586,158.0,7.0,57.0,6.0,158766.0
437,1586,158.0,7.0,57.0,6.0,330.0
438,1586,116.0,1.0,62.0,6.0,0.0
439,1586,159.0,3.0,93.0,6.0,806.0
440,1586,147.0,7.0,60.0,6.0,10514.0
441,1586,36.0,0.0,0.0,6.0,4828.0
442,1586,178.0,7.0,104.0,6.0,37043.0
443,1586,41.0,7.0,15.0,6.0,101966.0
444,1586,154.0,2.0,99.0,6.0,66103.0
465,2303,10.0,0.0,0.0,6.0,708.0
466,2303,118.0,3.0,101.0,6.0,126.0
467,2303,74.0,3.0,34.0,6.0,421.0
468,2303,158.0,7.0,57.0,6.0,1572.0
469,2303,61.0,7.0,68.0,6.0,34233.0
470,2303,15.0,0.0,0.0,6.0,44352.0
471,2303,10.0,0.0,0.0,6.0,56940.0
472,2303,56.0,7.0,26.0,6.0,11499.0
473,2303,23.0,2.0,17.0,6.0,6215.0
474,2303,165.0,3.0,78.0,6.0,640.0
475,1006,166.0,3.0,95.0,1.0,766.0
476,1006,158.0,7.0,92.0,1.0,1319.0
477,1006,44.0,7.0,97.0,1.0,421.0
478,1006,6.0,0.0,0.0,1.0,128.0
479,1006,166.0,3.0,95.0,1.0,736.0
480,1006,6.0,0.0,0.0,1.0,34.0
481,1006,6.0,0.0,0.0,1.0,94.0
482,1006,153.0,2.0,99.0,1.0,17043.0
483,1006,6.0,0.0,0.0,1.0,234.0
484,1006,158.0,7.0,92.0,1.0,954.0
495,5,6.0,0.0,0.0,11.0,529.0
496,5,183.0,6.0,87.0,11.0,4341.0
497,5,183.0,6.0,87.0,11.0,10633.0
498,5,158.0,7.0,57.0,11.0,578.0
499,5,91.0,7.0,91.0,11.0,733.0
500,5,183.0,6.0,85.0,11.0,145179.0
501,5,158.0,0.0,0.0,0.0,502.0
502,5,6.0,0.0,0.0,11.0,99.0
503,5,6.0,0.0,0.0,0.0,1122.0
504,5,54.0,6.0,23.0,11.0,6596.0
558,2301,154.0,2.0,99.0,8.0,10844.0
559,2301,154.0,2.0,99.0,8.0,46779.0
560,2301,154.0,2.0,99.0,8.0,20048.0
561,2301,154.0,2.0,99.0,8.0,11211.0
562,2301,154.0,2.0,99.0,8.0,5327.0
563,2301,60.0,7.0,28.0,8.0,11895.0
564,2301,81.0,7.0,99.0,8.0,29154.0
565,2301,165.0,3.0,78.0,8.0,598.0
566,2301,49.0,2.0,19.0,8.0,131482.0
567,2301,118.0,3.0,101.0,8.0,1778.0
618,2884,183.0,6.0,85.0,8.0,20232.0
619,2884,154.0,2.0,99.0,8.0,3158.0
620,2884,21.0,0.0,0.0,8.0,7.0
621,2884,154.0,2.0,99.0,8.0,9236.0
622,2884,154.0,2.0,99.0,8.0,134329.0
623,2884,154.0,2.0,99.0,8.0,1585.0
624,2884,183.0,6.0,85.0,8.0,416.0
625,2884,183.0,6.0,85.0,8.0,31297.0
626,2884,154.0,2.0,99.0,8.0,31976.0
627,2884,154.0,2.0,99.0,8.0,5911.0
648,1584,74.0,3.0,34.0,6.0,269.0
649,1584,154.0,2.0,99.0,6.0,20531.0
650,1584,9.0,2.0,14.0,6.0,6.0
651,1584,81.0,0.0,0.0,6.0,1102.0
652,1584,81.0,0.0,0.0,6.0,43.0
653,1584,178.0,7.0,104.0,6.0,2665.0
654,1584,187.0,0.0,0.0,6.0,17785.0
655,1584,60.0,7.0,28.0,6.0,2471.0
656,1584,183.0,0.0,0.0,6.0,29222.0
657,1584,78.0,0.0,0.0,6.0,1541.0
668,544,165.0,3.0,78.0,6.0,464.0
669,544,7.0,0.0,0.0,6.0,384063.0
670,544,118.0,3.0,101.0,6.0,591.0
671,544,23.0,2.0,17.0,6.0,498.0
672,544,158.0,7.0,57.0,6.0,492.0
673,544,23.0,2.0,17.0,6.0,67.0
674,544,81.0,7.0,50.0,6.0,942.0
675,544,158.0,7.0,57.0,6.0,187.0
676,544,158.0,7.0,57.0,6.0,188.0
677,544,81.0,7.0,50.0,6.0,833.0
678,660,154.0,2.0,99.0,6.0,9421.0
679,660,159.0,3.0,93.0,6.0,1788.0
680,660,154.0,2.0,99.0,6.0,33178.0
681,660,165.0,3.0,78.0,6.0,163.0
682,660,154.0,2.0,99.0,6.0,6148.0
683,660,81.0,7.0,99.0,6.0,198243.0
684,660,154.0,2.0,99.0,6.0,204559.0
685,660,118.0,3.0,101.0,6.0,1862.0
686,660,49.0,2.0,19.0,6.0,9662.0
687,660,118.0,3.0,101.0,6.0,876.0
688,1007,133.0,7.0,50.0,6.0,606895.0
689,1007,74.0,3.0,34.0,6.0,4546.0
690,1007,54.0,6.0,24.0,6.0,40410.0
691,1007,60.0,7.0,28.0,6.0,4059.0
692,1007,89.0,0.0,0.0,6.0,24895.0
693,1007,183.0,6.0,88.0,6.0,11944.0
694,1007,60.0,7.0,28.0,6.0,329338.0
695,1007,158.0,7.0,92.0,6.0,335.0
696,1007,134.0,6.0,73.0,6.0,1204.0
697,1007,147.0,7.0,60.0,6.0,1629.0
738,2736,165.0,3.0,78.0,8.0,174.0
739,2736,147.0,7.0,60.0,8.0,1333.0
740,2736,54.0,6.0,24.0,8.0,176257.0
741,2736,147.0,7.0,60.0,8.0,640.0
742,2736,23.0,2.0,17.0,8.0,8075.0
743,2736,147.0,7.0,60.0,8.0,1308.0
744,2736,178.0,7.0,104.0,8.0,627.0
745,2736,158.0,7.0,92.0,8.0,1170.0
746,2736,147.0,6.0,65.0,8.0,34331.0
747,2736,74.0,3.0,34.0,8.0,3584.0
748,1303,154.0,2.0,99.0,6.0,10755.0
749,1303,183.0,6.0,85.0,6.0,0.0
750,1303,154.0,2.0,99.0,6.0,25362.0
751,1303,81.0,7.0,99.0,6.0,19065.0
752,1303,9.0,2.0,14.0,6.0,1624.0
753,1303,165.0,3.0,78.0,6.0,141.0
754,1303,118.0,3.0,101.0,6.0,82372.0
755,1303,118.0,3.0,101.0,6.0,0.0
756,1303,118.0,3.0,101.0,6.0,30994.0
757,1303,105.0,0.0,0.0,6.0,5518.0
802,3080,54.0,6.0,24.0,5.0,45.0
803,3080,147.0,7.0,60.0,5.0,1291.0
804,3080,54.0,6.0,24.0,5.0,51277.0
805,3080,89.0,0.0,0.0,5.0,160739.0
806,3080,158.0,7.0,92.0,5.0,1038.0
807,3080,147.0,7.0,60.0,5.0,7317.0
808,3080,87.0,0.0,0.0,5.0,43853.0
809,3080,60.0,7.0,28.0,5.0,6298.0
810,3080,60.0,7.0,28.0,5.0,5174.0
811,3080,183.0,6.0,88.0,5.0,7325.0
812,3101,158.0,0.0,0.0,0.0,250.0
911,363,56.0,7.0,26.0,6.0,809.0
912,363,147.0,7.0,60.0,6.0,715.0
913,363,54.0,6.0,24.0,6.0,392633.0
914,363,147.0,7.0,60.0,6.0,1426.0
915,363,147.0,7.0,60.0,6.0,115042.0
916,363,178.0,7.0,104.0,6.0,518729.0
917,363,147.0,7.0,60.0,6.0,563.0
918,363,147.0,7.0,60.0,6.0,14402.0
919,363,159.0,3.0,93.0,6.0,706.0
920,363,147.0,6.0,65.0,6.0,7179.0
921,1605,143.0,7.0,67.0,6.0,1100.0
922,1605,23.0,2.0,17.0,6.0,507.0
923,1605,118.0,3.0,101.0,6.0,1302.0
