user_id,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
1,2.0,54.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,13.0,10.0
5,1.0,29.0,0.0,24,2.0,2.0,2.0,0.0,1.0,8.0,11.0,9.0
11,0.0,28.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
13,0.0,33.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
16,1.0,28.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,8.0,9.0
17,2.0,31.0,0.0,0,2.0,7.0,6.0,0.0,2.0,6.0,8.0,10.0
20,1.0,25.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
21,0.0,42.0,0.0,0,2.0,2.0,2.0,6.0,2.0,1.0,9.0,9.0
22,2.0,29.0,1.0,12,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
26,2.0,35.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,4.0
27,1.0,44.0,0.0,0,2.0,7.0,6.0,6.0,2.0,6.0,5.0,9.0
31,0.0,27.0,0.0,0,2.0,2.0,2.0,0.0,2.0,6.0,8.0,9.0
32,0.0,105.0,0.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,4.0
33,2.0,36.0,0.0,0,2.0,6.0,6.0,3.0,2.0,6.0,9.0,9.0
37,1.0,28.0,0.0,0,2.0,1.0,6.0,3.0,2.0,3.0,13.0,1.0
39,2.0,23.0,1.0,0,2.0,2.0,2.0,5.0,2.0,3.0,13.0,10.0
45,2.0,33.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,5.0,6.0
52,2.0,44.0,1.0,0,2.0,2.0,2.0,3.0,2.0,3.0,13.0,4.0
56,1.0,26.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,8.0,1.0
57,2.0,20.0,1.0,0,2.0,6.0,6.0,3.0,2.0,3.0,13.0,10.0
61,0.0,37.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,9.0,9.0
67,1.0,24.0,1.0,0,2.0,2.0,2.0,0.0,2.0,6.0,5.0,9.0
83,1.0,58.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,5.0,9.0
87,0.0,33.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,9.0
91,1.0,70.0,0.0,0,2.0,3.0,3.0,3.0,2.0,6.0,8.0,9.0
99,1.0,28.0,1.0,0,2.0,7.0,6.0,0.0,2.0,6.0,5.0,9.0
102,2.0,42.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,3.0
103,1.0,22.0,1.0,0,2.0,2.0,2.0,6.0,2.0,7.0,11.0,9.0
104,2.0,105.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,9.0
108,2.0,58.0,1.0,0,2.0,2.0,2.0,6.0,2.0,6.0,9.0,9.0
112,1.0,40.0,1.0,0,2.0,2.0,2.0,0.0,2.0,3.0,5.0,10.0
116,2.0,27.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,10.0
118,1.0,38.0,0.0,0,2.0,5.0,6.0,3.0,2.0,6.0,9.0,6.0
123,2.0,44.0,0.0,0,2.0,5.0,6.0,3.0,2.0,6.0,8.0,7.0
127,2.0,32.0,0.0,0,2.0,5.0,6.0,3.0,2.0,6.0,5.0,10.0
128,1.0,34.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,13.0,3.0
135,1.0,32.0,1.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,10.0
137,1.0,27.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,2.0
139,0.0,34.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
142,3.0,31.0,0.0,0,2.0,7.0,6.0,0.0,2.0,3.0,5.0,9.0
143,0.0,19.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,13.0,4.0
144,1.0,25.0,1.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
145,1.0,32.0,1.0,12,2.0,0.0,9.0,6.0,3.0,8.0,11.0,9.0
149,2.0,30.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,9.0
151,2.0,19.0,0.0,0,2.0,5.0,6.0,3.0,2.0,7.0,11.0,9.0
152,0.0,27.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
153,0.0,25.0,0.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
155,0.0,20.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
157,2.0,44.0,0.0,0,2.0,5.0,6.0,3.0,2.0,6.0,8.0,9.0
170,0.0,32.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,8.0,9.0
172,1.0,25.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,8.0,9.0
173,1.0,54.0,0.0,0,2.0,2.0,2.0,6.0,2.0,7.0,11.0,6.0
177,1.0,58.0,1.0,0,2.0,2.0,2.0,0.0,2.0,6.0,5.0,4.0
180,2.0,30.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,10.0
181,0.0,37.0,0.0,0,2.0,5.0,6.0,3.0,2.0,6.0,5.0,9.0
182,1.0,19.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,9.0
185,2.0,35.0,0.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
