session_id,user_id,action,action_type,action_detail,device_type,secs_elapsed
31,2484,183.0,6.0,86.0,8.0,39663.0
32,2484,89.0,0.0,0.0,8.0,256194.0
33,2484,183.0,6.0,86.0,8.0,61693.0
34,2484,183.0,6.0,86.0,8.0,33404.0
35,2484,94.0,7.0,47.0,8.0,2788.0
36,2484,66.0,0.0,0.0,0.0,49832.0
37,2484,187.0,0.0,0.0,8.0,15627.0
38,2484,183.0,6.0,86.0,8.0,4932.0
39,2484,60.0,7.0,28.0,8.0,87768.0
40,2484,183.0,6.0,86.0,8.0,96686.0
71,1563,158.0,7.0,92.0,6.0,54841.0
72,1563,158.0,7.0,57.0,6.0,6534.0
73,1563,165.0,3.0,78.0,6.0,211.0
74,1563,118.0,3.0,101.0,6.0,1449.0
75,1563,187.0,0.0,0.0,6.0,15261.0
76,1563,158.0,7.0,57.0,6.0,80482.0
77,1563,118.0,3.0,101.0,6.0,1660.0
78,1563,23.0,2.0,17.0,6.0,15.0
79,1563,81.0,7.0,99.0,6.0,69525.0
80,1563,23.0,2.0,17.0,6.0,2.0
81,2781,56.0,7.0,26.0,6.0,5213.0
82,2781,118.0,3.0,101.0,6.0,1354.0
83,2781,154.0,2.0,99.0,6.0,1781.0
84,2781,158.0,7.0,92.0,6.0,487.0
85,2781,158.0,7.0,57.0,6.0,4961.0
86,2781,60.0,7.0,28.0,6.0,86.0
87,2781,81.0,7.0,50.0,6.0,791.0
88,2781,159.0,3.0,93.0,6.0,1452.0
89,2781,61.0,7.0,68.0,6.0,1002.0
90,2781,154.0,2.0,99.0,6.0,2190.0
101,2295,95.0,2.0,51.0,8.0,58076.0
102,2295,158.0,7.0,57.0,8.0,2775.0
103,2295,80.0,7.0,58.0,8.0,49253.0
104,2295,7.0,0.0,0.0,8.0,113006.0
105,2295,74.0,3.0,34.0,8.0,458.0
106,2295,39.0,7.0,12.0,8.0,451.0
107,2295,39.0,7.0,12.0,8.0,1252.0
108,2295,158.0,7.0,57.0,8.0,906.0
109,2295,80.0,7.0,58.0,8.0,13098.0
110,2295,158.0,7.0,57.0,8.0,2621.0
111,3054,61.0,7.0,68.0,6.0,42444.0
112,3054,143.0,7.0,67.0,6.0,2245.0
113,3054,60.0,7.0,28.0,6.0,34589.0
114,3054,151.0,0.0,0.0,6.0,7718.0
115,3054,61.0,7.0,68.0,6.0,487880.0
116,2546,9.0,2.0,14.0,8.0,38.0
117,2546,81.0,7.0,99.0,8.0,103411.0
118,2546,165.0,3.0,78.0,8.0,981.0
119,2546,23.0,2.0,17.0,8.0,1979.0
120,2546,31.0,6.0,20.0,8.0,332.0
121,2546,23.0,2.0,17.0,8.0,1330.0
122,2546,23.0,2.0,17.0,8.0,983.0
123,2546,158.0,7.0,57.0,8.0,280.0
124,2546,118.0,3.0,101.0,8.0,1061.0
125,2546,16.0,2.0,20.0,8.0,59324.0
136,1407,154.0,2.0,99.0,8.0,328.0
137,1407,154.0,2.0,99.0,8.0,304.0
138,1407,81.0,7.0,50.0,8.0,680.0
139,1407,154.0,2.0,99.0,8.0,2623.0
140,1407,81.0,7.0,99.0,8.0,18589.0
141,1407,23.0,2.0,17.0,8.0,1599.0
142,1407,31.0,6.0,20.0,8.0,885.0
143,1407,23.0,2.0,17.0,8.0,41.0
144,1407,81.0,7.0,50.0,8.0,1911.0
145,1407,154.0,2.0,99.0,8.0,6395.0
166,328,183.0,6.0,86.0,6.0,2632.0
167,328,183.0,6.0,85.0,6.0,23529.0
168,328,183.0,6.0,85.0,6.0,8270.0
169,328,94.0,7.0,47.0,6.0,291.0
170,328,74.0,3.0,34.0,6.0,643.0
171,328,183.0,6.0,86.0,6.0,12395.0
172,328,183.0,6.0,86.0,6.0,40516.0
173,328,183.0,6.0,86.0,6.0,0.0
174,328,74.0,3.0,34.0,6.0,3206.0
175,328,81.0,7.0,39.0,6.0,5013.0
196,2692,118.0,3.0,101.0,6.0,585.0
197,2692,158.0,7.0,57.0,6.0,669.0
198,2692,118.0,3.0,101.0,6.0,18.0
199,2692,118.0,3.0,101.0,6.0,918.0
200,2692,19.0,0.0,0.0,6.0,599.0
201,2692,158.0,7.0,57.0,6.0,438.0
202,2692,165.0,3.0,78.0,6.0,638.0
203,2692,133.0,7.0,50.0,6.0,959.0
204,2692,81.0,7.0,50.0,6.0,729.0
205,2692,158.0,7.0,57.0,6.0,181.0
276,1253,154.0,2.0,99.0,8.0,7264.0
277,1253,81.0,7.0,99.0,8.0,1443.0
278,1253,74.0,3.0,34.0,8.0,2938.0
279,1253,118.0,3.0,101.0,8.0,33.0
280,1253,23.0,2.0,17.0,8.0,52.0
281,1253,165.0,3.0,78.0,8.0,1062.0
282,1253,23.0,2.0,17.0,8.0,27.0
283,1253,118.0,3.0,101.0,8.0,92.0
284,1253,118.0,3.0,101.0,8.0,850.0
285,1253,23.0,2.0,17.0,8.0,131.0
286,1948,133.0,7.0,50.0,6.0,10213.0
287,1948,81.0,7.0,50.0,6.0,857.0
288,1948,118.0,3.0,101.0,6.0,28.0
289,1948,142.0,0.0,0.0,6.0,272.0
290,1948,31.0,6.0,20.0,6.0,868.0
291,1948,9.0,2.0,14.0,6.0,4693.0
292,1948,158.0,7.0,92.0,6.0,6750.0
293,1948,133.0,7.0,50.0,6.0,705.0
294,1948,165.0,3.0,78.0,6.0,539.0
295,1948,81.0,7.0,50.0,6.0,34998.0
327,160,35.0,3.0,83.0,0.0,16337.0
328,160,158.0,0.0,0.0,0.0,0.0
329,160,153.0,2.0,99.0,0.0,2841.0
330,160,54.0,6.0,25.0,11.0,0.0
331,160,35.0,3.0,83.0,0.0,22687.0
332,160,35.0,3.0,83.0,0.0,8633.0
333,160,35.0,3.0,83.0,0.0,0.0
334,160,150.0,3.0,41.0,0.0,15501.0
335,160,111.0,0.0,0.0,0.0,483.0
336,160,150.0,3.0,41.0,0.0,1747.0
357,222,158.0,7.0,57.0,6.0,20433.0
358,222,118.0,3.0,101.0,6.0,1296.0
359,222,165.0,3.0,78.0,6.0,859.0
360,222,118.0,3.0,101.0,6.0,1434.0
361,222,158.0,7.0,57.0,6.0,15299.0
362,222,158.0,7.0,57.0,6.0,15156.0
363,222,81.0,7.0,99.0,6.0,1026.0
364,222,158.0,7.0,57.0,6.0,191.0
365,222,158.0,7.0,56.0,6.0,20600.0
366,222,9.0,2.0,14.0,6.0,24.0
384,3111,81.0,7.0,99.0,8.0,15095.0
385,3111,154.0,2.0,99.0,8.0,3684.0
386,3111,118.0,3.0,101.0,8.0,808.0
387,3111,165.0,3.0,78.0,8.0,47.0
388,3111,23.0,2.0,17.0,8.0,482.0
389,3111,154.0,2.0,99.0,8.0,9020.0
390,3111,158.0,7.0,57.0,8.0,20771.0
391,3111,49.0,2.0,19.0,8.0,717859.0
392,3111,118.0,3.0,101.0,8.0,842.0
393,3111,154.0,2.0,99.0,8.0,24301.0
414,476,74.0,3.0,34.0,10.0,783.0
425,1425,23.0,2.0,17.0,6.0,38.0
426,1425,154.0,2.0,99.0,6.0,12685.0
427,1425,30.0,6.0,7.0,6.0,34526.0
428,1425,60.0,7.0,28.0,6.0,869.0
429,1425,147.0,7.0,60.0,6.0,337.0
430,1425,103.0,7.0,1.0,6.0,696.0
431,1425,118.0,3.0,101.0,6.0,1520.0
432,1425,158.0,7.0,56.0,6.0,508.0
433,1425,158.0,7.0,57.0,6.0,202.0
434,1425,165.0,3.0,78.0,6.0,1152.0
518,25,118.0,3.0,101.0,6.0,815.0
519,25,183.0,6.0,85.0,6.0,76.0
520,25,23.0,2.0,17.0,6.0,1708.0
521,25,158.0,7.0,57.0,6.0,434.0
522,25,165.0,3.0,78.0,6.0,175.0
523,25,158.0,7.0,57.0,6.0,50824.0
524,25,118.0,3.0,101.0,6.0,930.0
525,25,158.0,7.0,57.0,6.0,201.0
526,25,118.0,3.0,101.0,6.0,27.0
527,25,165.0,3.0,78.0,6.0,4.0
528,1024,74.0,3.0,34.0,6.0,479.0
529,1024,23.0,2.0,17.0,6.0,1054.0
530,1024,118.0,3.0,101.0,6.0,2271.0
531,1024,56.0,7.0,26.0,6.0,479.0
532,1024,154.0,2.0,99.0,6.0,45145.0
533,1024,154.0,2.0,99.0,6.0,22892.0
534,1024,118.0,3.0,101.0,6.0,1743.0
535,1024,23.0,2.0,17.0,6.0,1069.0
536,1024,154.0,2.0,99.0,6.0,23406.0
537,1024,81.0,7.0,99.0,6.0,2589.0
538,1201,107.0,0.0,0.0,8.0,119.0
539,1201,154.0,2.0,99.0,8.0,8791.0
540,1201,165.0,3.0,78.0,8.0,594.0
541,1201,23.0,2.0,17.0,8.0,367.0
542,1201,81.0,7.0,99.0,8.0,16627.0
543,1201,165.0,3.0,78.0,8.0,122.0
544,1201,154.0,2.0,99.0,8.0,5543.0
545,1201,154.0,2.0,99.0,8.0,6512.0
546,1201,154.0,2.0,99.0,8.0,108417.0
547,1201,23.0,2.0,17.0,8.0,944.0
548,2860,103.0,7.0,1.0,7.0,921.0
549,2860,142.0,0.0,0.0,7.0,524.0
550,2860,81.0,7.0,48.0,0.0,661.0
551,2860,16.0,2.0,20.0,7.0,1818.0
552,2860,23.0,2.0,17.0,7.0,76.0
553,2860,165.0,3.0,78.0,7.0,772.0
554,2860,187.0,0.0,0.0,7.0,22314.0
555,2860,158.0,7.0,92.0,7.0,188.0
556,2860,56.0,7.0,26.0,7.0,2169.0
557,2860,56.0,7.0,26.0,7.0,1347.0
568,1898,31.0,6.0,20.0,6.0,908.0
569,1898,36.0,0.0,0.0,6.0,4491.0
570,1898,23.0,2.0,17.0,6.0,1302.0
571,1898,154.0,2.0,99.0,6.0,4302.0
572,1898,36.0,0.0,0.0,6.0,6365.0
573,1898,36.0,0.0,0.0,6.0,2391.0
574,1898,74.0,3.0,34.0,6.0,1233.0
575,1898,118.0,3.0,101.0,6.0,1391.0
576,1898,154.0,2.0,99.0,6.0,3946.0
577,1898,23.0,2.0,17.0,6.0,1184.0
628,479,158.0,7.0,57.0,6.0,96746.0
629,479,165.0,3.0,78.0,6.0,92.0
630,479,118.0,3.0,101.0,6.0,278.0
631,479,158.0,7.0,57.0,6.0,375.0
632,479,23.0,2.0,17.0,6.0,1002.0
633,479,118.0,3.0,101.0,6.0,1097.0
634,479,158.0,7.0,57.0,6.0,363.0
635,479,165.0,3.0,78.0,6.0,562.0
636,479,118.0,3.0,101.0,6.0,91.0
637,479,158.0,7.0,57.0,6.0,397.0
658,1794,165.0,3.0,78.0,6.0,512.0
659,1794,118.0,3.0,101.0,6.0,7777.0
660,1794,23.0,2.0,17.0,6.0,67.0
661,1794,23.0,2.0,17.0,6.0,293.0
662,1794,154.0,2.0,99.0,6.0,7974.0
663,1794,154.0,2.0,99.0,6.0,4901.0
664,1794,154.0,2.0,99.0,6.0,9208.0
665,1794,36.0,0.0,0.0,6.0,276578.0
666,1794,154.0,2.0,99.0,6.0,2235.0
667,1794,81.0,7.0,99.0,6.0,16879.0
698,612,147.0,6.0,65.0,8.0,9959.0
699,612,39.0,7.0,12.0,8.0,35306.0
700,612,133.0,7.0,50.0,8.0,11799.0
701,612,36.0,0.0,0.0,8.0,3168.0
702,612,23.0,2.0,17.0,8.0,61.0
703,612,119.0,0.0,0.0,8.0,3895.0
704,612,154.0,2.0,99.0,8.0,5529.0
705,612,178.0,7.0,104.0,8.0,813.0
706,612,178.0,7.0,104.0,8.0,469.0
707,612,39.0,7.0,12.0,8.0,428.0
708,1806,147.0,7.0,60.0,6.0,863.0
709,1806,54.0,6.0,24.0,6.0,249743.0
710,1806,178.0,7.0,104.0,6.0,443.0
711,1806,74.0,3.0,34.0,6.0,7687.0
712,1806,116.0,1.0,62.0,6.0,0.0
713,1806,187.0,0.0,0.0,6.0,22422.0
714,1806,147.0,7.0,60.0,6.0,6180.0
715,1806,147.0,6.0,65.0,6.0,22914.0
716,1806,147.0,7.0,60.0,6.0,331.0
717,1806,147.0,7.0,60.0,6.0,2118.0
728,1259,165.0,3.0,78.0,6.0,48.0
729,1259,165.0,3.0,78.0,6.0,25.0
730,1259,81.0,7.0,99.0,6.0,47629.0
731,1259,158.0,7.0,57.0,6.0,16590.0
732,1259,118.0,3.0,101.0,6.0,60.0
733,1259,158.0,7.0,57.0,6.0,30122.0
734,1259,165.0,3.0,78.0,6.0,175.0
735,1259,81.0,7.0,99.0,6.0,20612.0
736,1259,174.0,2.0,42.0,6.0,34643.0
737,1259,158.0,7.0,57.0,6.0,21720.0
758,737,158.0,7.0,92.0,8.0,280.0
759,737,178.0,7.0,104.0,8.0,1155.0
760,737,178.0,7.0,104.0,8.0,16370.0
761,737,5.0,0.0,0.0,8.0,35095.0
762,737,178.0,7.0,104.0,8.0,529.0
763,737,158.0,7.0,92.0,8.0,10223.0
764,737,60.0,7.0,28.0,11.0,304.0
765,737,60.0,7.0,28.0,11.0,81258.0
766,737,60.0,7.0,28.0,8.0,9107.0
767,737,74.0,3.0,34.0,8.0,566.0
772,1950,81.0,7.0,99.0,8.0,777.0
773,1950,154.0,2.0,99.0,8.0,9187.0
774,1950,158.0,7.0,57.0,8.0,494.0
775,1950,158.0,7.0,57.0,8.0,4851.0
776,1950,154.0,2.0,99.0,8.0,4240.0
777,1950,81.0,7.0,97.0,8.0,266.0
778,1950,81.0,7.0,99.0,8.0,1179.0
779,1950,56.0,7.0,26.0,8.0,940.0
780,1950,81.0,7.0,99.0,8.0,1683.0
781,1950,81.0,7.0,99.0,8.0,1335.0
782,2875,81.0,7.0,99.0,6.0,6942.0
783,2875,154.0,2.0,99.0,6.0,4004.0
784,2875,36.0,0.0,0.0,6.0,4045.0
785,2875,154.0,2.0,99.0,6.0,10105.0
786,2875,36.0,0.0,0.0,6.0,63130.0
787,2875,23.0,2.0,17.0,6.0,771.0
788,2875,118.0,3.0,101.0,6.0,89303.0
789,2875,154.0,2.0,99.0,6.0,20895.0
790,2875,36.0,0.0,0.0,6.0,101125.0
791,2875,118.0,3.0,101.0,6.0,15344.0
813,272,96.0,2.0,52.0,10.0,9250.0
814,272,9.0,2.0,14.0,10.0,2239.0
815,272,158.0,7.0,57.0,10.0,4939.0
816,272,171.0,0.0,0.0,10.0,96399.0
817,272,52.0,2.0,21.0,10.0,16938.0
818,272,74.0,3.0,34.0,10.0,1587.0
819,272,74.0,3.0,34.0,10.0,136182.0
820,272,74.0,3.0,34.0,10.0,20180.0
821,272,159.0,3.0,93.0,10.0,0.0
822,272,74.0,3.0,34.0,2.0,4539.0
833,1657,133.0,7.0,50.0,10.0,150172.0
834,1657,74.0,3.0,34.0,10.0,4182.0
835,1657,133.0,7.0,50.0,10.0,561.0
836,1657,56.0,7.0,26.0,10.0,1907.0
837,1657,116.0,1.0,62.0,10.0,0.0
838,1657,83.0,7.0,32.0,10.0,3174.0
839,1657,49.0,2.0,19.0,10.0,105373.0
840,1657,147.0,6.0,65.0,10.0,58621.0
841,1657,133.0,7.0,50.0,10.0,1448.0
842,1657,83.0,7.0,32.0,10.0,61534.0
843,2337,158.0,7.0,57.0,7.0,8069.0
844,2337,158.0,7.0,57.0,7.0,13451.0
845,2337,118.0,3.0,101.0,7.0,272.0
846,2337,154.0,2.0,99.0,7.0,27852.0
847,2337,158.0,7.0,57.0,7.0,18048.0
848,2337,81.0,7.0,99.0,7.0,84248.0
849,2337,54.0,0.0,0.0,7.0,124674.0
850,2337,118.0,3.0,101.0,7.0,251.0
851,2337,23.0,2.0,17.0,7.0,58.0
852,2337,23.0,2.0,17.0,7.0,5654.0
854,1181,81.0,0.0,0.0,6.0,646.0
855,1181,158.0,7.0,56.0,6.0,210.0
856,1181,81.0,0.0,0.0,6.0,305.0
857,1181,49.0,2.0,19.0,6.0,47683.0
858,1181,56.0,7.0,26.0,6.0,1181.0
859,1181,56.0,7.0,26.0,6.0,757.0
860,1181,171.0,0.0,0.0,6.0,77897.0
871,2043,81.0,7.0,99.0,6.0,1659.0
872,2043,118.0,3.0,101.0,6.0,1156.0
873,2043,158.0,7.0,57.0,8.0,286367.0
874,2043,107.0,0.0,0.0,6.0,56.0
875,2043,154.0,2.0,99.0,6.0,8878.0
876,2043,165.0,3.0,78.0,6.0,124.0
877,2043,154.0,2.0,99.0,6.0,9111.0
878,2043,154.0,2.0,99.0,6.0,2971.0
879,2043,49.0,2.0,19.0,6.0,100970.0
880,2043,158.0,7.0,57.0,6.0,343.0
881,146,31.0,6.0,20.0,8.0,659.0
882,146,23.0,2.0,17.0,8.0,12659.0
883,146,158.0,7.0,57.0,8.0,443.0
884,146,158.0,7.0,57.0,8.0,311.0
885,146,165.0,3.0,78.0,8.0,37.0
886,146,81.0,7.0,99.0,8.0,2025.0
