user_id,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
3,2.0,44.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,5.0,2.0
7,0.0,68.0,0.0,0,2.0,6.0,6.0,3.0,2.0,3.0,13.0,10.0
8,0.0,41.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,8.0,9.0
10,2.0,30.0,1.0,0,2.0,3.0,9.0,2.0,2.0,3.0,5.0,10.0
12,1.0,53.0,0.0,0,2.0,6.0,6.0,3.0,2.0,3.0,13.0,3.0
15,2.0,47.0,1.0,0,2.0,2.0,2.0,0.0,2.0,6.0,5.0,9.0
23,2.0,50.0,1.0,0,5.0,2.0,2.0,6.0,2.0,6.0,5.0,6.0
24,0.0,50.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,9.0,4.0
25,0.0,40.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
28,1.0,20.0,0.0,0,2.0,7.0,6.0,0.0,2.0,3.0,5.0,9.0
34,1.0,26.0,0.0,0,2.0,2.0,2.0,0.0,2.0,6.0,5.0,9.0
36,2.0,27.0,1.0,0,2.0,2.0,2.0,0.0,2.0,3.0,5.0,9.0
38,0.0,34.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,8.0,9.0
40,1.0,26.0,1.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,6.0
41,2.0,26.0,0.0,0,4.0,7.0,6.0,0.0,2.0,6.0,8.0,9.0
44,2.0,28.0,0.0,23,2.0,2.0,2.0,6.0,0.0,4.0,0.0,10.0
47,0.0,30.0,0.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
53,2.0,49.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,7.0
54,2.0,26.0,1.0,0,2.0,5.0,6.0,3.0,2.0,3.0,13.0,10.0
55,2.0,47.0,1.0,0,2.0,2.0,2.0,0.0,2.0,7.0,11.0,9.0
58,2.0,37.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
59,0.0,25.0,0.0,0,2.0,7.0,6.0,0.0,2.0,3.0,5.0,9.0
60,1.0,35.0,0.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
62,0.0,105.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,10.0
63,2.0,26.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
