user_id,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
1,2.0,54.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,13.0,10.0
2,2.0,35.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
3,2.0,44.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,5.0,2.0
4,0.0,105.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
5,1.0,29.0,0.0,24,2.0,2.0,2.0,0.0,1.0,8.0,11.0,9.0
6,1.0,31.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,4.0
7,0.0,68.0,0.0,0,2.0,6.0,6.0,3.0,2.0,3.0,13.0,10.0
8,0.0,41.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,8.0,9.0
9,1.0,31.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
10,2.0,30.0,1.0,0,2.0,3.0,9.0,2.0,2.0,3.0,5.0,10.0
11,0.0,28.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
12,1.0,53.0,0.0,0,2.0,6.0,6.0,3.0,2.0,3.0,13.0,3.0
13,0.0,33.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
14,2.0,22.0,1.0,0,2.0,7.0,6.0,0.0,2.0,6.0,5.0,9.0
15,2.0,47.0,1.0,0,2.0,2.0,2.0,0.0,2.0,6.0,5.0,9.0
16,1.0,28.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,8.0,9.0
17,2.0,31.0,0.0,0,2.0,7.0,6.0,0.0,2.0,6.0,8.0,10.0
18,0.0,43.0,0.0,0,2.0,5.0,6.0,6.0,2.0,3.0,13.0,4.0
19,0.0,29.0,0.0,0,2.0,3.0,10.0,5.0,2.0,6.0,5.0,9.0
20,1.0,25.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
21,0.0,42.0,0.0,0,2.0,2.0,2.0,6.0,2.0,1.0,9.0,9.0
22,2.0,29.0,1.0,12,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
23,2.0,50.0,1.0,0,5.0,2.0,2.0,6.0,2.0,6.0,5.0,6.0
24,0.0,50.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,9.0,4.0
25,0.0,40.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
26,2.0,35.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,4.0
27,1.0,44.0,0.0,0,2.0,7.0,6.0,6.0,2.0,6.0,5.0,9.0
28,1.0,20.0,0.0,0,2.0,7.0,6.0,0.0,2.0,3.0,5.0,9.0
29,2.0,57.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
30,2.0,32.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,9.0,9.0
31,0.0,27.0,0.0,0,2.0,2.0,2.0,0.0,2.0,6.0,8.0,9.0
32,0.0,105.0,0.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,4.0
33,2.0,36.0,0.0,0,2.0,6.0,6.0,3.0,2.0,6.0,9.0,9.0
34,1.0,26.0,0.0,0,2.0,2.0,2.0,0.0,2.0,6.0,5.0,9.0
35,2.0,36.0,1.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
36,2.0,27.0,1.0,0,2.0,2.0,2.0,0.0,2.0,3.0,5.0,9.0
37,1.0,28.0,0.0,0,2.0,1.0,6.0,3.0,2.0,3.0,13.0,1.0
38,0.0,34.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,8.0,9.0
39,2.0,23.0,1.0,0,2.0,2.0,2.0,5.0,2.0,3.0,13.0,10.0
40,1.0,26.0,1.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,6.0
41,2.0,26.0,0.0,0,4.0,7.0,6.0,0.0,2.0,6.0,8.0,9.0
42,0.0,32.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,8.0,10.0
43,2.0,27.0,1.0,0,2.0,5.0,6.0,3.0,2.0,3.0,5.0,10.0
44,2.0,28.0,0.0,23,2.0,2.0,2.0,6.0,0.0,4.0,0.0,10.0
45,2.0,33.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,5.0,6.0
46,0.0,32.0,0.0,0,2.0,2.0,2.0,6.0,2.0,7.0,6.0,9.0
47,0.0,30.0,0.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
48,2.0,35.0,1.0,24,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
49,0.0,45.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,5.0,9.0
50,2.0,50.0,1.0,12,2.0,0.0,9.0,6.0,3.0,8.0,0.0,9.0
51,1.0,29.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
52,2.0,44.0,1.0,0,2.0,2.0,2.0,3.0,2.0,3.0,13.0,4.0
53,2.0,49.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,7.0
54,2.0,26.0,1.0,0,2.0,5.0,6.0,3.0,2.0,3.0,13.0,10.0
55,2.0,47.0,1.0,0,2.0,2.0,2.0,0.0,2.0,7.0,11.0,9.0
56,1.0,26.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,8.0,1.0
57,2.0,20.0,1.0,0,2.0,6.0,6.0,3.0,2.0,3.0,13.0,10.0
58,2.0,37.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
59,0.0,25.0,0.0,0,2.0,7.0,6.0,0.0,2.0,3.0,5.0,9.0
60,1.0,35.0,0.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
61,0.0,37.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,9.0,9.0
62,0.0,105.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,10.0
63,2.0,26.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
64,2.0,28.0,0.0,0,2.0,2.0,2.0,6.0,2.0,7.0,11.0,10.0
65,1.0,28.0,1.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
66,1.0,58.0,0.0,0,2.0,2.0,2.0,3.0,2.0,3.0,13.0,9.0
67,1.0,24.0,1.0,0,2.0,2.0,2.0,0.0,2.0,6.0,5.0,9.0
68,0.0,26.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
69,2.0,34.0,1.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,6.0
70,0.0,49.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,8.0,9.0
71,1.0,64.0,0.0,0,2.0,5.0,6.0,3.0,2.0,7.0,11.0,9.0
72,1.0,22.0,1.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
73,0.0,44.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,8.0,4.0
74,1.0,23.0,0.0,0,2.0,5.0,6.0,0.0,2.0,6.0,5.0,9.0
75,1.0,28.0,0.0,0,2.0,2.0,2.0,6.0,2.0,7.0,11.0,9.0
76,2.0,41.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
77,2.0,37.0,1.0,12,2.0,0.0,9.0,6.0,0.0,4.0,0.0,9.0
78,0.0,30.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,9.0
79,1.0,25.0,0.0,23,2.0,2.0,2.0,6.0,0.0,4.0,0.0,9.0
80,2.0,29.0,1.0,0,2.0,6.0,6.0,5.0,2.0,3.0,13.0,2.0
81,1.0,56.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,8.0,9.0
82,2.0,37.0,1.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
83,1.0,58.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,5.0,9.0
84,2.0,24.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,5.0
85,1.0,52.0,0.0,0,2.0,5.0,6.0,0.0,2.0,3.0,13.0,6.0
86,2.0,53.0,1.0,0,2.0,6.0,6.0,3.0,2.0,6.0,9.0,10.0
87,0.0,33.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,9.0
88,1.0,25.0,0.0,0,2.0,4.0,6.0,0.0,2.0,3.0,13.0,9.0
89,1.0,37.0,1.0,0,2.0,5.0,1.0,3.0,2.0,1.0,9.0,9.0
90,0.0,33.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
91,1.0,70.0,0.0,0,2.0,3.0,3.0,3.0,2.0,6.0,8.0,9.0
92,2.0,63.0,1.0,0,2.0,6.0,6.0,3.0,2.0,7.0,11.0,7.0
93,1.0,27.0,1.0,0,2.0,2.0,2.0,6.0,2.0,6.0,8.0,9.0
94,0.0,34.0,0.0,0,2.0,5.0,6.0,3.0,2.0,2.0,8.0,9.0
95,1.0,44.0,1.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
96,2.0,31.0,1.0,0,2.0,6.0,6.0,3.0,2.0,6.0,9.0,10.0
97,2.0,25.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,5.0,10.0
98,2.0,35.0,1.0,0,2.0,2.0,2.0,0.0,2.0,6.0,9.0,6.0
99,1.0,28.0,1.0,0,2.0,7.0,6.0,0.0,2.0,6.0,5.0,9.0
100,2.0,44.0,0.0,0,2.0,5.0,6.0,3.0,2.0,7.0,6.0,9.0
101,2.0,33.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,8.0,9.0
102,2.0,42.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,3.0
103,1.0,22.0,1.0,0,2.0,2.0,2.0,6.0,2.0,7.0,11.0,9.0
104,2.0,105.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,9.0
105,1.0,29.0,1.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
106,2.0,27.0,1.0,0,2.0,1.0,6.0,3.0,2.0,7.0,11.0,9.0
107,2.0,33.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
108,2.0,58.0,1.0,0,2.0,2.0,2.0,6.0,2.0,6.0,9.0,9.0
109,2.0,29.0,0.0,0,2.0,2.0,2.0,4.0,2.0,6.0,9.0,9.0
110,1.0,39.0,1.0,0,2.0,2.0,2.0,0.0,2.0,6.0,8.0,9.0
111,2.0,42.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,8.0,9.0
112,1.0,40.0,1.0,0,2.0,2.0,2.0,0.0,2.0,3.0,5.0,10.0
113,0.0,36.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,10.0
114,1.0,28.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,13.0,9.0
115,2.0,32.0,0.0,0,2.0,5.0,6.0,3.0,2.0,6.0,5.0,2.0
116,2.0,27.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,10.0
117,0.0,33.0,0.0,0,2.0,7.0,6.0,0.0,2.0,3.0,5.0,9.0
118,1.0,38.0,0.0,0,2.0,5.0,6.0,3.0,2.0,6.0,9.0,6.0
119,0.0,27.0,0.0,0,2.0,7.0,4.0,0.0,2.0,6.0,5.0,9.0
120,1.0,25.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,9.0,9.0
121,2.0,19.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,9.0,9.0
122,2.0,32.0,1.0,0,2.0,5.0,6.0,3.0,2.0,3.0,5.0,9.0
123,2.0,44.0,0.0,0,2.0,5.0,6.0,3.0,2.0,6.0,8.0,7.0
124,1.0,22.0,0.0,0,2.0,2.0,2.0,0.0,2.0,6.0,9.0,9.0
125,1.0,46.0,0.0,24,2.0,2.0,2.0,0.0,1.0,0.0,2.0,9.0
126,1.0,26.0,1.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
127,2.0,32.0,0.0,0,2.0,5.0,6.0,3.0,2.0,6.0,5.0,10.0
128,1.0,34.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,13.0,3.0
129,2.0,34.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
130,2.0,26.0,1.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
131,0.0,34.0,0.0,0,2.0,6.0,6.0,0.0,2.0,6.0,5.0,9.0
132,1.0,37.0,0.0,0,2.0,4.0,6.0,0.0,2.0,6.0,8.0,4.0
133,1.0,27.0,1.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,4.0
134,1.0,30.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
135,1.0,32.0,1.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,10.0
136,2.0,30.0,1.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,9.0
137,1.0,27.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,2.0
138,0.0,63.0,0.0,0,2.0,5.0,1.0,3.0,2.0,6.0,9.0,2.0
139,0.0,34.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
140,1.0,45.0,0.0,0,2.0,5.0,6.0,6.0,2.0,6.0,8.0,9.0
141,2.0,29.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,3.0
142,3.0,31.0,0.0,0,2.0,7.0,6.0,0.0,2.0,3.0,5.0,9.0
143,0.0,19.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,13.0,4.0
144,1.0,25.0,1.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
145,1.0,32.0,1.0,12,2.0,0.0,9.0,6.0,3.0,8.0,11.0,9.0
146,2.0,32.0,1.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
147,1.0,32.0,1.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
148,0.0,36.0,0.0,0,2.0,6.0,6.0,0.0,2.0,6.0,8.0,9.0
149,2.0,30.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,9.0
150,2.0,32.0,0.0,0,2.0,2.0,2.0,6.0,2.0,7.0,11.0,9.0
151,2.0,19.0,0.0,0,2.0,5.0,6.0,3.0,2.0,7.0,11.0,9.0
152,0.0,27.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
153,0.0,25.0,0.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
154,2.0,30.0,1.0,0,2.0,4.0,6.0,6.0,2.0,8.0,0.0,10.0
155,0.0,20.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
156,1.0,2014.0,0.0,0,2.0,4.0,6.0,5.0,2.0,3.0,13.0,9.0
157,2.0,44.0,0.0,0,2.0,5.0,6.0,3.0,2.0,6.0,8.0,9.0
158,2.0,36.0,1.0,12,2.0,0.0,9.0,6.0,3.0,8.0,11.0,9.0
159,1.0,25.0,1.0,0,2.0,2.0,2.0,6.0,2.0,7.0,11.0,9.0
160,0.0,19.0,0.0,0,2.0,2.0,2.0,3.0,1.0,6.0,5.0,10.0
161,1.0,31.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,8.0,9.0
162,1.0,30.0,0.0,24,2.0,5.0,6.0,3.0,1.0,3.0,5.0,9.0
163,2.0,32.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,8.0,4.0
164,0.0,23.0,0.0,0,2.0,7.0,6.0,0.0,2.0,6.0,5.0,9.0
165,0.0,22.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
166,0.0,37.0,0.0,0,2.0,5.0,6.0,5.0,2.0,3.0,13.0,4.0
167,1.0,69.0,0.0,0,2.0,7.0,6.0,0.0,2.0,6.0,5.0,9.0
168,2.0,35.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,5.0,9.0
169,1.0,37.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
170,0.0,32.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,8.0,9.0
171,2.0,31.0,0.0,0,2.0,2.0,2.0,0.0,2.0,6.0,8.0,9.0
172,1.0,25.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,8.0,9.0
