activity_id,year,month,total_flights,distance,points_accumulated,points_redeemed,dollar_cost_points_redeemed,loyalty_history_id
12,2018,6,24,21216,31824.0,0,0,102376
13,2018,12,15,16500,24750.0,556,100,102376
14,2018,7,12,25080,37620.0,0,0,102376
15,2018,8,12,6360,9540.0,0,0,102376
16,2018,9,6,7452,11178.0,0,0,102376
17,2018,5,4,2972,4458.0,0,0,102376
18,2018,2,0,0,0.0,0,0,102376
19,2018,3,0,0,0.0,0,0,102376
20,2018,4,0,0,0.0,0,0,102376
21,2018,10,0,0,0.0,0,0,102376
22,2018,11,0,0,0.0,0,0,102376
67,2018,6,12,7500,11250.0,0,0,105835
68,2018,10,8,10688,16032.0,0,0,105835
69,2018,11,6,10512,15768.0,0,0,105835
70,2018,5,4,8072,12108.0,0,0,105835
71,2018,12,3,2526,3789.0,0,0,105835
72,2018,9,2,2492,3738.0,0,0,105835
73,2018,2,0,0,0.0,0,0,105835
74,2018,3,0,0,0.0,0,0,105835
75,2018,4,0,0,0.0,0,0,105835
76,2018,7,0,0,0.0,0,0,105835
77,2018,8,0,0,0.0,0,0,105835
485,2018,8,16,13264,19896.0,0,0,139023
486,2018,5,12,7884,11826.0,0,0,139023
487,2018,10,8,18592,27888.0,419,75,139023
488,2018,9,8,16312,24468.0,0,0,139023
489,2018,6,4,4256,6384.0,0,0,139023
490,2018,11,4,6168,9252.0,0,0,139023
491,2018,4,2,4094,6141.0,0,0,139023
492,2018,2,0,0,0.0,0,0,139023
493,2018,3,0,0,0.0,0,0,139023
494,2018,7,0,0,0.0,0,0,139023
495,2018,12,0,0,0.0,0,0,139023
584,2018,6,24,16800,25200.0,0,0,146099
585,2018,8,16,25440,38160.0,0,0,146099
586,2018,12,15,16575,24862.5,0,0,146099
587,2018,5,8,19920,29880.0,0,0,146099
588,2018,11,6,11502,17253.0,0,0,146099
589,2018,7,4,2984,4476.0,0,0,146099
590,2018,9,2,1546,2319.0,0,0,146099
591,2018,2,0,0,0.0,0,0,146099
592,2018,4,0,0,0.0,0,0,146099
593,2018,3,0,0,0.0,0,0,146099
594,2018,10,0,0,0.0,502,90,146099
661,2018,6,16,31440,47160.0,0,0,149318
662,2018,7,16,9824,14736.0,730,131,149318
663,2018,8,16,27824,41736.0,0,0,149318
664,2018,12,9,21744,32616.0,0,0,149318
665,2018,5,8,17640,26460.0,0,0,149318
666,2018,4,3,7221,10831.5,0,0,149318
667,2018,3,2,2070,3105.0,433,78,149318
668,2018,11,2,2074,3111.0,357,64,149318
669,2018,2,0,0,0.0,0,0,149318
670,2018,9,0,0,0.0,0,0,149318
671,2018,10,0,0,0.0,0,0,149318
969,2018,6,12,27876,41814.0,0,0,168160
970,2018,8,12,14616,21924.0,0,0,168160
