loyalty_history_id,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,clv,enrollment_type,enrollment_year,enrollment_month,cancellation_year,cancellation_month
864324,1,9,16,7,1,1,75827.0,2,3,3939.01,2,2018,6,0.0,0.0
910875,1,9,8,16,1,1,84914.0,2,3,3966.13,2,2012,11,0.0,0.0
556136,1,9,13,14,1,2,0.0,2,3,4035.77,2,2017,1,0.0,0.0
235872,1,7,21,31,1,3,89057.0,3,3,4046.94,2,2013,3,0.0,0.0
539673,1,7,21,35,1,1,49558.0,2,3,4087.51,2,2015,2,2018.0,6.0
735846,1,7,23,20,2,1,95318.0,2,3,4109.79,2,2012,8,0.0,0.0
268128,1,7,21,33,1,4,47663.0,2,3,4177.88,2,2013,1,0.0,0.0
789421,1,2,24,49,1,2,0.0,3,3,4217.86,2,2016,11,0.0,0.0
436498,1,9,13,9,2,2,0.0,3,3,4272.81,2,2013,11,2016.0,3.0
156031,1,9,13,11,1,1,84981.0,2,3,4328.37,2,2014,12,2015.0,8.0
833701,1,2,27,53,2,2,0.0,3,3,4340.86,2,2014,2,0.0,0.0
258358,1,9,13,8,1,2,0.0,3,3,4363.2,2,2016,7,2017.0,3.0
635225,1,2,24,51,1,1,78573.0,1,3,4376.36,2,2015,3,0.0,0.0
712114,1,1,1,43,1,1,87293.0,2,2,3235.36,1,2018,4,0.0,0.0
752331,1,9,13,8,1,1,85766.0,2,3,4592.15,2,2015,3,0.0,0.0
821379,1,2,25,48,1,1,59207.0,2,3,4601.91,2,2017,9,2018.0,5.0
517612,1,7,10,30,2,4,65673.0,3,3,4605.04,2,2013,7,2016.0,1.0
367961,1,7,14,17,2,2,0.0,1,3,4670.95,2,2013,6,0.0,0.0
726732,1,3,29,37,2,2,0.0,3,3,4740.2,2,2015,6,2017.0,11.0
458697,1,1,5,44,1,2,0.0,3,3,4764.19,2,2014,7,0.0,0.0
532925,1,7,19,28,2,1,52194.0,2,3,4773.66,2,2016,12,2017.0,8.0
279409,1,3,29,36,1,2,0.0,3,3,4784.42,2,2016,10,0.0,0.0
418090,1,7,21,31,1,1,60235.0,1,3,4834.71,2,2016,1,0.0,0.0
784838,1,6,7,3,2,2,0.0,3,3,4858.07,2,2015,8,0.0,0.0
967634,1,4,12,5,1,1,72587.0,2,3,4869.24,2,2018,11,0.0,0.0
306288,1,7,21,21,1,1,47792.0,2,3,4892.44,2,2013,11,2018.0,1.0
693256,1,7,21,31,1,1,47937.0,2,3,4916.58,2,2013,5,0.0,0.0
788460,1,7,21,33,2,1,83431.0,2,3,4930.95,2,2016,5,2018.0,2.0
831087,1,7,21,32,1,1,86648.0,2,3,4932.88,2,2012,11,0.0,0.0
908729,1,5,18,1,2,2,0.0,3,1,4949.53,2,2016,8,0.0,0.0
485397,1,5,18,1,2,4,64090.0,2,1,4969.36,2,2013,7,0.0,0.0
911744,1,1,5,42,1,1,58725.0,2,3,2725.36,1,2018,3,0.0,0.0
618309,1,9,16,7,1,1,78749.0,3,1,5010.38,2,2016,5,0.0,0.0
682308,1,9,13,14,2,2,0.0,2,1,5079.83,2,2014,2,0.0,0.0
662268,1,7,21,23,1,1,99973.0,1,1,5090.78,2,2015,12,0.0,0.0
274264,1,6,7,2,2,1,52352.0,2,1,5096.7,2,2013,12,0.0,0.0
787172,1,2,4,46,2,1,100995.0,2,1,5113.87,2,2015,5,2016.0,1.0
287212,1,2,24,50,2,1,84663.0,2,1,5123.48,2,2018,7,0.0,0.0
757634,1,1,15,45,1,1,80892.0,2,1,5178.7,2,2016,4,0.0,0.0
842379,1,2,24,49,2,2,0.0,2,1,5182.46,2,2018,12,0.0,0.0
728748,1,9,22,15,2,1,76137.0,2,1,5221.14,2,2017,11,0.0,0.0
165056,1,10,17,40,1,1,62633.0,3,1,5251.97,2,2015,12,0.0,0.0
819765,1,7,21,29,2,1,97923.0,2,1,5261.12,2,2015,1,0.0,0.0
163445,1,7,21,23,1,2,0.0,3,1,5272.32,2,2018,6,0.0,0.0
727053,1,9,13,11,1,1,76002.0,2,1,5272.7,2,2017,6,2018.0,2.0
598398,1,2,24,49,2,1,60926.0,2,1,5281.83,2,2016,11,0.0,0.0
628258,1,7,21,34,1,4,79108.0,2,1,5288.24,2,2016,8,0.0,0.0
624929,1,1,5,42,2,1,68640.0,1,1,5295.74,2,2012,10,0.0,0.0
323821,1,2,24,50,1,4,49083.0,2,1,5297.63,2,2016,12,0.0,0.0
797120,1,7,14,18,1,1,63277.0,2,1,5306.16,2,2018,8,0.0,0.0
335554,1,1,1,43,2,2,0.0,3,1,5313.29,2,2013,11,0.0,0.0
855026,1,9,8,16,1,1,50298.0,2,1,5318.9,2,2016,12,0.0,0.0
817136,1,7,20,19,1,1,59223.0,2,1,5319.31,2,2017,4,0.0,0.0
861877,1,7,21,24,2,1,88044.0,2,1,5326.68,2,2016,6,0.0,0.0
729094,1,4,6,6,2,1,93549.0,1,1,5330.59,2,2015,12,0.0,0.0
175967,1,2,27,53,2,1,44074.0,2,3,3906.67,1,2018,2,0.0,0.0
360435,1,7,21,21,2,1,79075.0,2,1,5343.12,2,2016,6,0.0,0.0
196779,1,7,14,18,2,1,64015.0,3,1,5363.53,2,2017,1,0.0,0.0
787525,1,2,4,46,2,1,68790.0,1,1,5372.91,2,2015,6,0.0,0.0
821515,1,2,4,46,1,1,60805.0,2,3,4105.58,1,2018,3,0.0,0.0
695250,1,7,21,21,1,1,93146.0,3,1,5384.43,2,2013,4,0.0,0.0
591579,1,7,23,20,1,1,51785.0,3,1,5406.88,2,2018,8,0.0,0.0
451839,1,7,21,34,1,1,60542.0,2,1,5418.73,2,2018,7,0.0,0.0
543478,1,9,13,11,2,1,61452.0,2,1,5421.02,2,2017,10,0.0,0.0
580356,1,7,21,35,1,2,0.0,3,1,5439.34,2,2013,7,0.0,0.0
912757,1,1,5,44,2,1,69184.0,1,1,5489.21,2,2015,7,0.0,0.0
701954,1,9,13,10,2,1,57808.0,1,1,5500.58,2,2017,6,0.0,0.0
392430,1,7,21,31,1,1,53189.0,1,1,5532.46,2,2015,10,0.0,0.0
962472,1,7,21,34,1,1,84271.0,2,1,5534.58,2,2018,8,0.0,0.0
441509,1,9,13,9,2,1,77435.0,2,1,5550.15,2,2015,2,0.0,0.0
937976,1,2,24,50,1,1,59327.0,2,1,5558.3,2,2018,10,0.0,0.0
391402,1,7,21,35,2,1,69765.0,3,1,5598.01,2,2017,6,0.0,0.0
403185,1,2,27,53,1,1,66223.0,2,1,5626.53,2,2017,8,0.0,0.0
585780,1,7,21,31,2,4,59332.0,1,1,5635.25,2,2015,8,0.0,0.0
408091,1,7,21,21,2,2,0.0,2,1,5657.03,2,2016,10,2017.0,6.0
849178,1,7,21,29,1,1,82157.0,2,1,5678.05,2,2016,10,0.0,0.0
857946,1,6,7,3,2,1,92695.0,2,1,5706.96,2,2016,10,0.0,0.0
946932,1,9,13,14,1,1,55486.0,2,1,5720.9,2,2017,12,0.0,0.0
665763,1,7,14,17,1,1,99414.0,2,1,5729.86,2,2013,1,0.0,0.0
693138,1,3,29,36,2,1,82358.0,2,1,5737.5,2,2015,7,0.0,0.0
773648,1,7,21,33,1,1,65435.0,2,1,5741.7,2,2013,9,0.0,0.0
162472,1,7,23,20,2,1,103331.0,2,1,5755.54,2,2018,6,0.0,0.0
881741,1,9,13,8,2,1,90798.0,2,1,5791.61,2,2018,5,0.0,0.0
607266,1,2,27,53,2,1,61882.0,2,1,5824.82,2,2016,3,2016.0,3.0
243294,1,9,13,11,2,1,65416.0,2,1,5827.48,2,2018,1,2018.0,12.0
238607,1,6,7,3,2,1,91239.0,2,1,5838.9,2,2013,12,0.0,0.0
961177,1,2,4,46,1,1,71420.0,1,1,5898.73,2,2017,9,0.0,0.0
583415,1,1,5,42,1,1,99347.0,2,1,5923.12,2,2017,2,0.0,0.0
424403,1,7,21,33,2,1,96830.0,1,1,5981.38,2,2016,4,0.0,0.0
705496,1,7,23,20,1,1,55564.0,1,1,6052.0,2,2014,1,0.0,0.0
212230,1,2,24,52,2,1,63225.0,2,1,6102.31,2,2013,12,0.0,0.0
136230,1,2,27,53,2,4,53081.0,2,1,6106.94,2,2018,7,0.0,0.0
749441,1,9,13,9,1,4,53081.0,2,1,6106.94,2,2014,12,0.0,0.0
450888,1,7,21,35,1,2,0.0,3,1,6158.85,2,2016,9,0.0,0.0
100816,1,7,14,17,1,5,97497.0,1,1,6273.91,2,2013,3,0.0,0.0
931537,1,7,21,31,1,2,0.0,3,1,6275.16,2,2015,6,0.0,0.0
941170,1,7,21,33,2,1,49817.0,2,1,6289.95,2,2016,1,0.0,0.0
857878,1,2,24,50,1,1,87152.0,1,1,7951.78,1,2018,2,0.0,0.0
934893,1,1,15,45,2,4,60347.0,2,1,6618.02,2,2013,10,0.0,0.0
151554,1,4,12,5,2,3,187647.0,3,1,6698.97,2,2016,10,0.0,0.0
715184,1,9,22,15,1,2,0.0,2,1,6715.29,2,2017,9,0.0,0.0
845488,1,9,13,9,2,2,0.0,3,1,6758.81,2,2017,8,0.0,0.0
616667,1,2,24,50,1,3,274508.0,2,1,6966.32,2,2014,3,0.0,0.0
992986,1,9,8,16,1,2,0.0,3,1,7017.15,2,2017,4,0.0,0.0
146086,1,6,7,3,1,1,70285.0,3,1,7057.46,2,2015,11,0.0,0.0
350059,1,2,4,46,1,2,0.0,3,1,7076.65,2,2017,11,2018.0,7.0
486776,1,9,8,16,2,3,276623.0,2,1,7080.13,2,2014,1,0.0,0.0
251095,1,1,5,44,1,1,70916.0,1,1,7082.83,2,2016,11,0.0,0.0
328543,1,2,27,53,2,1,78247.0,2,1,7199.65,2,2016,4,0.0,0.0
129372,1,2,24,52,1,2,0.0,2,1,7200.66,2,2018,12,0.0,0.0
163260,1,2,24,49,1,2,0.0,3,1,7247.31,2,2015,11,0.0,0.0
725182,1,7,21,29,2,1,96953.0,2,1,7255.95,2,2013,12,0.0,0.0
723015,1,7,14,17,1,4,52471.0,2,1,7259.33,2,2015,7,0.0,0.0
588943,1,7,21,23,2,2,0.0,2,1,7281.44,2,2018,1,2018.0,9.0
607538,1,7,21,33,1,1,75383.0,2,1,7288.3,2,2017,11,0.0,0.0
723112,1,2,24,51,1,1,75383.0,2,1,7288.3,2,2014,4,0.0,0.0
636413,1,7,21,31,2,1,91079.0,2,1,7322.93,2,2016,4,0.0,0.0
182205,1,7,21,31,1,2,0.0,2,1,7399.03,2,2017,11,0.0,0.0
141047,1,9,16,7,1,4,58210.0,2,1,7403.45,2,2015,3,0.0,0.0
822901,1,7,10,30,2,2,0.0,2,1,7452.54,2,2017,12,0.0,0.0
919832,1,2,24,51,2,1,91116.0,2,2,2807.05,1,2018,2,0.0,0.0
662045,1,2,24,50,1,1,56239.0,2,2,2839.81,1,2018,2,0.0,0.0
554572,1,7,23,20,2,1,76485.0,3,1,7507.46,2,2014,9,2014.0,11.0
390190,1,2,26,54,1,1,102379.0,1,1,7519.13,2,2017,5,0.0,0.0
748810,1,9,16,7,2,1,66868.0,2,1,7606.71,2,2017,8,0.0,0.0
120434,1,7,14,17,1,1,97949.0,2,1,7611.95,2,2017,5,0.0,0.0
826984,1,2,24,49,2,1,95663.0,3,1,7780.49,2,2014,8,2016.0,11.0
579726,1,2,24,49,2,4,70127.0,2,1,7787.43,2,2016,1,0.0,0.0
417838,1,7,21,31,2,1,74651.0,3,1,7840.17,2,2013,11,0.0,0.0
391939,1,3,29,38,1,2,0.0,2,1,7890.6,2,2015,10,0.0,0.0
767774,1,7,21,23,1,1,92552.0,2,1,7919.2,2,2013,1,2013.0,9.0
914352,1,7,10,30,2,2,0.0,2,1,7999.25,2,2018,10,0.0,0.0
562661,1,2,27,53,1,1,82198.0,2,2,3776.67,1,2018,2,0.0,0.0
969313,1,2,27,53,2,1,71427.0,2,1,8004.21,2,2015,1,0.0,0.0
516474,1,7,11,27,1,2,0.0,1,1,8099.47,2,2012,12,0.0,0.0
230101,1,9,8,16,2,1,99796.0,2,1,8146.27,2,2015,9,0.0,0.0
887069,1,1,15,45,1,1,61608.0,1,1,8159.14,2,2014,4,2014.0,12.0
575574,1,2,27,53,1,3,236612.0,1,1,8160.59,2,2013,8,0.0,0.0
506149,1,2,4,46,1,2,0.0,2,1,8160.69,2,2018,11,0.0,0.0
928238,1,9,13,8,2,1,84732.0,2,1,8189.97,2,2012,9,0.0,0.0
996745,1,7,14,17,2,1,61484.0,2,1,8207.7,2,2013,1,0.0,0.0
439572,1,2,24,51,2,1,50905.0,2,2,5158.58,1,2018,3,0.0,0.0
716690,1,6,7,2,2,2,0.0,3,1,8216.39,2,2013,6,0.0,0.0
276967,1,7,21,34,1,1,97643.0,3,1,8306.55,2,2017,2,2017.0,10.0
874780,1,7,21,23,2,5,106669.0,1,1,8312.68,2,2015,3,0.0,0.0
813868,1,7,14,17,2,1,101525.0,2,1,8421.52,2,2018,6,0.0,0.0
239606,1,7,21,35,2,1,99753.0,2,1,8459.05,2,2014,9,0.0,0.0
670606,1,7,23,20,2,2,0.0,3,1,8489.84,2,2015,6,0.0,0.0
275954,1,7,21,23,1,1,89645.0,1,1,8641.53,2,2018,8,0.0,0.0
380247,1,3,29,36,1,1,77615.0,2,1,8658.86,2,2012,7,0.0,0.0
177814,1,2,27,53,2,1,77543.0,2,1,8678.51,2,2018,9,0.0,0.0
817822,1,9,16,7,2,4,40070.0,2,1,8682.23,2,2014,1,0.0,0.0
927887,1,9,22,15,1,1,59766.0,2,1,8704.28,2,2015,12,0.0,0.0
190791,1,5,18,1,1,1,77478.0,3,1,8837.33,2,2016,11,0.0,0.0
126308,1,3,29,38,1,1,92396.0,2,1,8838.09,2,2016,5,2017.0,1.0
952959,1,1,1,43,1,1,66177.0,2,1,8902.74,2,2012,6,0.0,0.0
397947,1,2,24,50,2,1,78245.0,2,1,8935.27,2,2013,4,0.0,0.0
166705,1,7,21,23,2,1,98514.0,2,1,9057.94,2,2014,2,0.0,0.0
765223,1,7,21,32,1,1,59510.0,3,1,9075.77,2,2018,11,0.0,0.0
404801,1,7,23,20,1,1,65062.0,2,1,9090.27,2,2018,7,0.0,0.0
572505,1,9,8,16,2,1,88032.0,2,1,9113.69,2,2018,5,0.0,0.0
116016,1,2,24,52,1,1,56700.0,2,1,9118.93,2,2013,9,0.0,0.0
575145,1,7,21,23,2,1,85514.0,2,1,9217.13,2,2014,4,2014.0,12.0
542636,1,2,27,53,1,1,87510.0,2,1,9312.59,2,2018,11,0.0,0.0
509149,1,7,10,30,1,1,72400.0,2,1,9415.53,2,2014,10,2017.0,11.0
263339,1,7,23,20,1,1,102357.0,2,1,9500.08,2,2016,6,0.0,0.0
699397,1,4,6,6,2,1,54174.0,2,1,9640.53,2,2012,5,0.0,0.0
755014,1,3,29,38,2,1,46548.0,3,1,9688.33,2,2012,9,0.0,0.0
711500,1,2,24,51,2,2,0.0,2,2,8034.52,1,2018,2,0.0,0.0
872814,1,1,15,45,2,1,81396.0,2,1,9756.04,2,2012,12,0.0,0.0
842793,1,9,13,10,2,1,58665.0,2,1,10209.02,2,2016,2,0.0,0.0
592034,1,2,24,49,2,1,104968.0,2,2,8819.02,1,2018,2,0.0,0.0
752259,1,6,7,2,2,1,73236.0,2,1,10330.44,2,2016,3,0.0,0.0
432200,1,7,21,34,1,1,76856.0,3,1,10477.78,2,2013,12,0.0,0.0
411686,1,2,24,50,1,1,66084.0,2,1,10517.16,2,2012,7,0.0,0.0
637580,1,9,13,14,1,1,100792.0,2,1,10571.54,2,2013,1,0.0,0.0
331094,1,7,10,30,1,1,75512.0,1,1,10592.59,2,2018,5,0.0,0.0
523904,1,4,12,5,2,1,84988.0,2,1,10656.88,2,2015,3,0.0,0.0
561917,1,9,13,10,2,1,77574.0,1,1,10662.63,2,2018,7,0.0,0.0
601940,1,7,23,20,2,1,57234.0,2,1,10834.87,2,2015,7,0.0,0.0
679155,1,1,5,44,1,1,81781.0,2,1,10978.78,2,2012,6,0.0,0.0
522758,1,3,29,36,1,2,0.0,3,1,11228.29,2,2014,12,0.0,0.0
974606,1,2,27,53,2,1,103719.0,2,1,11277.72,2,2015,8,0.0,0.0
116045,1,9,16,7,1,2,0.0,3,1,11308.47,2,2014,5,0.0,0.0
967502,1,9,13,9,2,4,52256.0,2,1,11513.36,2,2017,12,0.0,0.0
372755,1,2,24,50,2,1,94089.0,2,1,11665.1,2,2018,7,0.0,0.0
336281,1,1,1,43,1,5,118863.0,1,1,11790.5,2,2017,5,0.0,0.0
721973,1,7,11,27,1,2,0.0,3,1,11905.07,2,2014,9,0.0,0.0
275637,1,2,27,53,2,1,78881.0,1,1,11971.98,2,2015,12,0.0,0.0
607997,1,6,7,3,1,1,96550.0,2,1,12280.77,2,2017,4,0.0,0.0
924630,1,1,5,42,2,1,63970.0,2,1,12302.76,2,2015,5,0.0,0.0
312630,1,2,26,54,2,2,0.0,3,1,12866.89,2,2016,3,0.0,0.0
725120,1,7,21,35,2,1,52233.0,1,1,12904.94,2,2015,11,0.0,0.0
