activity_id,year,month,total_flights,distance,points_accumulated,points_redeemed,dollar_cost_points_redeemed,loyalty_history_id
1024,2018,2,0,0,0.0,0,0,170655
1025,2018,3,0,0,0.0,0,0,170655
1026,2018,4,0,0,0.0,0,0,170655
1027,2018,5,0,0,0.0,0,0,170655
1028,2018,6,0,0,0.0,0,0,170655
1029,2018,7,0,0,0.0,0,0,170655
1030,2018,8,0,0,0.0,0,0,170655
1031,2018,9,0,0,0.0,0,0,170655
1032,2018,10,0,0,0.0,0,0,170655
1033,2018,11,0,0,0.0,0,0,170655
1034,2018,12,0,0,0.0,0,0,170655
1068,2018,7,16,13360,20040.0,0,0,171908
1069,2018,5,8,7448,11172.0,0,0,171908
1070,2018,6,8,19848,29772.0,0,0,171908
1071,2018,10,4,9892,14838.0,0,0,171908
1072,2018,12,3,2991,4486.5,0,0,171908
1073,2018,2,0,0,0.0,0,0,171908
1074,2018,3,0,0,0.0,0,0,171908
1075,2018,4,0,0,0.0,0,0,171908
1076,2018,8,0,0,0.0,0,0,171908
1077,2018,9,0,0,0.0,0,0,171908
1078,2018,11,0,0,0.0,0,0,171908
1181,2018,7,7,7077,7077.0,504,91,651377
1189,2017,7,7,8911,8911.0,0,0,120393
1194,2017,7,7,13314,13314.0,0,0,138993
1196,2017,7,7,15330,15330.0,0,0,147602
1209,2017,7,7,15904,15904.0,0,0,183208
1215,2017,7,7,11711,11711.0,0,0,206773
1236,2017,7,7,13020,13020.0,0,0,337815
1269,2017,7,7,17178,17178.0,0,0,498632
1271,2017,7,7,10325,10325.0,0,0,504802
1278,2017,7,7,14406,14406.0,0,0,547561
1293,2017,7,7,11228,11228.0,0,0,614350
1302,2017,7,7,17234,17234.0,0,0,652498
1349,2017,7,7,10794,10794.0,0,0,878575
1375,2017,7,7,7791,7791.0,0,0,995128
1400,2018,7,7,11347,11347.0,0,0,597209
1418,2018,7,7,3850,3850.0,0,0,111912
1423,2018,7,7,3913,3913.0,0,0,132552
1449,2018,7,7,14056,14056.0,0,0,230429
1458,2018,7,7,17339,17339.0,0,0,278815
1459,2018,7,7,11543,11543.0,0,0,283807
1464,2018,7,7,11459,11459.0,0,0,311556
1468,2018,7,7,14798,14798.0,0,0,321666
1521,2018,7,7,4578,4578.0,0,0,493088
1556,2018,7,7,4620,4620.0,0,0,611817
1564,2018,7,7,17045,17045.0,0,0,659205
1620,2018,7,7,8071,8071.0,0,0,865406
1659,2018,7,7,14322,14322.0,720,130,202055
