loyalty_history_id,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,clv,enrollment_type,enrollment_year,enrollment_month,cancellation_year,cancellation_month
205785,1,7,21,22,2,5,128118.0,2,3,3873.65,2,2016,8,0.0,0.0
238119,1,9,13,9,2,1,75980.0,2,3,3906.67,2,2013,5,0.0,0.0
536567,1,1,15,45,2,1,80697.0,2,3,3919.37,2,2016,5,0.0,0.0
733338,1,7,20,19,1,1,80697.0,2,3,3919.37,2,2016,6,2017.0,2.0
869743,1,7,19,28,1,1,73236.0,3,3,3924.42,2,2016,11,2017.0,7.0
501030,1,2,24,52,2,1,93541.0,2,3,3934.71,2,2017,3,0.0,0.0
285938,1,9,13,8,1,1,75827.0,2,3,3939.01,2,2014,9,0.0,0.0
375511,1,9,13,10,1,1,59300.0,3,3,4070.05,2,2014,7,0.0,0.0
119488,1,9,22,15,1,2,0.0,3,3,4108.26,2,2017,6,0.0,0.0
188340,1,7,21,23,2,1,82675.0,3,3,4118.59,2,2017,4,0.0,0.0
763061,1,7,21,34,2,1,56845.0,2,3,4126.61,2,2014,4,0.0,0.0
700871,1,5,18,1,1,1,74567.0,2,3,4165.25,2,2015,12,0.0,0.0
354438,1,9,13,8,2,2,0.0,2,3,4167.09,2,2018,9,0.0,0.0
469718,1,7,21,31,2,1,73544.0,2,3,4167.42,2,2013,1,0.0,0.0
101945,1,6,7,2,2,1,86098.0,2,3,4202.66,2,2013,11,0.0,0.0
830547,1,2,24,50,2,1,51111.0,3,3,4271.2,2,2018,5,0.0,0.0
430569,1,9,13,9,2,1,87462.0,2,3,4277.56,2,2016,10,0.0,0.0
474172,1,7,21,31,1,1,50951.0,3,3,4369.04,2,2015,5,2016.0,3.0
980198,1,9,13,14,1,1,78573.0,1,3,4376.36,2,2017,2,0.0,0.0
995693,1,1,2,41,1,1,78573.0,1,3,4376.36,2,2018,5,0.0,0.0
861924,1,6,7,2,2,2,0.0,3,3,4377.53,2,2013,9,0.0,0.0
347932,1,4,6,6,2,1,78444.0,2,3,4425.75,2,2012,9,0.0,0.0
417886,1,2,24,50,1,1,91100.0,2,3,4425.91,2,2015,2,0.0,0.0
514900,1,7,21,32,1,1,91100.0,2,3,4425.91,2,2018,7,0.0,0.0
122958,1,6,7,2,2,1,49512.0,2,3,4430.57,2,2016,6,0.0,0.0
798854,1,2,25,48,1,2,0.0,2,3,4491.91,2,2017,6,0.0,0.0
703338,1,7,23,20,2,2,0.0,3,3,4502.87,2,2018,11,0.0,0.0
667687,1,7,21,29,1,2,0.0,3,3,4512.2,2,2018,11,0.0,0.0
221388,1,7,19,28,2,2,0.0,2,3,4531.37,2,2013,7,0.0,0.0
127590,1,9,13,9,2,1,80927.0,2,3,4582.9,2,2017,4,0.0,0.0
497494,1,9,13,8,2,1,59207.0,2,3,4601.91,2,2016,7,0.0,0.0
331258,1,6,7,3,1,3,105218.0,2,3,4681.53,2,2015,4,0.0,0.0
540497,1,9,16,7,1,2,0.0,3,3,4705.59,2,2017,7,0.0,0.0
219413,1,7,14,17,2,1,47673.0,2,3,4723.82,2,2017,4,0.0,0.0
620465,1,7,21,23,2,2,0.0,3,3,4764.19,2,2012,7,0.0,0.0
955991,1,7,14,17,2,1,91681.0,3,3,4782.35,2,2013,9,0.0,0.0
822694,1,7,11,27,2,1,49577.0,2,3,4855.77,2,2018,6,0.0,0.0
685346,1,9,22,15,2,1,72587.0,2,3,4869.24,2,2014,10,0.0,0.0
512906,1,4,6,6,2,2,0.0,2,3,4872.02,2,2017,8,0.0,0.0
366719,1,9,13,11,2,1,66902.0,2,3,4873.35,2,2017,7,0.0,0.0
955178,1,7,21,24,1,1,49760.0,2,3,4880.95,2,2017,1,0.0,0.0
534716,1,7,23,20,2,1,59712.0,2,3,4881.3,2,2016,1,0.0,0.0
666556,1,7,21,35,1,4,69529.0,3,3,4897.04,2,2014,10,0.0,0.0
495027,1,2,26,54,2,1,67246.0,3,3,4913.12,2,2015,3,0.0,0.0
211083,1,7,19,28,2,2,0.0,3,3,4916.48,2,2014,11,0.0,0.0
268094,1,9,8,16,1,2,0.0,3,3,4921.75,2,2017,10,0.0,0.0
181726,1,2,26,54,1,1,67132.0,3,1,4974.87,2,2013,9,0.0,0.0
285484,1,9,16,7,2,2,0.0,2,1,5028.84,2,2014,9,0.0,0.0
340479,1,2,24,50,1,1,97025.0,2,1,5055.9,2,2016,8,0.0,0.0
730742,1,9,13,9,1,1,49351.0,2,1,5070.35,2,2017,12,0.0,0.0
117408,1,10,17,40,1,2,0.0,2,1,5099.51,2,2016,1,0.0,0.0
498644,1,7,21,31,2,1,86750.0,2,1,5103.3,2,2014,3,0.0,0.0
421855,1,5,18,1,1,1,57975.0,2,1,5107.16,2,2015,8,2016.0,10.0
873458,1,2,24,51,1,3,84117.0,1,1,5130.82,2,2015,12,0.0,0.0
820187,1,2,24,51,1,2,0.0,3,1,5162.37,2,2016,4,2016.0,7.0
784570,1,9,8,16,1,4,44092.0,3,1,5169.5,2,2017,2,0.0,0.0
733746,1,9,13,8,1,2,0.0,2,1,5171.27,2,2016,10,0.0,0.0
834522,1,7,21,29,1,1,102982.0,2,1,5181.62,2,2012,9,0.0,0.0
950980,1,7,21,31,2,1,82300.0,2,1,5220.69,2,2014,2,0.0,0.0
660030,1,9,22,15,1,2,0.0,3,1,5234.78,2,2013,9,0.0,0.0
906623,1,7,10,30,1,1,102546.0,3,1,5243.45,2,2017,8,0.0,0.0
161373,1,7,21,24,2,1,58700.0,2,1,5243.83,2,2017,4,2017.0,12.0
241038,1,7,10,30,2,1,51989.0,2,1,5244.55,2,2014,7,0.0,0.0
203864,1,9,13,13,1,1,100214.0,2,1,5266.42,2,2015,3,0.0,0.0
349342,1,7,21,23,2,1,55800.0,2,1,5271.98,2,2014,8,0.0,0.0
508821,1,7,14,18,2,3,256940.0,2,1,5300.69,2,2016,7,0.0,0.0
118632,1,7,21,29,1,2,0.0,3,1,5308.25,2,2016,10,0.0,0.0
711567,1,6,7,2,2,1,92350.0,1,1,5308.29,2,2014,6,0.0,0.0
827147,1,2,26,54,1,1,50298.0,2,1,5318.9,2,2013,6,0.0,0.0
763113,1,9,22,15,2,2,0.0,2,1,5325.72,2,2015,1,0.0,0.0
493358,1,7,14,17,2,2,0.0,3,1,5328.32,2,2018,6,0.0,0.0
646038,1,2,24,51,1,1,82347.0,2,1,5332.46,2,2013,5,0.0,0.0
503494,1,1,1,43,2,1,93146.0,3,1,5384.43,2,2017,8,0.0,0.0
511642,1,7,14,17,2,2,0.0,3,1,5412.7,2,2012,12,0.0,0.0
276990,1,7,21,23,1,1,48814.0,2,1,5426.86,2,2013,3,0.0,0.0
604116,1,2,26,54,2,1,97878.0,2,3,4554.91,1,2018,3,0.0,0.0
734307,1,2,24,52,2,1,80447.0,3,1,5454.59,2,2014,12,0.0,0.0
503096,1,7,21,32,2,1,60903.0,2,1,5461.55,2,2018,11,0.0,0.0
197855,1,2,24,52,2,1,71792.0,2,1,5470.06,2,2018,9,0.0,0.0
202864,1,2,27,53,2,1,71792.0,2,1,5470.06,2,2016,5,0.0,0.0
105688,1,2,24,49,1,2,0.0,2,1,5507.06,2,2014,6,0.0,0.0
393975,1,7,21,22,2,1,89626.0,2,1,5509.9,2,2015,7,2016.0,9.0
344121,1,7,14,17,2,1,101186.0,1,1,5520.48,2,2016,4,0.0,0.0
451240,1,9,13,11,2,1,94551.0,2,1,5522.52,2,2014,8,0.0,0.0
543956,1,2,24,52,1,2,0.0,3,1,4990.34,1,2018,2,0.0,0.0
111912,1,7,21,31,2,1,77443.0,1,1,5592.46,2,2016,6,0.0,0.0
688058,1,2,24,50,2,3,99747.0,2,1,5598.27,2,2016,9,0.0,0.0
638528,1,7,21,21,1,1,68739.0,2,1,5619.07,2,2013,3,2015.0,8.0
486359,1,2,27,53,2,1,104289.0,2,1,5657.69,2,2014,6,0.0,0.0
427329,1,2,24,51,2,1,81031.0,2,1,5681.31,2,2017,1,0.0,0.0
171908,1,2,25,48,1,1,31316.0,2,1,5813.24,1,2018,4,0.0,0.0
950252,1,7,21,21,1,1,82388.0,2,1,5744.23,2,2018,7,0.0,0.0
156959,1,2,24,52,2,1,69274.0,3,1,5780.18,2,2015,4,0.0,0.0
837704,1,1,1,43,2,1,69274.0,3,1,5780.18,2,2018,9,0.0,0.0
330988,1,1,2,41,2,1,103202.0,2,1,5969.55,2,2017,7,0.0,0.0
983809,1,2,27,53,2,1,50000.0,1,1,7025.04,1,2018,3,0.0,0.0
271987,1,10,17,39,1,5,81333.0,3,1,6005.85,2,2015,5,2016.0,1.0
510644,1,7,21,31,1,2,0.0,3,1,6021.84,2,2017,12,0.0,0.0
979168,1,7,21,25,2,2,0.0,3,1,6042.62,2,2014,11,2015.0,10.0
485280,1,7,21,35,1,1,93975.0,2,1,6104.72,2,2017,8,0.0,0.0
818454,1,2,24,51,1,1,93975.0,2,1,6104.72,2,2017,10,0.0,0.0
593868,1,7,14,18,2,1,75983.0,2,1,6106.47,2,2016,7,0.0,0.0
312863,1,9,13,9,2,2,0.0,3,1,6162.37,2,2016,8,0.0,0.0
839967,1,1,15,45,1,1,87286.0,2,1,6242.6,2,2013,9,0.0,0.0
292164,1,1,2,41,2,1,53939.0,2,1,6262.66,2,2013,8,0.0,0.0
986461,1,7,19,28,1,5,97497.0,1,1,6273.91,2,2017,10,0.0,0.0
311684,1,7,10,30,2,2,0.0,2,1,6307.5,2,2013,10,0.0,0.0
887464,1,7,19,28,2,1,57150.0,3,1,6369.26,2,2014,2,0.0,0.0
566696,1,4,6,6,2,1,74916.0,1,1,6412.37,2,2014,12,0.0,0.0
263781,1,2,24,52,1,1,83739.0,2,1,7804.02,1,2018,4,0.0,0.0
522618,1,7,23,20,1,2,0.0,3,1,6464.42,2,2015,5,0.0,0.0
307256,1,7,21,31,1,3,199894.0,2,1,6503.4,2,2012,10,0.0,0.0
378857,1,2,4,46,2,3,199894.0,2,1,6503.4,2,2014,12,0.0,0.0
496014,1,3,29,36,2,1,85038.0,2,1,6521.37,2,2012,8,0.0,0.0
775407,1,9,13,8,1,2,0.0,3,1,6537.05,2,2018,8,0.0,0.0
318199,1,7,21,21,1,1,55597.0,2,1,6563.64,2,2014,1,0.0,0.0
713039,1,7,23,20,2,1,54969.0,2,1,6685.8,2,2017,10,0.0,0.0
499482,1,2,24,50,2,1,100483.0,2,1,8131.78,1,2018,3,0.0,0.0
159680,1,10,17,39,1,2,0.0,1,1,6811.58,2,2015,10,0.0,0.0
967241,1,9,8,16,2,2,0.0,3,1,6857.52,2,2014,11,0.0,0.0
