activity_id,year,month,total_flights,distance,points_accumulated,points_redeemed,dollar_cost_points_redeemed,loyalty_history_id
34,2018,5,16,32768,49152.0,0,0,104267
35,2018,12,9,14697,22045.5,0,0,104267
36,2018,6,8,6648,9972.0,0,0,104267
37,2018,4,3,3153,4729.5,0,0,104267
38,2018,11,2,4340,6510.0,0,0,104267
39,2018,2,0,0,0.0,0,0,104267
40,2018,3,0,0,0.0,0,0,104267
41,2018,7,0,0,0.0,0,0,104267
42,2018,8,0,0,0.0,0,0,104267
43,2018,9,0,0,0.0,0,0,104267
44,2018,10,0,0,0.0,0,0,104267
364,2018,8,16,31056,46584.0,0,0,130497
365,2018,12,15,36345,54517.5,0,0,130497
366,2018,10,6,4764,7146.0,0,0,130497
367,2018,11,6,14424,21636.0,0,0,130497
368,2018,7,4,3244,4866.0,0,0,130497
369,2018,2,3,3615,5422.5,0,0,130497
370,2018,9,2,4462,6693.0,0,0,130497
371,2018,4,1,2000,3000.0,0,0,130497
372,2018,3,0,0,0.0,0,0,130497
373,2018,5,0,0,0.0,0,0,130497
374,2018,6,0,0,0.0,0,0,130497
419,2018,8,8,16264,24396.0,705,127,134717
420,2018,11,6,8724,13086.0,0,0,134717
421,2018,5,4,5648,8472.0,0,0,134717
422,2018,7,4,4012,6018.0,0,0,134717
423,2018,4,1,1236,1854.0,0,0,134717
424,2018,2,0,0,0.0,0,0,134717
425,2018,3,0,0,0.0,0,0,134717
426,2018,6,0,0,0.0,0,0,134717
427,2018,9,0,0,0.0,0,0,134717
428,2018,10,0,0,0.0,0,0,134717
429,2018,12,0,0,0.0,0,0,134717
540,2018,7,24,22296,33444.0,825,149,142621
541,2018,12,9,10998,16497.0,0,0,142621
542,2018,9,8,8680,13020.0,354,64,142621
543,2018,3,4,9928,14892.0,0,0,142621
544,2018,11,4,6564,9846.0,0,0,142621
545,2018,4,1,865,1297.5,0,0,142621
546,2018,2,1,850,1275.0,0,0,142621
547,2018,5,0,0,0.0,0,0,142621
548,2018,6,0,0,0.0,0,0,142621
549,2018,8,0,0,0.0,0,0,142621
550,2018,10,0,0,0.0,0,0,142621
848,2018,8,16,13536,20304.0,0,0,157300
849,2018,7,12,28128,42192.0,0,0,157300
850,2018,5,8,13536,20304.0,0,0,157300
851,2018,9,8,6744,10116.0,0,0,157300
852,2018,11,6,9816,14724.0,0,0,157300
853,2018,4,3,6951,10426.5,0,0,157300
854,2018,2,0,0,0.0,0,0,157300
855,2018,3,0,0,0.0,0,0,157300
856,2018,6,0,0,0.0,0,0,157300
857,2018,10,0,0,0.0,0,0,157300
858,2018,12,0,0,0.0,0,0,157300
903,2018,7,20,36500,54750.0,0,0,164559
904,2018,12,9,12267,18400.5,0,0,164559
905,2018,9,8,17664,26496.0,0,0,164559
906,2018,11,4,7240,10860.0,0,0,164559
907,2018,2,0,0,0.0,0,0,164559
908,2018,4,0,0,0.0,0,0,164559
909,2018,3,0,0,0.0,0,0,164559
910,2018,5,0,0,0.0,0,0,164559
911,2018,6,0,0,0.0,0,0,164559
912,2018,8,0,0,0.0,0,0,164559
913,2018,10,0,0,0.0,0,0,164559
914,2018,7,24,56904,85356.0,0,0,165339
915,2018,9,8,17248,25872.0,0,0,165339
916,2018,10,8,18896,28344.0,0,0,165339
917,2018,12,6,9606,14409.0,0,0,165339
918,2018,3,4,6308,9462.0,0,0,165339
919,2018,6,4,9104,13656.0,0,0,165339
920,2018,4,1,2105,3157.5,0,0,165339
921,2018,2,0,0,0.0,0,0,165339
922,2018,5,0,0,0.0,0,0,165339
923,2018,8,0,0,0.0,0,0,165339
924,2018,11,0,0,0.0,0,0,165339
925,2018,7,28,19432,29148.0,540,97,166175
926,2018,6,8,16648,24972.0,0,0,166175
927,2018,8,8,17368,26052.0,0,0,166175
928,2018,5,4,4748,7122.0,621,112,166175
929,2018,2,1,1721,2581.5,0,0,166175
930,2018,3,0,0,0.0,0,0,166175
931,2018,4,0,0,0.0,0,0,166175
932,2018,9,0,0,0.0,0,0,166175
933,2018,10,0,0,0.0,0,0,166175
934,2018,11,0,0,0.0,0,0,166175
935,2018,12,0,0,0.0,0,0,166175
936,2018,6,16,10528,15792.0,0,0,166273
937,2018,12,12,10236,15354.0,408,73,166273
938,2018,9,8,18176,27264.0,0,0,166273
939,2018,10,8,9592,14388.0,0,0,166273
940,2018,5,4,4588,6882.0,522,94,166273
941,2018,11,4,7060,10590.0,0,0,166273
942,2018,2,0,0,0.0,0,0,166273
943,2018,3,0,0,0.0,0,0,166273
944,2018,4,0,0,0.0,0,0,166273
945,2018,7,0,0,0.0,0,0,166273
946,2018,8,0,0,0.0,0,0,166273
1046,2018,6,24,43728,65592.0,0,0,171691
1047,2018,5,8,14808,22212.0,0,0,171691
1048,2018,10,8,17128,25692.0,556,100,171691
1049,2018,7,4,3528,5292.0,0,0,171691
1050,2018,11,4,6064,9096.0,0,0,171691
1051,2018,9,2,3106,4659.0,0,0,171691
1052,2018,2,0,0,0.0,0,0,171691
1053,2018,3,0,0,0.0,0,0,171691
1054,2018,4,0,0,0.0,0,0,171691
1055,2018,8,0,0,0.0,0,0,171691
1056,2018,12,0,0,0.0,0,0,171691
1167,2018,7,24,42696,64044.0,0,0,176142
1168,2018,8,24,21120,31680.0,0,0,176142
1169,2018,6,12,15348,23022.0,0,0,176142
1170,2018,9,8,10464,15696.0,0,0,176142
1171,2018,4,2,1684,2526.0,0,0,176142
1182,2018,7,7,14497,14497.0,637,115,403052
1183,2018,7,7,15400,15400.0,684,123,966391
1195,2017,7,7,7756,7756.0,0,0,144977
1205,2017,7,7,11634,11634.0,0,0,175249
1245,2017,7,7,9149,9149.0,0,0,397817
1268,2017,7,7,3815,3815.0,0,0,496357
1270,2017,7,7,8715,8715.0,0,0,500022
1304,2017,7,7,7007,7007.0,0,0,661502
1309,2017,7,7,8750,8750.0,0,0,704270
1317,2017,7,7,6587,6587.0,0,0,729518
1320,2017,7,7,7847,7847.0,0,0,744567
1326,2017,7,7,7238,7238.0,0,0,760061
1340,2017,7,7,14378,14378.0,0,0,825484
1359,2017,7,7,9471,9471.0,0,0,916713
1382,2018,7,7,3752,3752.0,720,130,923959
1410,2017,7,7,16590,16590.0,629,113,652816
1434,2018,7,7,3822,3822.0,0,0,184924
1436,2018,7,7,13678,13678.0,0,0,185774
1467,2018,7,7,6041,6041.0,0,0,319868
1473,2018,7,7,7203,7203.0,0,0,331598
1477,2018,7,7,14539,14539.0,0,0,342527
1515,2018,7,7,12572,12572.0,0,0,472532
1518,2018,7,7,9296,9296.0,0,0,478107
1525,2018,7,7,7350,7350.0,0,0,506170
1528,2018,7,7,6020,6020.0,0,0,523246
1533,2018,7,7,6475,6475.0,0,0,535944
1545,2018,7,7,10122,10122.0,0,0,561481
1566,2018,7,7,4627,4627.0,0,0,664008
1569,2018,7,7,15477,15477.0,0,0,671803
1603,2018,7,7,3773,3773.0,0,0,807211
1624,2018,7,7,13426,13426.0,0,0,881198
1639,2018,7,7,15351,15351.0,0,0,947234
1662,2018,7,7,7518,7518.0,747,134,392619
1667,2018,7,7,16212,16212.0,492,89,713085
1670,2018,7,7,5271,5271.0,831,150,286551
1673,2018,2,0,0,0.0,0,0,176142
1674,2018,3,0,0,0.0,0,0,176142
1675,2018,5,0,0,0.0,0,0,176142
1676,2018,10,0,0,0.0,0,0,176142
1677,2018,11,0,0,0.0,0,0,176142
1678,2018,12,0,0,0.0,0,0,176142
1687,2018,7,6,13866,13866.0,480,86,830385
1709,2018,6,6,4812,4812.0,483,87,135421
1732,2018,7,6,13104,13104.0,582,105,498149
1747,2017,7,6,5376,5376.0,591,106,287266
1749,2017,6,6,14622,14622.0,0,0,190149
1770,2017,7,6,5628,5628.0,454,82,650445
1805,2018,7,6,11226,11226.0,716,129,937645
1808,2017,8,6,13758,13758.0,460,83,997439
1809,2017,8,6,13506,13506.0,579,104,817456
1814,2017,8,6,7722,7722.0,496,89,165019
1818,2017,6,6,10194,10194.0,0,0,263612
1833,2017,6,6,10404,10404.0,0,0,101540
1839,2017,6,6,5838,5838.0,0,0,106037
1840,2017,6,6,4650,4650.0,0,0,106776
1845,2017,6,6,9630,9630.0,0,0,109495
1904,2017,6,6,11142,11142.0,0,0,173873
1926,2017,6,6,3168,3168.0,0,0,204484
1945,2017,6,6,5706,5706.0,0,0,225746
1979,2017,6,6,7422,7422.0,0,0,264486
1989,2017,6,6,13440,13440.0,0,0,274141
2031,2017,6,6,14202,14202.0,0,0,319868
2092,2017,7,6,3444,3444.0,0,0,299573
2111,2017,6,6,12408,12408.0,0,0,408838
2126,2017,6,6,9312,9312.0,0,0,420515
2127,2017,6,6,14952,14952.0,0,0,421191
2138,2017,6,6,5040,5040.0,0,0,432493
2169,2017,6,6,6702,6702.0,0,0,462663
2190,2017,6,6,10242,10242.0,0,0,483768
2193,2017,6,6,6774,6774.0,0,0,485795
2196,2017,6,6,5490,5490.0,0,0,487605
2197,2017,6,6,11622,11622.0,0,0,488303
2213,2018,7,6,13182,13182.0,542,98,494515
2219,2017,6,6,3594,3594.0,0,0,505522
2220,2017,6,6,8988,8988.0,0,0,507005
2263,2017,6,6,9600,9600.0,0,0,554442
2290,2017,6,6,10626,10626.0,0,0,578811
2327,2017,6,6,4290,4290.0,0,0,615214
2362,2018,6,6,4428,4428.0,710,128,391611
2363,2017,6,6,13458,13458.0,0,0,659536
2365,2017,6,6,10794,10794.0,0,0,661744
2371,2017,6,6,6834,6834.0,0,0,667860
2386,2017,6,6,7746,7746.0,0,0,677704
2403,2017,6,6,12294,12294.0,0,0,704149
2404,2017,6,6,14910,14910.0,0,0,704270
2452,2017,6,6,4386,4386.0,0,0,750649
2519,2017,6,6,7410,7410.0,0,0,835796
2532,2017,6,6,12480,12480.0,0,0,854902
2558,2017,6,6,12024,12024.0,0,0,892797
2591,2017,6,6,10386,10386.0,0,0,931183
