loyalty_history_id,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,clv,enrollment_type,enrollment_year,enrollment_month,cancellation_year,cancellation_month
530508,1,9,8,16,2,1,103495.0,2,3,3842.79,2,2014,10,0.0,0.0
735304,1,1,5,42,1,5,128118.0,2,3,3873.65,2,2016,12,0.0,0.0
608758,1,7,14,17,2,1,63795.0,2,3,3890.96,2,2013,7,0.0,0.0
265297,1,3,29,36,1,1,60519.0,2,3,3978.67,2,2018,7,0.0,0.0
511053,1,7,21,23,2,1,62518.0,2,3,4023.81,2,2015,3,0.0,0.0
170585,1,7,20,19,2,1,82675.0,3,3,4118.59,2,2013,8,0.0,0.0
509513,1,2,24,50,2,2,0.0,3,3,4121.25,2,2012,12,0.0,0.0
139863,1,9,13,9,2,1,67223.0,2,3,4142.56,2,2015,10,0.0,0.0
553936,1,7,21,31,1,1,53465.0,3,3,4170.69,2,2014,12,2015.0,8.0
645919,1,1,5,42,1,1,66297.0,1,1,7484.31,1,2018,3,0.0,0.0
404426,1,2,24,51,1,3,99696.0,2,3,4223.27,2,2014,9,0.0,0.0
753473,1,7,21,23,1,3,70996.0,3,3,4254.62,2,2013,7,0.0,0.0
917630,1,7,21,34,1,1,61809.0,2,3,4282.95,2,2016,12,0.0,0.0
977693,1,1,2,41,1,2,0.0,3,2,2887.74,1,2018,2,0.0,0.0
603775,1,7,14,17,2,2,0.0,2,3,4443.63,2,2014,3,0.0,0.0
994377,1,2,24,50,1,1,53530.0,3,3,4456.02,2,2013,12,0.0,0.0
120613,1,9,8,16,1,2,0.0,3,3,4466.1,2,2018,12,0.0,0.0
754539,1,9,22,15,2,2,0.0,3,3,4467.71,2,2016,6,0.0,0.0
947876,1,7,21,21,2,1,101171.0,2,3,4479.02,2,2018,12,0.0,0.0
650445,1,7,21,29,1,1,79568.0,2,3,4529.06,2,2016,8,0.0,0.0
686223,1,1,1,43,2,1,33651.0,2,2,3837.45,1,2018,4,0.0,0.0
130368,1,7,21,23,2,1,92859.0,2,3,4591.63,2,2013,10,0.0,0.0
644786,1,4,6,6,2,1,102899.0,2,3,4637.03,2,2015,7,0.0,0.0
756791,1,1,5,44,1,2,0.0,3,3,4639.04,2,2013,8,0.0,0.0
428826,1,2,24,51,2,1,63029.0,3,3,4645.57,2,2018,5,0.0,0.0
353128,1,2,24,52,1,1,83071.0,1,3,4670.06,2,2012,9,0.0,0.0
336341,1,7,21,34,1,2,0.0,3,3,4709.52,2,2012,11,0.0,0.0
627489,1,3,29,37,2,2,0.0,2,3,4715.29,2,2013,8,0.0,0.0
426185,1,7,21,21,2,1,83007.0,2,3,4731.75,2,2015,11,0.0,0.0
464471,1,7,21,31,1,2,0.0,3,3,4755.48,2,2014,12,2015.0,8.0
826304,1,9,22,15,1,1,85182.0,2,3,4758.19,2,2012,10,0.0,0.0
597897,1,2,24,51,1,2,0.0,3,3,4759.66,2,2018,6,0.0,0.0
251116,1,9,13,11,2,1,83445.0,2,3,4766.65,2,2014,7,2017.0,1.0
368292,1,1,5,44,1,2,0.0,2,3,4770.26,2,2016,11,2017.0,2.0
413185,1,6,7,2,1,3,175830.0,2,3,4792.51,2,2016,7,0.0,0.0
715462,1,7,21,31,2,4,61579.0,1,3,4792.83,2,2013,6,0.0,0.0
811684,1,3,29,37,2,1,104990.0,2,3,4807.85,2,2017,7,0.0,0.0
769623,1,7,14,17,2,1,60235.0,1,3,4834.71,2,2018,6,0.0,0.0
134717,1,1,5,44,2,2,0.0,3,3,2379.74,1,2018,4,0.0,0.0
636505,1,9,13,9,1,1,51831.0,2,3,4865.37,2,2015,6,0.0,0.0
