household_id,FARM,OWNERSHP,ACREHOUS,TAXINCL,PROPINSR,COSTELEC,VALUEH,ROOMS,PLUMBING,PUMA
2410923,0,0,0,0,0,0,99,0,0,0
2414729,0,1,2,1,59,2,11,4,2,1
2415627,0,2,0,0,0,2,99,4,2,1
2415889,0,2,0,0,0,1,99,2,2,1
2416161,0,2,1,0,0,12,99,4,2,1
2416634,0,2,0,0,0,1,99,2,2,1
2417075,0,0,0,0,0,0,99,0,0,1
2418732,0,2,1,0,0,3,99,5,2,2
2419379,0,1,1,1,59,6,22,8,2,2
2419386,0,2,0,0,0,12,99,3,2,2
2419585,0,1,1,1,59,18,22,9,2,2
2419668,0,2,1,0,0,2,99,3,2,2
2419773,0,2,0,0,0,99,99,2,2,2
2420751,0,2,1,0,0,18,99,7,2,2
2421063,0,2,1,0,0,1,99,4,2,2
2421893,0,0,0,0,0,0,99,0,0,3
2422887,0,1,2,1,59,20,16,5,2,3
2423086,0,1,2,0,59,7,22,4,2,3
2424848,0,1,1,2,55,8,11,4,2,3
2424868,0,1,1,1,35,4,27,5,2,3
2425038,0,2,1,0,0,7,99,5,2,3
2426267,0,1,1,1,40,8,5,7,2,4
2426283,0,1,1,2,40,23,13,9,2,4
2428838,0,1,2,1,30,6,35,9,2,4
2428840,0,2,1,0,0,2,99,4,2,4
2430624,0,2,1,0,0,10,99,6,2,5
2433864,0,2,0,0,0,3,99,4,2,5
2433987,0,1,1,0,59,11,16,3,2,5
2435123,0,1,1,0,59,6,62,9,2,6
2435157,0,1,1,0,59,28,35,5,2,6
2436043,0,1,1,1,59,6,22,5,2,6
2437472,1,2,2,0,0,15,99,7,2,7
2437694,0,2,0,0,0,10,99,4,2,7
2438158,0,0,0,0,0,0,99,0,0,7
2438447,0,1,1,1,59,11,13,9,2,7
2439025,0,1,1,2,30,18,6,5,2,7
2439874,0,2,0,0,0,3,99,5,2,7
2441950,0,2,0,0,0,6,99,3,2,8
2441968,0,1,1,2,48,5,18,7,2,8
2442211,0,1,1,1,59,18,13,6,2,8
