individual_id,RELATE,SEX,AGE,MARST,RACE,CITIZEN,SPEAKENG,SCHOOL,EDUC,GRADEATT,SCHLTYPE,EMPSTAT,CLASSWKR,INCTOT,DISABWRK,household_id
5279,7,0,27,1,0,0,2,1,6,0,1,3,0,0,1,2410923
13102,0,1,37,0,7,0,2,1,9,0,1,1,2,2,1,2414729
13103,1,0,50,0,8,0,2,1,7,0,1,1,2,7,1,2414729
15083,0,0,24,5,0,0,2,1,7,0,1,1,2,6,1,2415627
15084,7,1,24,5,0,0,2,2,8,6,2,1,2,6,1,2415627
15635,0,1,75,3,2,0,2,1,8,0,1,3,0,4,1,2415889
16234,0,0,35,0,2,0,2,1,6,0,1,1,2,6,1,2416161
16235,1,1,31,0,2,0,2,1,6,0,1,1,2,9,1,2416161
16236,2,0,11,5,2,0,2,2,2,4,2,0,0,0,0,2416161
16237,2,0,3,5,2,0,0,2,0,1,2,0,0,0,0,2416161
16238,2,0,2,5,2,0,0,0,0,0,0,0,0,0,0,2416161
17220,0,0,62,0,0,0,2,1,7,0,1,1,2,2,1,2416634
17221,1,1,51,0,0,0,2,1,7,0,1,3,2,0,1,2416634
18177,7,1,21,2,0,0,2,1,7,0,1,3,2,2,1,2417075
21903,0,0,39,3,1,0,2,1,8,0,1,1,2,9,1,2418732
23375,0,1,44,3,4,0,2,1,9,0,1,1,2,26,1,2419379
23390,0,0,47,3,0,0,2,1,8,0,1,1,2,5,1,2419386
23844,0,0,55,0,0,0,2,1,9,0,1,1,2,11,1,2419585
23845,1,1,40,0,0,0,2,1,9,0,1,1,2,0,1,2419585
24038,0,0,71,3,0,0,2,1,4,0,1,3,0,4,1,2419668
24281,0,1,74,3,7,0,2,1,8,0,1,1,2,4,1,2419773
26407,0,1,52,3,0,0,2,1,6,0,1,1,2,9,1,2420751
26408,2,0,20,5,0,0,2,1,5,0,1,2,2,1,1,2420751
27097,0,1,39,3,0,0,2,2,7,6,2,1,2,10,1,2421063
27098,2,0,15,5,0,0,2,2,3,5,2,0,0,0,0,2421063
27099,2,0,12,5,0,0,2,2,2,4,2,0,0,0,0,2421063
28880,7,0,49,5,0,2,3,1,1,0,1,1,2,8,1,2421893
30875,0,0,47,0,0,0,2,1,7,0,1,1,1,12,1,2422887
30876,1,1,46,0,0,0,2,1,6,0,1,1,1,8,1,2422887
30877,2,1,14,5,0,0,2,2,2,5,2,0,0,0,0,2422887
31286,0,0,54,0,0,0,2,1,10,0,1,1,1,42,1,2423086
31287,1,1,48,0,0,0,2,1,7,0,1,1,1,1,2,2423086
34730,0,1,43,0,0,2,3,1,6,0,1,1,2,5,2,2424848
34731,1,0,38,0,0,3,4,1,6,0,1,1,2,10,2,2424848
34732,2,0,23,5,0,3,3,1,6,0,1,1,2,6,2,2424848
