household_id,FARM,OWNERSHP,ACREHOUS,TAXINCL,PROPINSR,COSTELEC,VALUEH,ROOMS,PLUMBING,PUMA
2408438,0,1,1,0,35,12,7,5,2,0
2408873,0,1,1,0,59,10,13,5,2,0
2409280,0,2,2,0,0,99,99,8,2,0
2409346,0,2,0,0,0,7,99,4,2,0
2409484,0,1,1,0,30,5,0,1,2,0
2409633,0,2,2,0,0,8,99,3,2,0
2409680,0,1,1,1,59,24,5,5,2,0
2409778,0,1,1,0,45,6,9,5,2,0
2409851,0,1,1,0,14,5,0,4,2,0
2410781,0,1,1,1,45,15,9,7,2,0
2411354,0,1,1,0,40,18,16,5,2,0
2412853,0,0,0,0,0,0,99,0,0,0
2414002,0,2,1,0,0,7,99,6,2,1
2414642,0,1,1,1,27,1,11,3,2,1
2415307,0,1,1,2,59,13,9,6,2,1
2416407,0,1,1,2,59,5,9,5,2,1
2417291,0,2,0,0,0,4,99,1,2,1
2417396,0,1,1,2,59,10,11,6,2,2
2417931,0,0,0,0,0,0,99,0,0,2
2418133,0,1,1,0,59,20,22,7,2,2
2418767,0,1,1,1,59,20,2,7,2,2
2418984,0,2,1,0,0,18,99,6,2,2
2419552,0,1,1,0,59,18,22,3,2,2
2419738,0,2,1,0,0,12,99,6,2,2
2419972,0,1,1,2,50,23,13,7,2,2
2420119,0,1,1,2,23,12,7,5,2,2
2421031,0,1,1,0,30,25,0,5,2,2
2422652,0,2,1,0,0,9,99,4,2,3
2422656,0,1,1,0,0,36,1,4,2,3
2424564,0,2,0,0,0,4,99,2,2,3
2425225,0,2,1,0,0,10,99,2,2,3
2425386,0,1,1,0,36,6,8,6,2,4
2425769,0,1,1,0,56,18,2,5,2,4
2426234,1,2,2,0,0,18,99,6,2,4
2426375,0,0,0,0,0,0,99,0,0,4
2426875,0,1,2,2,52,9,13,2,2,4
2427286,0,1,1,1,37,15,4,5,2,4
2430870,0,1,1,1,34,30,11,5,2,5
2431053,0,2,1,0,0,7,99,6,2,5
2431504,0,1,1,0,15,10,1,3,2,5
2431559,0,1,1,1,59,4,3,4,2,5
2432507,0,2,0,0,0,12,99,5,2,5
2432604,0,1,1,0,40,7,16,7,2,5
2432687,0,1,1,0,50,6,8,5,2,5
2434351,0,2,2,0,0,30,99,5,2,6
2434475,0,1,1,2,40,16,13,5,2,6
2435703,0,1,1,2,45,6,11,3,2,6
2436033,0,1,1,1,59,8,4,6,2,6
2436334,0,1,1,0,38,3,9,4,2,6
2436797,0,1,1,2,50,3,13,5,2,6
2437264,0,1,1,2,59,8,22,4,2,6
2438000,0,1,1,0,49,4,11,6,2,7
2438885,0,1,1,1,40,24,6,6,2,7
2439886,0,1,1,2,47,8,11,6,2,7
2439916,0,2,0,0,0,10,99,3,2,7
2441146,0,1,1,0,35,10,27,8,2,8
2441783,0,2,0,0,0,8,99,5,2,8
