individual_id,RELATE,SEX,AGE,MARST,RACE,CITIZEN,SPEAKENG,SCHOOL,EDUC,GRADEATT,SCHLTYPE,EMPSTAT,CLASSWKR,INCTOT,DISABWRK,household_id
496,0,1,83,4,0,2,2,1,3,0,1,3,0,4,1,2408438
1328,0,0,72,3,0,0,2,1,6,0,1,3,0,5,1,2408873
2107,0,0,41,0,6,3,4,1,2,0,1,1,2,9,2,2409280
2108,1,1,32,0,6,2,3,2,7,6,3,1,2,4,1,2409280
2109,2,0,12,5,6,0,3,2,2,4,2,0,0,0,0,2409280
2110,2,1,10,5,6,0,3,2,2,4,2,0,0,0,0,2409280
2254,0,0,43,5,0,0,2,1,6,0,1,2,1,1,1,2409346
2255,2,1,7,5,0,0,2,2,1,3,2,0,0,0,0,2409346
2256,7,1,40,3,0,0,2,1,6,0,1,1,2,12,1,2409346
2538,0,0,57,3,0,0,2,1,7,0,1,3,0,5,1,2409484
2850,0,0,33,0,0,0,2,1,9,0,1,1,1,30,1,2409633
2851,1,1,32,0,0,0,2,1,9,0,1,1,2,10,1,2409633
2852,2,1,10,5,0,0,2,2,1,3,2,0,0,0,0,2409633
2853,2,0,4,5,0,0,0,2,1,1,2,0,0,0,0,2409633
2944,0,0,51,0,0,0,5,1,7,0,1,1,2,14,1,2409680
2945,1,1,48,0,0,0,2,1,7,0,1,1,2,6,2,2409680
3136,0,0,49,3,0,0,2,1,6,0,1,3,0,14,2,2409778
3279,0,0,35,0,0,3,5,1,1,0,1,1,2,10,1,2409851
3280,1,1,34,0,0,3,1,1,2,0,1,3,2,7,1,2409851
3281,2,0,9,5,0,0,4,2,1,3,2,0,0,0,0,2409851
3282,2,1,5,5,0,0,5,2,1,3,2,0,0,0,0,2409851
3283,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2409851
5006,0,0,42,3,0,0,3,1,6,0,1,1,1,24,1,2410781
5007,2,0,12,5,0,0,2,2,2,4,2,0,0,0,0,2410781
5008,7,1,40,3,0,0,2,1,6,0,1,1,2,7,1,2410781
6123,0,1,73,4,0,0,2,1,7,0,1,3,0,28,2,2411354
9049,7,0,32,1,0,0,2,1,6,0,1,3,0,0,2,2412853
11507,0,0,49,3,0,0,2,1,7,0,1,1,2,25,1,2414002
12916,0,1,29,0,0,0,2,1,6,0,1,1,1,6,1,2414642
12917,1,0,26,0,0,0,2,1,6,0,1,1,2,15,1,2414642
12918,2,0,4,5,0,0,0,2,1,1,2,0,0,0,0,2414642
12919,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,2414642
14327,0,0,62,0,0,0,2,1,7,0,1,3,2,19,1,2415307
14328,1,1,62,0,0,0,2,1,8,0,1,3,2,5,1,2415307
16750,0,1,85,3,0,0,2,1,9,0,1,3,0,17,1,2416407
18663,0,1,22,5,2,0,2,2,7,6,2,3,2,3,1,2417291
18896,0,0,58,0,0,0,2,1,9,0,1,3,2,4,1,2417396
18897,1,1,56,0,0,0,2,1,6,0,1,3,0,3,2,2417396
18898,5,1,14,5,0,0,2,2,2,5,2,0,0,0,0,2417396
18899,5,1,11,5,0,0,2,2,2,4,2,0,0,0,0,2417396
20060,7,0,20,5,0,0,2,2,6,6,2,3,2,0,1,2417931
20496,0,0,72,0,0,0,2,1,6,0,1,3,0,18,1,2418133
20497,1,1,74,0,0,0,2,1,6,0,1,3,0,15,1,2418133
21994,0,0,36,0,0,0,2,1,6,0,1,1,2,17,1,2418767
21995,1,1,38,0,7,0,2,1,6,0,1,3,0,0,1,2418767
21996,2,1,14,5,7,0,2,2,2,5,2,0,0,0,0,2418767
21997,2,0,11,5,7,0,2,2,2,4,2,0,0,0,0,2418767
22519,0,1,34,0,0,0,2,1,7,0,1,1,2,6,1,2418984
22520,1,0,26,0,0,0,2,1,6,0,1,3,0,0,1,2418984
22521,2,1,11,5,0,0,2,2,1,3,2,0,0,0,0,2418984
22522,2,0,10,5,0,0,2,2,1,3,2,0,0,0,0,2418984
22523,2,1,8,5,0,0,2,2,1,3,2,0,0,0,0,2418984
22524,2,0,7,5,0,0,2,2,0,2,2,0,0,0,0,2418984
22525,2,0,11,5,0,0,2,2,1,3,2,0,0,0,0,2418984
22526,2,0,3,5,0,0,0,2,0,1,2,0,0,0,0,2418984
22527,2,1,10,5,0,0,2,2,0,3,2,0,0,0,0,2418984
22528,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,2418984
22529,2,0,7,5,0,0,2,2,1,3,2,0,0,0,0,2418984
22530,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,2418984
23764,0,0,81,0,0,0,2,1,7,0,1,3,1,0,1,2419552
23765,1,1,76,0,0,0,2,1,9,0,1,3,0,13,1,2419552
24215,0,0,51,3,0,0,2,1,6,0,1,3,1,3,1,2419738
24755,0,1,43,3,0,0,2,1,9,0,1,1,2,21,1,2419972
24756,2,0,8,5,0,0,2,2,1,3,2,0,0,0,0,2419972
24757,2,0,8,5,0,0,2,2,1,3,2,0,0,0,0,2419972
25053,0,0,56,3,0,0,2,1,4,0,1,3,0,5,2,2420119
27030,0,0,70,1,0,0,2,1,2,0,1,3,0,4,2,2421031
27031,4,1,68,3,0,0,2,1,6,0,1,3,0,6,1,2421031
30353,0,0,49,5,0,0,2,1,6,0,1,3,0,4,2,2422652
30354,2,0,16,5,0,0,2,2,3,5,2,3,0,0,1,2422652
30357,0,1,71,4,2,0,2,1,6,0,1,3,0,4,1,2422656
34156,0,1,78,3,0,2,3,1,6,0,1,3,0,4,2,2424564
35506,0,1,45,1,0,0,2,1,6,0,1,1,2,10,2,2425225
35507,2,1,14,5,0,0,2,2,2,5,2,0,0,0,0,2425225
35508,2,1,9,5,0,0,2,2,1,3,2,0,0,0,0,2425225
35849,0,1,83,4,0,0,2,1,9,0,1,3,0,23,2,2425386
36695,0,0,81,0,0,0,2,1,2,0,1,3,0,8,2,2425769
36696,1,1,76,0,0,0,2,1,3,0,1,3,0,2,1,2425769
