household_id,FARM,OWNERSHP,ACREHOUS,TAXINCL,PROPINSR,COSTELEC,VALUEH,ROOMS,PLUMBING,PUMA
2408420,0,1,1,0,33,9,6,6,2,0
2408713,0,0,0,0,0,0,99,0,0,0
2409306,0,1,1,0,15,2,0,3,2,0
2412239,0,2,2,0,0,12,99,5,2,0
2413549,0,2,1,0,0,3,99,5,2,1
2414709,0,1,1,1,45,7,22,6,2,1
2415422,0,2,0,0,0,99,99,3,2,1
2415435,0,1,1,1,59,7,11,3,2,1
2415844,0,2,2,0,0,24,99,6,2,1
2415961,0,1,1,1,50,12,16,8,2,1
2417525,0,2,1,0,0,10,99,2,2,2
2417671,0,1,1,1,33,6,8,4,2,2
2418615,0,1,0,0,50,0,9,2,2,2
2419217,0,2,1,0,0,15,99,6,2,2
2419268,0,2,1,0,0,10,99,4,2,2
2419788,0,1,1,1,47,13,11,6,2,2
2420574,0,1,1,2,59,15,11,6,2,2
2421157,0,0,0,0,0,0,99,0,0,2
2421187,0,2,1,0,0,8,99,4,2,2
2421661,0,2,1,0,0,1,99,2,2,3
2421760,0,1,1,1,59,7,18,7,2,3
2421949,0,1,1,1,59,12,18,6,2,3
2422011,0,1,2,0,16,3,6,4,2,3
2423722,0,1,1,0,24,14,13,5,2,3
2424439,0,2,1,0,0,7,99,4,2,3
2425183,0,1,1,2,59,4,16,6,2,3
2425201,0,1,1,1,59,7,18,5,2,3
2425807,0,1,1,1,50,16,8,6,2,4
2426651,0,0,0,0,0,0,99,0,0,4
2427014,0,2,1,0,0,99,99,4,2,4
2427105,0,1,1,0,59,12,16,5,2,4
2429105,0,1,1,2,40,18,13,8,2,4
2429376,0,1,1,0,59,5,7,6,2,5
2430057,0,2,1,0,0,4,99,3,2,5
2430159,0,2,1,0,0,5,99,4,2,5
2430341,0,1,1,2,36,8,8,6,2,5
2430644,0,0,0,0,0,0,99,0,0,5
2430866,0,2,1,0,0,6,99,5,2,5
2432145,0,2,0,0,0,5,99,4,2,5
2432420,0,2,1,0,0,17,99,5,2,5
2433850,0,2,1,0,0,7,99,5,2,5
2434544,0,1,1,1,59,12,35,7,2,6
2435248,0,2,0,0,0,8,99,2,2,6
2435727,0,1,1,2,46,3,11,6,2,6
2436419,0,2,2,0,0,12,99,5,2,6
2437066,0,2,2,0,0,3,99,1,2,6
2437115,0,1,1,1,59,12,35,9,2,6
2437222,0,1,1,1,40,7,8,6,2,6
2437577,0,2,0,0,0,12,99,2,2,7
2438480,0,1,1,0,24,15,16,7,2,7
2438489,0,2,1,0,0,14,99,6,2,7
2442303,0,2,1,0,0,0,99,1,2,8
2442576,0,1,1,2,25,11,13,5,2,8
2443306,0,2,1,0,0,10,99,5,2,8
2443461,0,2,0,0,0,3,99,5,2,8
2444014,0,1,1,1,48,4,35,5,2,10
2444358,0,2,1,0,0,4,99,4,2,10
2444567,0,1,1,1,59,14,45,9,2,10
2444673,0,1,1,0,59,6,22,5,2,10
2445669,0,1,1,1,59,8,35,5,2,10
