individual_id,RELATE,SEX,AGE,MARST,RACE,CITIZEN,SPEAKENG,SCHOOL,EDUC,GRADEATT,SCHLTYPE,EMPSTAT,CLASSWKR,INCTOT,DISABWRK,household_id
453,0,0,39,0,0,0,2,1,6,0,1,1,2,16,1,2408420
454,1,1,35,0,0,0,2,1,6,0,1,3,0,0,1,2408420
455,2,0,11,5,0,0,2,2,1,3,2,0,0,0,0,2408420
456,2,0,10,5,0,0,2,2,1,3,2,0,0,0,0,2408420
1024,7,0,32,1,0,0,3,1,6,0,1,3,2,0,1,2408713
2147,0,0,57,3,0,0,2,1,6,0,1,3,0,6,2,2409306
7866,0,0,56,0,0,0,2,1,8,0,1,1,2,24,1,2412239
7867,1,1,51,0,0,0,2,2,8,6,2,1,2,33,1,2412239
10553,0,1,23,5,7,0,3,2,7,6,2,1,2,3,2,2413549
10554,7,1,25,5,7,0,2,2,7,6,2,1,2,6,1,2413549
10555,7,1,22,5,0,0,2,2,8,6,2,3,2,5,1,2413549
13052,0,0,57,0,0,0,2,1,9,0,1,1,2,45,1,2414709
13053,1,1,52,0,0,0,2,1,9,0,1,1,2,16,1,2414709
14599,0,1,24,5,0,0,2,1,8,0,1,1,2,2,1,2415422
14600,7,0,22,5,0,0,2,1,6,0,1,1,2,2,1,2415422
14629,0,0,38,0,0,0,2,1,6,0,1,1,2,23,1,2415435
14630,1,1,37,0,0,0,2,1,9,0,1,1,2,17,1,2415435
14631,2,1,8,5,0,0,2,2,1,3,2,0,0,0,0,2415435
14632,2,0,12,5,0,0,2,2,2,4,2,0,0,0,0,2415435
14633,2,0,5,5,0,0,2,1,0,0,1,0,0,0,0,2415435
15544,0,0,25,0,0,0,2,1,6,0,1,1,2,27,1,2415844
15545,1,1,25,0,0,0,2,1,8,0,1,3,2,0,1,2415844
15546,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,2415844
15783,0,1,42,0,0,0,2,1,8,0,1,1,2,10,1,2415961
15784,1,0,43,0,0,0,2,1,7,0,1,1,2,11,1,2415961
15785,2,1,12,5,0,0,2,2,2,4,2,0,0,0,0,2415961
19189,0,1,85,4,0,0,2,1,4,0,1,3,0,4,1,2417525
