session_id,user_id,action,action_type,action_detail,device_type,secs_elapsed
0,0,81.0,7.0,102.13033440195413,8.0,670.9458363487597
1,0,103.0,7.0,0.998198927566304,8.0,2768.0962334161763
2,0,158.0,7.0,57.0,8.0,7098.249833559636
3,0,78.0,0.0,0.0,8.0,6465.197074781302
4,0,81.0,7.0,97.0,8.0,1125.3438009206216
5,0,116.0,1.0,62.0,8.0,8547.566752269307
6,0,124.73964685199913,0.0,0.0,8.0,53300.28482858912
7,0,81.0,7.0,99.0,8.0,43953.10747325643
8,0,54.0,6.0,24.0,8.0,398981.3893947536
9,0,154.0,2.0,99.0,8.0,3397.702462247717
10,1,158.0,7.0,57.0,11.0,192.28709559821266
11,1,183.0,6.0,87.43789944659508,11.0,114638.51828424017
12,1,74.0,3.0,34.0,6.0,796.9627556102732
13,1,6.0,0.0,0.0,11.0,15.467553905289092
14,1,49.0,2.0,19.0,11.0,543.1562502975698
15,1,158.0,7.0,57.0,2.0,3239.976134626754
16,1,23.0,2.0,17.0,10.0,583.7250164586027
17,1,153.0,2.0,99.0,11.0,21231.743599678157
18,1,153.0,2.0,99.0,11.0,24346.609122473623
19,1,147.0,6.0,65.0,10.0,115070.57582352676
20,2,154.0,2.0,99.0,6.0,2190.141366702722
21,2,118.0,3.0,101.0,6.0,699.3539039558341
22,2,49.0,2.0,19.0,6.0,22607.156634629257
23,2,32.90911320380797,6.0,43.26028849886868,6.0,251.86027490630678
24,2,165.0,3.0,78.0,6.0,615.8114620348758
25,2,31.0,6.0,20.0,6.0,562.8151697192377
26,2,56.0,7.0,26.0,6.0,545.7077253596366
27,2,158.0,7.0,57.0,6.0,41190.260912249614
28,2,165.0,3.0,78.0,6.0,658.9667948855921
29,2,23.0,2.0,17.0,6.0,260.7054297843995
30,3,165.0,3.0,78.0,8.0,320.0717524186037
31,3,56.0,7.0,26.0,8.0,429.2563749540527
32,3,187.0,0.0,0.0,8.0,29646.622150448362
33,3,118.0,3.0,101.0,8.0,0.0
34,3,61.0,7.0,68.0,8.0,5419.127080464666
35,3,16.0,2.0,20.0,8.0,29522.067780977155
36,3,54.0,6.0,24.0,8.0,384712.42966817383
37,3,147.0,7.0,60.0,8.0,28725.18376384175
38,3,23.0,2.0,17.0,8.0,502.2009079618761
39,3,23.0,2.0,17.0,8.0,2015.7341804761904
40,4,150.0,3.0,41.0,10.0,134.64113840454013
41,4,60.0,7.0,28.0,10.0,1317.682611997821
42,4,44.0,7.0,97.0,11.0,19852.61773699919
43,4,118.0,3.0,101.0,10.0,15963.66280583727
44,4,37.324958152830526,0.0,0.0,10.0,28136.480746299905
45,4,165.0,3.0,78.0,10.0,0.0
46,4,60.0,7.0,28.0,10.0,1674.1919485349974
47,4,31.0,6.0,20.0,5.0,415.5709050195897
48,4,154.0,2.0,99.0,10.0,6557.508789561064
49,4,78.93918632429616,0.0,0.0,8.0,1256.0917029397658
50,5,23.0,2.0,17.0,6.0,3739.934155939168
51,5,158.0,7.0,57.0,6.0,13142.252104183797
52,5,154.0,2.0,99.0,6.0,93847.22111783442
53,5,49.0,2.0,19.0,6.0,0.0
54,5,23.0,2.0,17.0,6.0,1217.255752480147
55,5,49.60886610834163,0.0,0.0,6.0,12520.35856384834
56,5,118.0,3.0,101.0,6.0,686.8984533820909
57,5,183.0,6.0,87.79551720089233,6.0,96639.7431574642
58,5,23.0,2.0,17.0,6.0,733.9028589095263
59,5,9.0,2.0,14.0,6.0,474.4307241691677
60,6,154.0,2.0,99.0,10.0,334597.8047948542
61,6,31.0,6.0,20.0,8.0,1234.1244409358885
62,6,118.0,3.0,101.0,8.0,236.0226291306146
63,6,56.0,7.0,26.0,8.0,2198.764878770224
64,6,49.0,2.0,19.0,8.0,53611.91338481035
65,6,23.0,2.0,17.0,8.0,676.2326467830043
66,6,74.0,3.0,34.0,8.0,426.65555390078987
67,6,154.0,2.0,99.0,8.0,10448.632874134057
68,6,23.0,2.0,17.0,8.0,1347.6963868340526
69,6,158.0,7.0,99.1982128137646,8.0,346.7347225101128
70,7,158.0,7.0,57.0,6.0,17945.768289513835
71,7,81.0,7.0,99.0,6.0,1153.7709036242316
72,7,158.0,7.0,57.0,6.0,25687.709324915973
73,7,147.0,7.0,60.0,6.0,1399.5294850570542
74,7,147.0,7.0,60.0,6.0,1278.8138396547674
75,7,54.0,6.0,24.0,6.0,17566.079884012
76,7,183.0,6.0,85.0,6.0,13017.448001806215
77,7,154.0,2.0,99.0,6.0,28290.346701301227
78,7,118.0,3.0,101.0,6.0,1322.2432356540753
79,7,116.0,1.0,62.0,6.0,9749.719922424993
80,8,118.0,3.0,101.0,8.0,980.0951286775913
81,8,118.0,3.0,101.0,8.0,3706.390745265935
82,8,165.0,3.0,78.0,8.0,449.1500712083395
83,8,154.0,2.0,99.0,8.0,2107.00809408319
84,8,183.0,6.0,88.0,8.0,272770.8200065953
85,8,88.73051855546325,7.0,48.07603340706656,8.0,412368.66916176124
86,8,154.0,2.0,99.0,8.0,17115.933408681445
87,8,74.0,3.0,34.0,8.0,357.09077833531245
88,8,23.0,2.0,17.0,8.0,586.0975709072832
89,8,147.0,6.0,65.0,8.0,15595.628727874617
90,9,133.0,0.0,0.0,8.0,284.1483809659992
91,9,118.0,3.0,101.0,8.0,6557.4060658156695
92,9,23.0,2.0,17.0,8.0,106.81682375961245
93,9,142.80457623347513,7.0,67.0221059021859,8.0,21146.031695998212
94,9,158.0,7.0,57.0,8.0,524.8036049666927
95,9,118.0,3.0,101.0,8.0,843.4287831105086
96,9,14.583308738447656,0.0,0.0,8.0,59828.4114408563
97,9,118.0,3.0,101.0,8.0,1282.8737790756354
98,9,165.0,3.0,78.0,6.0,568.0500401873087
99,9,81.0,7.0,50.0,8.0,24825.334712110216
100,10,154.0,2.0,99.0,8.0,13241.555643539099
101,10,154.0,2.0,99.0,8.0,6275.499433412037
102,10,9.0,2.0,14.0,8.0,31.660772020660765
103,10,60.0,7.0,28.0,8.0,8169.964070506252
104,10,147.0,7.0,60.0,8.0,742.0403193095829
105,10,165.0,3.0,78.0,8.0,2582.4677746592047
106,10,165.0,3.0,78.0,8.0,171.5807594549331
107,10,23.0,2.0,17.0,8.0,1531.4904440190937
108,10,74.0,3.0,34.0,8.0,377.9557646135944
109,10,116.0,1.0,62.0,8.0,8288.414266409392
110,11,81.0,0.0,0.0,8.0,574.1526946668256
111,11,74.0,3.0,34.0,8.0,4578.186223228709
112,11,19.0,0.0,0.0,8.0,6.8735818172395895
113,11,23.0,2.0,17.0,8.0,1126.932622799538
114,11,158.0,7.0,92.0,8.0,350.6583487944947
115,11,81.0,7.0,99.0,8.0,36772.292272946215
116,11,154.0,2.0,99.0,8.0,6858.111593679263
117,11,165.0,3.0,78.0,8.0,2394.226397418762
118,11,19.0,0.0,0.0,8.0,48.86882381218539
119,11,23.0,2.0,17.0,8.0,8111.215347855795
120,12,165.0,3.0,78.0,6.0,100.51963372928073
121,12,141.44613656673243,6.0,72.84950796281109,6.0,1637.3976314896329
122,12,158.0,7.0,57.0,6.0,833.1299074974821
123,12,81.0,7.0,50.0,6.0,56252.31089022845
124,12,23.0,2.0,17.0,5.0,1923.18892059231
125,12,5.021548499216544,0.0,0.0,6.0,9704.035584936715
126,12,165.0,3.0,78.0,6.0,184.7124623318704
127,12,60.0,7.0,28.0,6.0,12497.071302914233
128,12,165.0,3.0,78.0,6.0,4723.761008521628
129,12,118.0,3.0,101.0,6.0,50.23565935202484
