user_id,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
0,2.0,39.887786011794525,1.0,0.0,2.0,2.0,2.0,0.0,2.0,3.0,5.0,9.0
1,1.0,33.019084550556855,0.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
2,0.0,25.980060935540315,0.0,0.0,2.0,6.0,6.0,3.0,2.0,3.0,8.0,9.0
3,2.0,31.0,1.0,0.0,2.0,2.0,2.0,5.0,2.0,6.0,5.0,9.0
4,2.0,32.0,0.0,0.0,2.0,2.0,2.0,6.0,2.0,6.0,9.0,9.0
5,2.0,34.89759531387112,1.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,8.0,9.0
6,1.0,18.0,0.0,0.0,2.0,5.0,6.0,3.0,2.0,3.0,13.0,9.0
7,2.0,25.030947962516958,1.0,12.0,4.0,0.0,9.0,5.0,3.0,3.0,5.0,4.0
8,0.0,34.557891973998906,0.0,0.0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
9,2.0,39.88524230360085,0.0,0.0,2.0,2.0,2.0,0.0,2.0,3.0,8.0,9.0
10,1.0,26.07533814766827,0.0,0.0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,3.0
11,1.0,23.006789052630552,0.0,0.0,2.0,5.0,6.0,3.0,2.0,6.0,5.0,9.0
12,2.0,55.88664669640745,0.0,0.0,2.0,2.0,2.0,6.0,2.0,6.0,8.0,9.0
13,1.0,46.89542541643269,0.0,0.0,2.0,2.0,2.0,6.0,2.0,7.0,11.0,9.0
14,1.0,27.983837523961085,1.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
15,1.0,53.940845681511625,0.0,0.0,2.0,5.0,1.0,3.0,2.0,3.0,13.0,2.0
16,2.0,37.8775314450437,0.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
17,1.0,22.995592670337988,1.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,7.0
18,1.0,58.104568548210764,0.0,0.0,2.0,6.0,6.0,3.0,2.0,3.0,5.0,9.0
19,0.0,25.000100941810445,0.0,0.0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,4.0
20,1.0,25.015188178412888,0.0,0.0,2.0,5.0,6.0,3.0,2.0,3.0,5.0,5.0
21,2.0,47.78526655457624,0.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
22,1.0,59.03645636817137,1.0,0.0,2.0,6.0,6.0,3.0,2.0,1.0,9.0,9.0
23,1.0,48.10835285004284,1.0,12.0,2.0,0.0,9.0,6.0,3.0,8.0,0.0,9.0
24,1.0,41.10410253862223,0.0,0.0,2.0,2.0,2.0,0.0,2.0,3.0,8.0,9.0
25,0.0,26.0052695951635,0.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
26,1.0,35.490328968236184,0.0,0.0,2.0,2.0,2.0,6.0,2.0,6.0,8.0,9.0
27,2.0,30.0,1.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,8.0,9.0
28,0.0,40.97689445157615,2.0,12.0,2.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0
29,2.0,31.0,0.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
30,0.0,30.0,0.0,12.0,2.0,0.0,9.0,6.0,0.0,4.0,0.0,10.0
31,0.0,34.24842081245727,0.0,0.0,2.0,2.0,2.0,6.0,2.0,6.0,8.0,9.0
32,1.0,33.047800225299525,0.0,0.0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,3.0
33,1.0,40.01393050081167,1.0,0.0,2.0,7.0,6.0,6.0,2.0,6.0,5.0,7.0
34,1.0,50.92472699511828,0.0,0.0,2.0,5.0,6.0,3.0,2.0,6.0,9.0,9.0
35,2.0,37.01984050311874,0.0,0.0,2.0,5.0,6.0,3.0,2.0,6.0,9.0,9.0
36,1.0,35.02106640091838,0.0,0.0,2.0,2.0,2.0,6.0,1.0,8.0,11.0,9.0
37,1.0,31.0,1.0,25.0,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
38,0.0,32.96101677407549,0.0,0.0,2.0,2.0,2.0,0.0,2.0,6.0,9.0,9.0
39,2.0,40.981405122883515,0.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
40,1.0,43.80326857055523,0.0,23.0,2.0,2.0,2.0,6.0,0.0,0.0,0.0,10.0
41,1.0,46.99349532845689,0.0,0.0,2.0,2.0,2.0,6.0,2.0,7.0,11.0,9.0
42,1.0,29.0,0.0,0.0,2.0,5.0,6.0,6.0,2.0,6.0,9.0,9.0
43,2.0,30.0,0.0,0.0,2.0,4.0,6.0,6.0,2.0,3.0,5.0,10.0
44,0.0,33.93735332700784,0.0,0.0,2.0,2.0,2.0,6.0,2.0,6.0,8.0,9.0
45,2.0,55.054818828602826,1.0,0.0,2.0,2.0,2.0,0.0,2.0,7.0,11.0,3.0
46,0.0,67.96080214098464,0.0,0.0,2.0,6.0,6.0,3.0,2.0,6.0,8.0,4.0
47,1.0,117.54663488020714,0.0,0.0,2.0,5.0,6.0,3.0,2.0,3.0,8.0,10.0
48,2.0,31.73102657744468,0.0,0.0,2.0,5.0,6.0,3.0,2.0,6.0,5.0,9.0
49,0.0,44.095710134559766,0.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
50,2.0,22.98384516719583,1.0,0.0,2.0,5.0,6.0,6.0,2.0,3.0,5.0,8.0
51,1.0,39.09899580462719,0.0,0.0,2.0,2.0,2.0,6.0,2.0,6.0,9.0,9.0
52,0.0,40.01344243854189,0.0,0.0,2.0,2.0,2.0,0.0,2.0,6.0,8.0,9.0
53,2.0,41.25870623705562,1.0,0.0,2.0,2.0,2.0,0.0,2.0,6.0,8.0,9.0
54,1.0,32.0,1.0,0.0,2.0,5.0,6.0,3.0,2.0,3.0,13.0,9.0
55,2.0,26.000546615229474,1.0,0.0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,7.0
56,2.0,111.10858801812685,0.0,0.0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,10.0
57,1.0,30.848232401174016,0.0,0.0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
58,1.0,24.995514289889485,0.0,0.0,2.0,2.0,2.0,6.0,2.0,6.0,8.0,9.0
59,1.0,29.0,0.0,25.0,2.0,2.0,2.0,6.0,3.0,6.0,9.0,9.0
60,1.0,30.0,1.0,0.0,2.0,6.0,6.0,3.0,2.0,6.0,5.0,5.0
61,2.0,32.0,1.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,4.0
62,2.0,33.93086158301631,0.0,0.0,2.0,2.0,2.0,6.0,2.0,6.0,8.0,10.0
63,2.0,56.90932329528652,0.0,0.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,9.0
64,2.0,48.41766502903064,0.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
65,2.0,34.00478003347169,0.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
66,1.0,27.0,0.0,24.0,2.0,2.0,2.0,0.0,1.0,8.0,11.0,9.0
67,2.0,128.4634930398135,0.0,0.0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,10.0
68,2.0,29.0,0.0,0.0,2.0,5.0,6.0,3.0,2.0,3.0,8.0,9.0
69,2.0,34.96364105301417,1.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,8.0,9.0
70,0.0,32.0,0.0,25.0,2.0,2.0,2.0,0.0,3.0,7.0,11.0,9.0
71,1.0,31.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,6.0,8.0,10.0
72,2.0,26.009238341402778,0.0,0.0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,5.0
73,2.0,32.042454108513866,1.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
74,2.0,23.966423868777134,0.0,25.0,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
75,2.0,52.02288437527792,0.0,0.0,2.0,6.0,6.0,3.0,2.0,7.0,11.0,9.0
76,1.0,27.0,1.0,25.0,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
77,1.0,27.997092079285146,1.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
78,2.0,33.87080732856717,0.0,25.0,2.0,2.0,2.0,6.0,3.0,8.0,11.0,9.0
79,1.0,23.005984329914973,0.0,0.0,2.0,7.0,12.0,0.0,2.0,7.0,11.0,9.0
80,1.0,36.99251512950007,1.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,4.0
81,1.0,27.0,0.0,24.0,2.0,2.0,2.0,0.0,1.0,8.0,11.0,9.0
82,1.0,24.99885474399911,1.0,0.0,2.0,7.0,4.0,3.0,2.0,3.0,5.0,9.0
83,0.0,22.01274573327064,0.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
84,1.0,31.595009198407332,1.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
85,0.0,35.9527902206444,0.0,0.0,2.0,6.0,6.0,0.0,2.0,6.0,8.0,9.0
86,1.0,27.955993032681857,0.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,8.0,9.0
87,0.0,23.991446776530797,0.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
88,0.0,116.03884375281733,0.0,0.0,2.0,2.0,2.0,6.0,2.0,2.0,7.0,9.0
89,1.0,24.046043316627888,1.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
90,1.0,46.06750121373165,0.0,0.0,2.0,6.0,6.0,3.0,2.0,6.0,9.0,4.0
91,0.0,32.95587912883332,0.0,24.0,2.0,2.0,2.0,6.0,1.0,3.0,5.0,9.0
