loyalty_history_id,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,clv,enrollment_type,enrollment_year,enrollment_month,cancellation_year,cancellation_month
0,1.0,7.0,21.0,25.06760348142221,2.0,1.0,84445.34395028817,3.0,3.0,22633.294739426197,2.0,2017.0,12.0,0.0,0.0
1,1.0,9.0,13.0,14.292406423381927,2.0,2.0,0.0,3.0,3.0,20436.879987749202,2.0,2013.0,11.0,2017.0,5.0
2,1.0,7.0,21.0,25.021821990691947,2.0,1.0,51378.67609747185,2.0,2.0,5859.881817609847,1.0,2018.0,3.0,0.0,0.0
3,1.0,7.0,14.0,16.937163566509795,2.0,2.0,0.0,1.0,3.0,4676.039668454297,2.0,2013.0,6.0,0.0,0.0
4,1.0,1.0,5.0,43.95131353611704,1.0,1.0,88350.04122211211,2.0,3.0,2690.1307776757913,2.0,2012.0,6.0,0.0,0.0
5,1.0,5.0,18.0,1.0000064209093766,1.0,1.0,84782.12425102158,1.0,3.0,2618.721322353657,2.0,2012.0,11.0,0.0,0.0
6,1.0,7.0,20.0,18.92399469154595,1.0,2.0,0.0,2.0,1.0,18579.529716298068,2.0,2017.0,2.0,0.0,0.0
7,1.0,2.0,4.0,45.86309445487872,2.0,5.0,104393.91371254504,1.0,3.0,2688.4164840075687,2.0,2015.0,8.0,0.0,0.0
8,1.0,7.0,21.0,22.982637880694543,1.0,1.0,76792.08504545149,2.0,2.0,8747.75317133989,2.0,2017.0,6.0,0.0,0.0
9,1.0,9.0,13.0,9.007844651671345,1.0,5.0,106789.41079155203,2.0,2.0,11953.6356733332,2.0,2016.0,6.0,0.0,0.0
10,1.0,6.0,7.0,2.9694317157678105,1.0,1.0,52897.43459622882,2.0,3.0,2617.1471555966777,1.0,2018.0,2.0,2018.0,10.0
11,1.0,9.0,13.0,12.921501416044471,1.0,4.0,44074.659390621935,2.0,3.0,7718.131623775396,2.0,2013.0,1.0,0.0,0.0
12,1.0,6.0,7.0,3.012626744193023,1.0,1.0,96566.18419953539,2.0,1.0,12221.592296911469,2.0,2017.0,4.0,0.0,0.0
13,1.0,9.0,13.0,14.165773530873821,2.0,2.0,0.0,1.0,2.0,4826.046233309539,2.0,2012.0,12.0,0.0,0.0
