household_id,FARM,OWNERSHP,ACREHOUS,TAXINCL,PROPINSR,COSTELEC,VALUEH,ROOMS,PLUMBING,PUMA
0,0,2,1,0,0.0,10.0,99.0,7,2,115
1,0,2,1,0,0.0,3.0,99.0,4,2,76
2,0,2,0,0,0.0,4.968730550895957,99.0,4,2,34
3,0,1,1,1,34.33851306130101,4.0,27.0,5,2,3
4,0,2,0,0,0.0,0.9551581971269965,99.0,1,2,134
5,0,2,0,0,0.0,0.9188614354278339,99.0,3,2,188
6,0,1,1,1,32.98798672592765,18.347340349379444,35.0,6,2,76
7,0,1,1,0,59.0,10.0,45.0,8,2,38
8,0,1,0,1,59.0,7.0,35.0,6,2,159
9,0,1,1,1,59.0,12.0,62.0,8,2,38
10,0,2,0,0,0.0,4.916219378346582,99.0,2,2,143
11,0,1,1,0,34.59351493964919,7.0,45.0,7,2,134
12,0,1,1,1,39.998913897619694,6.0,6.0,3,2,213
13,0,1,1,1,59.0,8.940745177733117,99.0,9,2,133
14,0,2,1,0,0.0,8.0,99.0,2,2,127
15,0,2,0,0,0.0,6.0,99.0,3,2,24
16,0,1,1,0,59.0,6.0,16.0,3,2,62
17,0,1,1,1,20.18892728381465,4.0,11.0,4,2,202
18,0,0,0,0,0.0,0.0,99.0,0,0,117
19,0,2,1,0,0.0,99.0,99.0,5,2,143
20,0,1,1,1,45.21785291647929,6.0,35.0,6,2,157
21,0,2,0,0,0.0,2.0,99.0,3,2,44
22,0,1,1,0,59.0,7.0,8.0,5,2,90
23,0,1,0,2,14.524862852912257,2.0,11.0,4,2,204
24,0,2,0,0,0.0,3.0,99.0,4,2,224
25,0,1,1,1,59.0,10.0,35.0,7,2,128
26,0,1,1,1,59.0,10.0,22.0,8,2,173
27,0,1,1,0,45.00247374131229,6.0,87.0,6,2,78
28,0,1,0,2,58.33815789748243,4.949380373549134,8.0,2,2,153
29,0,2,0,0,0.0,1.0211072252976443,99.0,3,2,76
30,0,2,1,0,0.0,99.0,99.0,2,2,229
31,0,1,1,2,29.84531288177022,10.0,13.0,5,2,25
32,0,2,0,0,0.0,99.0,99.0,2,2,119
33,1,1,1,1,59.0,10.0,87.0,8,2,227
34,0,1,1,1,59.0,20.016443072866796,99.0,9,2,83
35,0,0,0,0,0.0,0.0,99.0,0,0,211
36,0,1,1,2,24.90371292460088,6.0,27.0,9,2,206
37,0,1,1,1,30.124100464178348,20.78313737153411,87.0,8,2,202
38,0,2,0,0,0.0,0.0,99.0,4,2,147
39,0,1,1,0,39.88131414210698,10.0,35.0,7,2,64
40,0,2,1,0,0.0,3.0,99.0,7,2,17
41,0,2,0,0,0.0,1.0435881882387594,99.0,2,2,224
42,0,2,0,0,0.0,4.0,99.0,1,2,13
43,0,1,1,1,30.0939338556069,12.0,11.0,7,2,116
44,0,2,0,0,0.0,99.0,99.0,3,2,3
45,0,1,1,2,50.05281842628848,5.032833831631223,16.0,7,2,21
46,0,2,0,0,0.0,2.0,99.0,1,2,71
47,0,2,0,0,0.0,1.0407327280579217,99.0,2,2,16
48,0,2,1,0,0.0,8.0,99.0,2,2,81
49,0,2,1,0,0.0,29.852409482314197,99.0,8,2,10
50,0,1,1,0,59.0,4.0,27.0,6,2,195
51,0,1,1,0,59.0,3.0,62.0,6,2,47
52,0,2,0,0,0.0,1.0072080219045105,99.0,3,2,24
53,0,1,1,2,59.0,8.0,13.0,5,2,104
54,0,1,1,2,36.80824376138198,21.634596733880358,16.0,6,2,206
55,0,0,0,0,0.0,0.0,99.0,0,0,145
56,0,1,1,1,24.529475696937,1.0708208186485297,27.0,7,2,183
57,0,2,0,0,0.0,11.029075292069905,99.0,5,2,118
58,0,1,1,1,50.145796998899,7.0,27.0,8,2,197
59,0,1,1,1,42.174262827375486,6.0,18.0,6,2,87
60,0,2,0,0,0.0,3.0,99.0,3,2,62
61,0,2,1,0,0.0,4.0,99.0,5,2,124
62,0,2,0,0,0.0,99.0,99.0,3,2,203
63,0,1,1,2,59.0,6.0,35.0,9,2,28
64,0,2,0,0,0.0,4.977364411808217,99.0,5,2,193
65,0,2,0,0,0.0,12.0,99.0,1,2,142
66,0,2,0,0,0.0,2.0,99.0,5,2,200
67,0,1,1,2,59.0,8.0,13.0,5,2,104
68,0,2,0,0,0.0,7.0,99.0,2,2,150
69,0,2,1,0,0.0,10.0,99.0,6,2,112
70,0,2,1,0,0.0,12.0,99.0,3,2,77
71,0,2,1,0,0.0,4.0,99.0,6,2,220
72,0,1,0,1,59.0,7.0,35.0,6,2,158
73,0,1,1,2,51.83789554166596,2.0,27.0,7,2,230
74,0,1,1,2,59.0,4.0,13.0,5,2,211
75,0,2,0,0,0.0,99.0,99.0,1,2,180
76,0,1,1,1,59.0,4.0,18.0,5,2,172
77,0,0,0,0,0.0,0.0,99.0,0,0,195
78,0,2,1,0,0.0,30.050371010802717,99.0,8,2,10
79,0,2,1,0,0.0,10.0,99.0,3,2,146
80,0,1,1,1,43.19705299228772,14.943199575114415,13.0,6,2,111
81,0,2,0,0,0.0,3.0,99.0,3,2,172
82,0,1,1,1,15.973360111514516,8.0,11.0,4,2,174
83,0,1,1,2,26.09643368146655,8.0,11.0,3,2,189
84,0,2,0,0,0.0,10.961968630657516,99.0,5,2,109
85,0,0,0,0,0.0,0.0,99.0,0,0,203
86,0,1,1,1,49.90234286024874,14.99048948011375,27.0,9,2,11
87,0,1,1,2,59.0,17.007999140294704,13.0,8,2,211
88,0,0,0,0,0.0,0.0,99.0,0,0,93
89,0,1,1,1,40.53404750505859,12.0,22.0,5,2,126
90,0,1,1,0,59.0,99.0,9.0,4,2,133
91,0,1,1,2,35.59499436523567,5.09868101186211,35.0,9,2,226
92,0,1,1,2,59.0,25.410987997929784,87.0,9,2,79
93,0,1,2,0,59.0,7.0,22.0,4,2,3
94,0,1,1,1,49.82441378714515,6.0,18.0,6,2,34
95,0,2,1,0,0.0,99.0,99.0,8,2,175
96,0,1,1,1,59.0,17.828447263909474,45.0,9,2,191
97,0,1,1,2,23.377617253775895,12.0,11.0,5,2,115
98,0,1,1,0,41.86316266807502,0.0,13.0,6,2,68
99,0,1,1,2,32.03240383677802,3.0,16.0,6,2,11
100,0,2,1,0,0.0,18.116922478225874,99.0,7,2,20
101,0,1,1,0,34.47650625730647,6.0,45.0,4,2,143
102,0,1,1,2,44.99505651787228,12.0,13.0,3,2,147
103,0,1,1,0,59.0,4.0,27.0,6,2,195
104,0,1,1,0,59.0,7.0,35.0,7,2,165
105,0,2,0,0,0.0,2.0,99.0,2,2,200
106,0,2,0,0,0.0,17.756958749833423,99.0,3,2,16
107,0,2,1,0,0.0,99.0,99.0,5,2,16
108,0,2,0,0,0.0,2.0,99.0,4,2,176
109,0,2,0,0,0.0,99.0,99.0,2,2,83
110,0,1,1,1,34.907724947888,4.0,27.0,5,2,3
111,0,1,1,2,59.0,6.0,13.0,6,2,212
112,0,1,1,2,59.0,6.0,18.0,8,2,122
113,0,2,0,0,0.0,10.0,99.0,4,2,140
114,0,1,1,0,59.0,29.86817742271107,45.0,9,2,103
115,0,1,1,2,49.995489128675814,3.0,6.0,4,2,113
116,0,1,1,2,48.11131642323675,6.0,16.0,3,2,157
117,0,2,1,0,0.0,6.0,99.0,6,2,108
118,0,2,1,0,0.0,0.9884063192460069,99.0,3,2,123
119,0,1,1,0,59.0,10.919669021980564,62.0,6,2,128
120,0,2,0,0,0.0,12.0,99.0,1,2,142
121,0,2,0,0,0.0,4.0,99.0,1,2,187
122,0,1,1,1,45.14612882906499,6.0,35.0,6,2,157
123,0,1,1,1,59.0,14.020112966205714,62.0,8,2,206
124,0,1,1,0,59.0,2.0,13.0,4,2,36
125,0,1,1,0,59.0,2.0,13.0,4,2,36
126,0,1,1,1,59.0,4.9289958458647405,27.0,5,2,125
127,0,1,1,2,59.0,99.0,18.0,3,2,118
128,0,2,0,0,0.0,4.0,99.0,4,2,78
129,0,1,1,1,20.09289929600297,4.0,11.0,4,2,202
130,0,1,0,0,59.0,0.9676451690994927,22.0,6,2,170
131,0,2,1,0,0.0,99.0,99.0,2,2,228
132,0,1,1,1,50.08245794772353,7.0,27.0,6,2,203
133,0,2,1,0,0.0,24.83679696528135,99.0,3,2,166
134,0,1,1,1,59.0,6.0,18.0,6,2,213
135,0,1,1,1,59.0,10.0,62.0,7,2,10
136,0,1,1,1,59.0,12.0,62.0,7,2,74
137,0,2,0,0,0.0,2.0,99.0,4,2,177
138,0,1,1,2,59.0,6.0,16.0,5,2,174
139,0,0,0,0,0.0,0.0,99.0,0,0,225
140,0,1,1,1,59.0,13.930812440152376,62.0,8,2,204
141,0,2,0,0,0.0,3.0,99.0,4,2,56
142,0,1,1,0,57.864543017908176,6.0,35.0,7,2,52
143,0,0,0,0,0.0,0.0,99.0,0,0,83
144,0,2,0,0,0.0,4.0,99.0,2,2,33
145,0,1,1,1,45.619706026813816,4.9694827893310265,13.0,3,2,220
146,0,1,1,0,59.0,6.0,16.0,3,2,62
147,0,1,1,2,41.62479642995818,13.076990605662559,16.0,5,2,23
148,0,2,1,0,0.0,8.0,99.0,2,2,81
149,0,2,1,0,0.0,24.587849149689504,99.0,4,2,22
150,0,0,0,0,0.0,0.0,99.0,0,0,222
151,0,1,1,1,59.0,9.022322723746885,27.0,7,2,228
152,0,0,0,0,0.0,0.0,99.0,0,0,162
153,0,2,1,0,0.0,12.0,99.0,6,2,131
154,0,2,1,0,0.0,13.227980274507745,99.0,7,2,141
155,0,1,1,2,59.0,6.0,16.0,5,2,176
156,0,2,0,0,0.0,4.0,99.0,1,2,13
157,0,1,1,0,45.21785284712966,1.012040358995634,35.0,7,2,203
158,0,2,0,0,0.0,12.803013884357174,99.0,5,2,159
159,0,2,0,0,0.0,7.0,99.0,4,2,207
160,0,1,1,1,59.0,13.022778317003715,35.0,7,2,162
161,0,2,1,0,0.0,1.0094801691783957,99.0,3,2,123
162,0,0,0,0,0.0,0.0,99.0,0,0,111
163,0,1,1,1,59.0,6.0,35.0,6,2,119
164,0,2,0,0,0.0,4.0,99.0,1,2,173
165,0,2,1,0,0.0,4.0,99.0,6,2,57
166,0,1,1,2,42.879426856590754,12.0,16.0,8,2,17
167,0,1,1,2,39.956842034144685,12.0,27.0,6,2,185
168,0,0,0,0,0.0,0.0,99.0,0,0,24
169,0,2,0,0,0.0,99.0,99.0,3,2,136
170,0,2,0,0,0.0,3.0,99.0,3,2,78
171,0,2,0,0,0.0,4.0,99.0,3,2,204
172,0,1,1,1,59.0,34.81474089258023,62.0,9,2,65
173,0,2,1,0,0.0,20.13642979569876,99.0,3,2,68
174,0,2,1,0,0.0,99.0,99.0,5,2,143
175,0,1,1,2,59.0,15.940656827763057,16.0,7,2,111
176,0,2,0,0,0.0,4.0,99.0,4,2,100
177,0,1,1,0,59.0,18.04030321445928,22.0,3,2,188
178,0,1,1,2,53.409882505237185,16.042949968958915,13.0,6,2,174
179,0,2,0,0,0.0,0.0,99.0,1,2,78
180,0,2,0,0,0.0,3.0,99.0,4,2,49
181,0,2,0,0,0.0,5.045743846545552,99.0,2,2,143
182,0,2,0,0,0.0,12.910540865273823,99.0,1,2,3
183,0,1,1,2,59.0,99.0,22.0,7,2,118
184,0,2,0,0,0.0,0.0,99.0,1,2,171
185,0,1,1,1,59.0,6.0,18.0,6,2,213
186,0,2,0,0,0.0,24.09375389289407,99.0,2,2,41
187,0,1,1,2,53.512924174722016,15.96231096291234,13.0,6,2,175
188,0,0,0,0,0.0,0.0,99.0,0,0,100
189,0,2,0,0,0.0,3.0,99.0,3,2,47
190,0,2,1,0,0.0,3.0,99.0,5,2,162
191,0,2,0,0,0.0,99.0,99.0,3,2,77
192,0,0,0,0,0.0,0.0,99.0,0,0,183
193,0,1,1,1,45.97214872746999,8.0,27.0,8,2,203
194,0,2,0,0,0.0,1.04813085440356,99.0,1,2,169
195,0,1,1,0,59.0,0.0,27.0,9,2,58
196,0,1,1,0,36.661798753833935,7.0,7.0,3,2,101
197,0,2,0,0,0.0,1.007234439864062,99.0,1,2,43
198,0,0,0,0,0.0,0.0,99.0,0,0,214
199,0,1,1,2,39.89089082994074,8.984270477453691,22.0,6,2,204
200,0,1,1,1,59.0,7.0,62.0,9,2,39
201,0,1,1,1,59.0,9.07104809301412,13.0,6,2,93
202,0,1,1,1,44.35117601310498,15.185119232347677,22.0,8,2,207
203,0,1,1,0,59.0,10.0,45.0,8,2,132
204,0,2,0,0,0.0,2.0,99.0,1,2,135
205,0,2,0,0,0.0,1.0612362074106798,99.0,3,2,75
206,0,1,1,1,59.0,8.0,27.0,4,2,158
207,0,0,0,0,0.0,0.0,99.0,0,0,101
208,0,1,1,2,54.398333882896,6.0,8.0,4,2,210
209,0,2,1,0,0.0,99.0,99.0,5,2,157
210,0,2,1,0,0.0,6.0,99.0,4,2,220
211,0,1,1,1,59.0,10.999416367712143,62.0,7,2,8
212,0,2,1,0,0.0,12.0,99.0,3,2,77
213,0,2,1,0,0.0,8.0,99.0,5,2,197
214,0,2,1,0,0.0,17.93119529327609,99.0,6,2,61
215,0,0,0,0,0.0,0.0,99.0,0,0,92
216,0,1,1,2,59.0,8.0,22.0,5,2,91
217,0,1,1,2,35.58800788095364,12.0,8.0,5,2,8
218,0,0,0,0,0.0,0.0,99.0,0,0,83
219,0,1,1,0,21.291029601218156,4.0,2.0,4,2,218
220,0,1,1,2,23.21059046736181,3.0,27.0,6,2,201
221,0,1,1,0,45.243884738811346,20.859126980950926,13.0,7,2,126
222,0,2,0,0,0.0,11.01173447181936,99.0,5,2,118
223,0,2,0,0,0.0,99.0,99.0,1,2,134
224,0,1,1,0,39.863462750187665,18.25760787631606,16.0,6,2,28
225,0,1,1,2,59.0,12.97695529770157,27.0,8,2,154
226,0,1,1,2,40.36662542267854,3.0,18.0,3,2,188
227,0,2,0,0,0.0,4.0,99.0,1,2,137
228,0,1,1,1,59.0,4.0,22.0,6,2,194
229,1,2,2,0,0.0,15.108660693535501,99.0,7,2,7
230,0,1,1,1,59.0,0.9738732589688279,45.0,6,2,134
231,0,0,0,0,0.0,0.0,99.0,0,0,10
232,0,1,1,1,59.0,10.0,16.0,7,2,32
233,0,0,0,0,0.0,0.0,99.0,0,0,28
234,0,1,1,1,59.0,12.0,62.0,7,2,73
235,0,1,1,2,42.97422709413033,15.20034982543195,9.0,7,2,97
236,0,2,0,0,0.0,99.0,99.0,3,2,82
237,0,1,1,0,50.15316167207853,6.0,16.0,5,2,62
238,0,2,0,0,0.0,11.107737357311123,99.0,5,2,109
239,0,1,1,1,36.21146805108269,14.055905333134278,16.0,8,2,166
240,0,2,1,0,0.0,10.971158903931055,99.0,5,2,183
241,0,2,0,0,0.0,99.0,99.0,3,2,134
242,0,2,1,0,0.0,2.0,99.0,5,2,216
243,0,1,1,2,32.24653239983745,34.64877397562587,7.0,5,2,95
244,0,2,1,0,0.0,35.11831839904562,99.0,5,2,121
245,0,1,1,0,59.0,7.0,35.0,7,2,164
246,0,1,1,1,29.667382953002694,21.031173695748457,87.0,8,2,202
247,0,2,0,0,0.0,3.0,99.0,4,2,121
248,0,2,0,0,0.0,2.0,99.0,3,2,223
249,0,2,0,0,0.0,99.0,99.0,3,2,83
250,0,2,0,0,0.0,99.0,99.0,9,2,9
251,0,2,0,0,0.0,12.868438072856947,99.0,1,2,32
252,0,2,0,0,0.0,6.0,99.0,3,2,103
253,0,2,0,0,0.0,10.978453189612146,99.0,5,2,118
254,0,1,1,1,59.0,14.20047576038741,99.0,7,2,180
255,0,2,1,0,0.0,6.0,99.0,3,2,66
256,0,1,1,2,28.444590861799917,3.0,16.0,3,2,165
257,0,1,1,2,40.03460904109269,3.0,18.0,3,2,187
258,0,1,1,2,45.199260269542215,10.0,22.0,7,2,42
259,0,1,1,1,59.0,8.0,13.0,5,2,127
260,0,1,1,1,59.0,8.0,13.0,5,2,126
261,0,2,0,0,0.0,99.0,99.0,3,2,213
262,0,1,1,0,59.0,6.0,4.0,2,1,74
263,0,1,1,1,59.0,11.084977670511865,62.0,7,2,80
264,0,0,0,0,0.0,0.0,99.0,0,0,107
265,0,1,1,1,59.0,10.0,87.0,9,2,81
266,0,1,1,0,34.47022365861454,7.0,45.0,7,2,134
267,0,1,1,1,59.0,10.0,18.0,5,2,166
268,0,0,0,0,0.0,0.0,99.0,0,0,155
269,0,0,0,0,0.0,0.0,99.0,0,0,102
270,0,1,1,1,59.0,6.0,35.0,9,2,207
271,0,1,1,2,37.94717999027355,12.0,16.0,8,2,86
272,0,1,1,2,44.772006392053214,10.0,22.0,7,2,42
273,0,0,0,0,0.0,0.0,99.0,0,0,43
274,0,1,0,0,59.0,2.0,87.0,3,2,46
275,0,2,1,0,0.0,4.0,99.0,4,2,179
276,0,2,0,0,0.0,10.0,99.0,2,2,119
277,0,1,1,2,54.8728044795136,8.950531050316613,16.0,8,2,144
278,0,2,2,0,0.0,12.0,99.0,6,2,87
279,0,1,0,0,30.0342429614363,3.0,11.0,4,2,83
280,0,2,0,0,0.0,4.0,99.0,3,2,119
281,0,2,1,0,0.0,7.0,99.0,5,1,211
282,0,1,1,0,38.721098045324425,9.03198752473186,8.0,6,2,90
283,0,1,1,1,15.676578228505988,6.0,35.0,5,2,204
284,0,2,1,0,0.0,4.0,99.0,2,2,191
285,0,2,0,0,0.0,3.0,99.0,4,2,121
286,0,2,1,0,0.0,18.22878766750825,99.0,5,2,213
287,0,0,0,0,0.0,0.0,99.0,0,0,191
288,0,2,1,0,0.0,30.267872441580394,99.0,8,2,10
289,0,2,1,0,0.0,8.0,99.0,7,2,77
290,0,1,1,0,40.1923395395748,10.912473420180767,11.0,5,2,19
291,0,1,1,2,42.24183699700266,13.140199283294557,16.0,5,2,230
292,0,1,1,2,30.176786560666823,5.074214222177281,22.0,4,2,86
293,0,1,1,0,59.0,0.0,18.0,2,2,28
294,0,2,0,0,0.0,12.0,99.0,3,2,69
295,0,1,1,0,59.0,12.0,16.0,6,2,23
296,0,1,1,0,59.0,12.0,18.0,6,2,125
297,0,0,0,0,0.0,0.0,99.0,0,0,188
298,0,2,0,0,0.0,3.0,99.0,3,2,172
299,0,1,1,2,39.79984092413644,12.0,27.0,6,2,184
300,0,1,1,1,59.0,1.2043606283408685,27.0,7,2,205
301,0,2,0,0,0.0,24.623745083346357,99.0,2,2,90
302,0,1,1,2,31.97739903783812,3.0,16.0,6,2,11
303,0,2,0,0,0.0,10.0,99.0,4,2,7
304,0,1,1,1,45.76532121972251,7.0,35.0,7,2,135
305,0,2,0,0,0.0,5.002248046264102,99.0,5,2,192
306,0,1,1,2,22.879246147219504,3.0,27.0,6,2,201
307,0,1,1,1,34.73338074554465,4.0,27.0,5,2,3
308,0,1,1,0,59.0,8.0,62.0,7,2,54
309,0,1,1,1,59.0,10.0,62.0,7,2,10
310,0,0,0,0,0.0,0.0,99.0,0,0,101
311,0,2,1,0,0.0,16.819886899314753,99.0,5,2,84
312,0,2,0,0,0.0,3.0,99.0,4,2,57
313,0,1,1,0,59.0,4.964397294275397,16.0,8,2,142
314,0,1,1,1,59.0,14.124277607439614,99.0,7,2,180
315,0,2,0,0,0.0,7.0,99.0,4,2,203
316,0,2,0,0,0.0,3.0,99.0,1,2,191
317,0,2,0,0,0.0,1.001692589450915,99.0,2,2,1
318,0,1,1,1,59.0,7.0,62.0,9,2,39
319,0,1,1,1,39.554698719805714,4.0,18.0,6,2,162
320,0,1,1,2,32.45076566782271,35.2365618240508,7.0,5,2,95
321,0,1,1,1,59.0,0.9967060568924282,45.0,6,2,134
322,0,2,0,0,0.0,99.0,99.0,3,2,209
323,0,1,1,1,12.257095366252848,22.02765168527278,7.0,5,2,21
324,0,2,1,0,0.0,0.9865461012936407,99.0,4,2,2
325,0,2,0,0,0.0,3.0,99.0,4,2,49
326,0,1,1,0,20.391744875677688,8.0,2.0,5,2,28
327,0,2,1,0,0.0,7.0,99.0,5,2,66
328,0,2,1,0,0.0,8.0,99.0,3,2,10
329,0,2,0,0,0.0,1.0247002151271083,99.0,2,2,138
330,0,0,0,0,0.0,0.0,99.0,0,0,199
331,0,2,1,0,0.0,0.0,99.0,4,2,18
332,0,1,1,2,49.99592041075538,10.0,13.0,6,2,210
333,0,1,0,1,21.58980687519488,6.0,16.0,4,1,78
334,0,0,0,0,0.0,0.0,99.0,0,0,86
335,0,2,1,0,0.0,13.0764625221383,99.0,7,2,141
336,0,1,1,1,49.77792577076657,4.0,35.0,2,2,55
337,0,1,1,1,59.0,4.0,22.0,6,2,193
338,0,2,1,0,0.0,7.0,99.0,5,2,65
339,0,2,0,0,0.0,3.0,99.0,3,2,171
340,0,1,0,1,59.0,99.0,2.0,4,2,140
341,0,2,0,0,0.0,7.0,99.0,2,2,150
342,0,1,1,2,59.0,3.0,13.0,5,2,190
343,0,1,1,1,54.62356476770067,5.005687894087822,45.0,6,2,206
344,0,1,1,0,35.631927259244506,6.0,45.0,4,2,143
345,0,2,0,0,0.0,0.0,99.0,3,2,131
346,0,2,1,0,0.0,99.0,99.0,3,2,186
347,0,2,0,0,0.0,1.0362844236816766,99.0,3,2,224
348,0,1,1,0,30.08565636219288,99.0,2.0,5,2,208
349,0,1,1,1,59.0,12.0,13.0,7,2,100
350,0,1,1,2,49.81057824182136,8.876858860369882,62.0,7,2,227
351,0,1,1,2,47.97524900201598,3.0,11.0,5,2,92
352,0,2,0,0,0.0,4.0,99.0,4,2,77
353,0,0,0,0,0.0,0.0,99.0,0,0,224
354,0,2,0,0,0.0,10.0,99.0,2,2,119
355,0,2,1,0,0.0,12.949948459206428,99.0,6,2,96
356,0,1,1,2,30.312253699291144,5.044041695430485,22.0,4,2,86
357,0,1,1,1,59.0,6.0,18.0,6,2,213
358,0,2,1,0,0.0,1.0414287309940384,99.0,4,2,217
359,0,2,1,0,0.0,4.0,99.0,5,2,217
360,0,2,0,0,0.0,3.0,99.0,3,2,79
361,0,1,1,0,27.691247526171054,58.662917704684816,45.0,4,2,74
362,0,1,1,2,52.20437229359611,4.0,16.0,5,2,9
363,0,0,0,0,0.0,0.0,99.0,0,0,207
364,0,2,1,0,0.0,0.0,99.0,1,2,161
365,0,1,1,0,50.076596554415005,6.0,16.0,5,2,62
366,0,2,0,0,0.0,2.0,99.0,2,2,144
367,0,2,1,0,0.0,6.0,99.0,3,2,65
368,0,1,1,0,45.05051822563861,10.0,22.0,6,2,143
369,0,2,1,0,0.0,4.0,99.0,2,2,8
370,0,2,1,0,0.0,10.0,99.0,6,2,9
371,0,2,0,0,0.0,19.707180190078788,99.0,4,2,65
