individual_id,RELATE,SEX,AGE,MARST,RACE,CITIZEN,SPEAKENG,SCHOOL,EDUC,GRADEATT,SCHLTYPE,EMPSTAT,CLASSWKR,INCTOT,DISABWRK,household_id
0,3,1,71.77488726826512,4,1,0,2,1,4,0,1,1,1,7.0,1,0
1,3,1,80.94457478137262,4,0,0,2,1,10,0,1,3,0,16.16649450778028,2,0
2,0,1,36.0,0,6,3,5,1,2,0,1,1,2,6.0,1,0
3,0,0,25.131522691944486,5,0,0,2,1,6,0,1,1,2,14.15890007769182,1,1
4,2,0,19.874545120411373,5,7,0,2,1,6,0,1,1,2,15.0,1,1
5,2,0,33.05632898093251,5,0,0,2,1,7,0,1,1,2,1.0,1,1
6,0,0,43.43643590049096,0,1,0,2,1,7,0,1,1,2,16.41071056599666,1,1
7,0,1,80.80300540664402,0,0,0,2,1,6,0,1,3,0,5.0,1,1
8,7,0,85.0,1,0,0,2,1,6,0,1,3,0,3.0,2,2
9,2,1,16.0,5,5,0,3,2,3,5,2,3,0,0.0,1,2
10,3,1,67.80631411384442,4,3,3,5,1,6,0,1,3,0,0.0,1,2
11,0,1,76.95517558741194,3,0,0,2,1,9,0,1,3,0,7.0,1,3
12,7,1,25.991580538544675,2,6,3,3,1,2,0,1,3,0,0.0,1,3
13,0,0,83.02499154327542,0,0,2,2,1,7,0,1,3,0,25.096283830287327,1,3
14,1,0,21.0,0,0,0,3,1,6,0,1,3,0,0.0,1,4
15,7,0,25.874989201531168,5,0,0,2,1,8,0,1,1,2,27.333528554535143,2,4
16,0,1,33.392036476982376,0,1,0,3,2,7,6,2,1,2,12.0,1,5
17,7,1,37.92739982420931,3,0,2,3,2,7,6,2,3,2,0.0,1,5
18,7,0,21.72990597358208,0,0,3,1,1,0,0,1,1,2,0.0,1,5
19,2,1,21.99770055088661,1,6,3,4,2,7,6,2,3,0,0.0,1,5
20,1,0,27.486409479004234,0,6,3,2,1,2,0,1,1,2,6.0,1,5
21,1,1,57.695366257244416,0,0,0,2,1,9,0,1,1,2,13.159485418467893,1,6
22,1,1,29.0,0,0,0,2,1,9,0,1,1,2,84.9473250697657,1,6
23,2,0,1.0,5,0,0,0,0,0,0,0,0,0,0.0,0,7
24,0,0,36.0,3,0,0,2,1,6,0,1,1,2,35.02387091043121,1,7
25,0,0,55.71726582732902,0,0,0,2,1,10,0,1,1,2,40.61109836287149,1,8
26,4,1,23.178319026147523,2,0,0,2,1,6,0,1,1,2,1.0,1,8
27,2,1,8.201595182014316,5,6,0,4,2,0,2,2,0,0,0.0,0,9
28,7,0,61.29069174993946,1,6,3,5,1,2,0,1,2,2,1.0,1,9
29,6,0,11.045220661680624,5,0,0,2,2,2,4,2,0,0,0.0,0,9
30,2,1,8.269623244453042,5,1,0,2,2,1,3,3,0,0,0.0,0,9
31,2,1,17.846915830667264,5,5,2,3,2,5,5,2,3,0,0.0,1,9
32,0,0,58.66949112323999,0,0,0,3,1,10,0,1,1,2,24.984520116460683,1,10
33,1,0,32.0,0,0,0,2,1,9,0,1,3,2,25.838148274953475,1,10
34,5,1,0.0,5,5,0,0,0,0,0,0,0,0,0.0,0,11
35,5,0,11.149807948682026,5,1,0,2,2,2,4,2,0,0,0.0,0,11
36,2,0,5.0771578940099,5,6,2,3,2,0,2,2,0,0,0.0,0,11
37,0,0,48.15371098474149,0,0,3,2,1,10,0,1,1,1,18.084517501997833,1,11
38,0,1,34.943301383773886,5,0,0,2,2,7,6,2,1,2,17.0,1,11
39,7,0,22.06023039258164,5,6,0,4,1,6,0,1,1,2,15.0,1,11
40,2,0,14.0,5,6,0,3,2,2,5,2,0,0,0.0,0,12
41,0,0,53.85053934604552,0,0,0,2,1,6,0,1,1,2,13.0,2,12
42,1,1,43.0,0,0,0,2,1,9,0,1,1,2,39.75694386252929,1,13
43,2,1,9.0,5,6,0,4,2,1,3,2,0,0,0.0,0,13
44,0,0,50.67055292956625,3,0,0,2,1,10,0,1,1,2,98.99990433783813,1,13
45,0,1,44.3482420328342,2,0,0,2,1,6,0,1,1,2,26.056786223183444,1,13
46,0,1,42.32761965992667,4,5,2,2,1,9,0,1,1,1,8.0,2,14
47,5,0,4.126676362980835,5,6,0,0,2,1,1,2,0,0,0.0,0,14
48,5,0,1.9581947422405164,5,6,0,0,0,0,0,0,0,0,0.0,0,15
49,1,1,29.0,0,6,3,3,1,6,0,1,3,2,0.0,1,16
50,0,1,72.24374501061585,4,0,0,2,1,4,0,1,3,0,0.0,1,16
51,7,1,69.21326465742857,3,6,3,1,1,2,0,1,3,2,6.0,1,16
52,7,1,46.96109220324675,5,0,0,3,1,7,0,1,3,0,3.0,1,16
53,0,1,33.75074827636275,3,0,0,2,1,9,0,1,1,1,73.51006236633563,1,17
54,2,1,11.0,5,1,0,2,2,2,4,2,0,0,0.0,0,17
55,2,0,9.200070357940399e-06,5,0,0,0,0,0,0,0,0,0,0.0,0,18
56,1,1,61.578330349836044,0,0,0,2,1,7,0,1,3,2,7.7680074686379434,1,19
57,7,1,24.09389913220091,5,0,0,2,2,8,6,2,1,2,2.0,1,19
58,6,0,19.0,5,1,0,2,2,7,6,2,3,2,0.0,1,20
59,2,1,12.459400684421311,5,0,0,3,2,2,4,2,0,0,0.0,0,20
60,7,0,21.0,5,3,0,3,2,6,6,2,3,0,0.0,1,21
61,7,0,28.176569039521656,5,0,3,2,1,2,0,1,1,2,0.0,1,22
62,0,0,40.0,0,0,0,3,1,9,0,1,1,1,15.0,1,23
63,2,0,30.0,1,0,3,5,1,4,0,1,1,1,1.0,1,24
64,2,0,21.87371913220895,5,6,3,1,1,3,0,1,3,0,0.0,1,24
65,3,1,44.10746705998772,3,1,0,2,1,6,0,1,3,0,0.0,1,24
66,0,0,32.30601915128834,5,0,3,2,1,5,0,1,1,2,8.0,2,24
67,7,1,36.0,3,0,0,2,1,6,0,1,1,1,39.37080025431417,1,24
