action,action_type,action_detail,device_type,secs_elapsed,user_id,session_id
154,2.0,99,10.0,5870,934,0
154,2.0,99,10.0,2121,934,1
81,7.0,99,10.0,745,934,2
118,3.0,101,10.0,2097,934,3
165,3.0,78,10.0,856,934,4
165,3.0,78,10.0,0,934,5
23,2.0,17,10.0,255,934,6
23,2.0,17,10.0,916,934,7
183,6.0,85,10.0,65939,934,8
158,7.0,57,10.0,92185,934,9
165,3.0,78,6.0,159,474,10
158,7.0,57,6.0,19383,474,11
158,7.0,57,6.0,258,474,12
23,2.0,17,6.0,620,474,13
158,7.0,57,6.0,7990,474,14
118,3.0,101,6.0,1215,474,15
81,7.0,99,6.0,162726,474,16
118,3.0,101,6.0,1296,474,17
74,3.0,34,6.0,248,474,18
118,3.0,101,6.0,1204,474,19
165,3.0,78,10.0,1007,492,20
107,0.0,0,10.0,122,492,21
56,7.0,26,10.0,359,492,22
60,7.0,28,10.0,2065,492,23
14,0.0,0,10.0,13653,492,24
126,0.0,0,10.0,875,492,25
158,7.0,57,10.0,26611,492,26
14,0.0,0,10.0,10453,492,27
158,7.0,92,10.0,29329,492,28
158,7.0,57,10.0,592,492,29
60,7.0,28,6.0,8832,895,30
165,3.0,78,6.0,598,895,31
49,2.0,19,11.0,70027,895,32
154,2.0,99,6.0,7770,895,33
118,3.0,101,6.0,9978,895,34
23,2.0,17,6.0,378,895,35
118,3.0,101,6.0,0,895,36
105,0.0,0,6.0,4682,895,37
56,7.0,26,6.0,420,895,38
154,2.0,99,6.0,25225,895,39
158,7.0,57,8.0,74786,36,40
56,7.0,26,8.0,5318,36,41
158,7.0,57,8.0,2001,36,42
81,7.0,99,8.0,4688,36,43
23,2.0,17,8.0,493,36,44
31,6.0,20,8.0,540,36,45
118,3.0,101,8.0,563,36,46
74,3.0,34,8.0,525,36,47
100,0.0,0,8.0,14454,36,48
9,2.0,14,8.0,49,36,49
158,7.0,57,8.0,12137,544,50
158,7.0,92,8.0,7241,544,51
133,0.0,0,8.0,623,544,52
81,0.0,0,8.0,10579,544,53
78,0.0,0,8.0,2579,544,54
56,7.0,26,8.0,643,544,55
78,0.0,0,8.0,6464,544,56
86,0.0,0,8.0,15512,544,57
62,7.0,68,8.0,18114,544,58
49,0.0,0,8.0,2711,544,59
49,2.0,19,10.0,30074,494,60
165,3.0,78,10.0,2091,494,61
158,7.0,57,10.0,1795,494,62
158,7.0,92,0.0,640,494,63
74,3.0,34,10.0,1478,494,64
118,3.0,101,10.0,10815,494,65
158,7.0,57,10.0,31845,494,66
154,2.0,99,10.0,2136,494,67
118,3.0,101,10.0,1428,494,68
49,2.0,19,10.0,58846,494,69
81,0.0,0,8.0,19160,531,70
129,0.0,0,8.0,806,531,71
56,7.0,26,8.0,665,531,72
78,0.0,0,8.0,1773,531,73
47,0.0,0,8.0,403,531,74
74,2.0,34,8.0,5675,531,75
131,0.0,0,8.0,725,531,76
49,2.0,19,8.0,13291,531,77
81,0.0,0,8.0,1297,531,78
81,7.0,50,8.0,1396,531,79
118,0.0,0,8.0,782,927,80
118,3.0,101,8.0,39244,927,81
78,0.0,0,8.0,20999,927,82
74,3.0,34,8.0,459,927,83
183,6.0,88,8.0,14221,927,84
54,6.0,24,8.0,68393,927,85
60,7.0,28,8.0,5359,927,86
147,0.0,0,8.0,42613,927,87
54,6.0,24,8.0,22693,927,88
60,7.0,28,8.0,5820,927,89
81,7.0,97,8.0,2529,955,90
154,2.0,99,8.0,4570,955,91
154,2.0,99,8.0,25586,955,92
154,2.0,99,8.0,7214,955,93
154,2.0,99,8.0,67595,955,94
54,0.0,0,8.0,1259,955,95
33,6.0,41,8.0,8342,955,96
81,7.0,99,8.0,24712,955,97
158,7.0,57,8.0,8433,955,98
165,3.0,78,8.0,780,955,99
49,2.0,19,10.0,734438,445,100
133,7.0,50,6.0,754,445,101
74,3.0,34,6.0,506,445,102
117,0.0,0,10.0,1690,445,103
74,3.0,34,11.0,1504,445,104
74,3.0,34,8.0,1346,445,105
49,2.0,19,6.0,0,580,106
108,7.0,60,6.0,16239,580,107
111,1.0,62,6.0,1523,580,108
60,7.0,28,6.0,14653,580,109
116,1.0,62,6.0,28580,580,110
81,7.0,50,6.0,28980,580,111
23,2.0,17,6.0,75,580,112
23,2.0,17,6.0,703,580,113
118,3.0,101,6.0,7383,580,114
147,7.0,60,6.0,724,580,115
183,6.0,86,11.0,1660,570,116
6,0.0,0,11.0,4063,570,117
183,6.0,85,11.0,2274,570,118
158,7.0,92,11.0,15,570,119
158,7.0,57,11.0,16170,570,120
158,7.0,92,11.0,30,570,121
183,6.0,85,11.0,177,570,122
54,0.0,0,11.0,415,570,123
156,0.0,0,11.0,161,570,124
91,7.0,91,11.0,593,570,125
153,2.0,99,1.0,3641,543,126
183,6.0,85,1.0,5305,543,127
103,6.0,53,1.0,217,543,128
153,2.0,99,1.0,2849,543,129
153,2.0,99,1.0,3175,543,130
44,7.0,97,1.0,4504,543,131
158,7.0,57,1.0,7272,543,132
6,0.0,0,1.0,194,543,133
44,7.0,97,1.0,7101,543,134
81,0.0,0,1.0,2397,543,135
74,3.0,34,6.0,1183,2,136
146,7.0,65,6.0,9258,2,137
147,0.0,0,6.0,497,2,138
147,7.0,60,6.0,420,2,139
6,0.0,0,0.0,13467,2,140
60,3.0,28,6.0,47,2,141
81,7.0,60,0.0,3922,2,142
128,0.0,0,10.0,632,2,143
154,0.0,0,0.0,407,2,144
74,3.0,34,6.0,972,2,145
74,3.0,34,6.0,2567,926,146
74,3.0,34,8.0,384,926,147
81,3.0,46,8.0,2753,926,148
6,0.0,0,11.0,22,789,149
153,2.0,99,11.0,38247,789,150
6,0.0,0,11.0,363,789,151
158,7.0,92,11.0,1826,789,152
158,7.0,92,11.0,1852,789,153
153,2.0,99,11.0,2867,789,154
181,3.0,84,11.0,12925,789,155
153,2.0,99,11.0,3183,789,156
158,7.0,92,0.0,194,789,157
158,7.0,92,11.0,486,789,158
23,2.0,17,6.0,369,280,159
23,2.0,17,6.0,340,280,160
165,3.0,78,6.0,242,280,161
118,3.0,101,6.0,26448,280,162
118,3.0,101,6.0,341,280,163
132,0.0,0,6.0,777,280,164
118,3.0,101,6.0,876,280,165
118,3.0,101,6.0,4,280,166
158,7.0,57,6.0,13173,280,167
23,2.0,17,6.0,572,280,168
118,3.0,101,10.0,3157,122,169
154,2.0,99,10.0,459,122,170
118,3.0,101,10.0,76,122,171
154,2.0,99,10.0,5071,122,172
154,2.0,99,10.0,15,122,173
31,6.0,20,10.0,497,122,174
154,2.0,99,10.0,2615,122,175
154,2.0,99,10.0,15054,122,176
158,7.0,57,10.0,226035,122,177
74,3.0,34,10.0,1888,122,178
158,7.0,57,6.0,10468,914,179
154,2.0,99,6.0,23075,914,180
154,2.0,99,6.0,6295,914,181
118,3.0,101,6.0,25,914,182
23,2.0,17,6.0,6277,914,183
23,2.0,17,6.0,53867,914,184
23,2.0,17,6.0,850,914,185
23,2.0,17,6.0,804,914,186
158,7.0,57,6.0,22325,914,187
165,3.0,78,6.0,411,914,188
56,7.0,26,6.0,488,638,189
49,2.0,19,6.0,587297,638,190
74,3.0,34,6.0,4070,638,191
49,2.0,19,6.0,616344,638,192
5,0.0,0,6.0,8918,824,193
118,3.0,101,6.0,25,824,194
23,2.0,17,6.0,338,824,195
118,3.0,101,6.0,556,824,196
81,7.0,99,6.0,25163,824,197
118,3.0,101,6.0,25,824,198
81,7.0,99,6.0,1230,824,199
81,7.0,99,6.0,3586,824,200
132,0.0,0,6.0,166,824,201
165,3.0,78,6.0,110,824,202
74,3.0,34,6.0,1361,479,203
183,6.0,88,6.0,2786,479,204
11,0.0,0,6.0,0,479,205
107,7.0,61,6.0,5570,479,206
183,6.0,85,11.0,655,479,207
158,0.0,0,11.0,212,479,208
143,7.0,68,6.0,1618,479,209
88,0.0,0,6.0,112580,479,210
49,2.0,19,11.0,27166,479,211
146,7.0,65,11.0,1672,479,212
118,3.0,101,6.0,233,291,213
158,7.0,57,6.0,19307,355,214
165,3.0,78,6.0,177,355,215
118,3.0,101,6.0,1458,355,216
125,0.0,0,6.0,567,355,217
118,3.0,101,6.0,1248,355,218
165,3.0,78,6.0,97,355,219
91,0.0,0,6.0,67609,355,220
161,0.0,0,6.0,42045,355,221
147,6.0,65,6.0,40602,355,222
165,3.0,92,6.0,3458,355,223
60,7.0,28,8.0,82566,50,224
106,0.0,0,8.0,124,50,225
81,7.0,99,8.0,71392,50,226
154,2.0,99,8.0,17891,50,227
154,2.0,99,8.0,5015,50,228
23,2.0,17,8.0,903,50,229
133,7.0,50,8.0,1896,50,230
118,3.0,101,8.0,901,50,231
81,7.0,50,8.0,673,50,232
158,7.0,92,8.0,122,50,233
118,3.0,101,6.0,3510,728,234
116,1.0,62,6.0,0,728,235
147,7.0,60,6.0,1162,728,236
118,3.0,101,6.0,946,728,237
118,3.0,101,6.0,1141,728,238
158,7.0,57,6.0,206,728,239
118,3.0,101,6.0,2069,728,240
23,2.0,17,6.0,849,728,241
158,7.0,57,6.0,9056,728,242
56,7.0,26,6.0,890,728,243
165,3.0,78,8.0,472,843,244
147,7.0,60,8.0,594,843,245
158,7.0,57,8.0,282211,843,246
74,3.0,34,8.0,625,843,247
118,3.0,101,8.0,216,843,248
154,2.0,99,8.0,8024,843,249
65,0.0,0,8.0,512522,843,250
81,7.0,50,8.0,4201,843,251
147,7.0,60,8.0,490,843,252
154,2.0,99,8.0,11721,843,253
154,2.0,99,6.0,1791,382,254
23,2.0,17,6.0,33,382,255
118,3.0,101,6.0,15376,382,256
23,2.0,17,6.0,1102,382,257
154,2.0,99,6.0,4278,382,258
118,3.0,101,6.0,1428,382,259
81,7.0,99,6.0,232514,382,260
158,7.0,57,6.0,18395,382,261
154,2.0,99,6.0,1246,382,262
159,3.0,93,6.0,959,382,263
61,7.0,68,8.0,667,141,264
165,3.0,78,8.0,85,141,265
56,7.0,26,8.0,644,141,266
19,0.0,0,8.0,465,141,267
78,0.0,0,8.0,5784,141,268
19,0.0,0,8.0,257,141,269
133,7.0,50,8.0,1158,141,270
78,0.0,0,8.0,3404,141,271
61,7.0,68,8.0,3085,141,272
50,6.0,54,8.0,17196,141,273
49,2.0,19,6.0,21989,979,274
81,7.0,99,6.0,58871,979,275
133,7.0,50,6.0,771,979,276
56,7.0,26,6.0,634,979,277
102,7.0,4,6.0,728,979,278
158,7.0,57,6.0,257,979,279
