gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,user_id
2.0,31,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0,0
1.0,34,1.0,0,2.0,2.0,2.0,6.0,2.0,8.0,5.0,9.0,1
1.0,45,0.0,0,2.0,0.0,2.0,6.0,2.0,3.0,5.0,4.0,2
2.0,26,0.0,0,2.0,7.0,2.0,5.0,3.0,6.0,13.0,9.0,3
0.0,41,0.0,0,2.0,5.0,2.0,6.0,2.0,6.0,13.0,9.0,4
2.0,33,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,10.0,5
2.0,32,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,5.0,9.0,6
0.0,34,1.0,0,2.0,2.0,6.0,6.0,2.0,6.0,13.0,10.0,7
2.0,67,0.0,0,2.0,2.0,2.0,3.0,2.0,6.0,5.0,9.0,8
2.0,24,1.0,25,2.0,6.0,2.0,6.0,2.0,8.0,13.0,9.0,9
1.0,31,0.0,0,2.0,6.0,2.0,3.0,2.0,8.0,11.0,9.0,10
0.0,53,0.0,12,2.0,5.0,6.0,6.0,2.0,6.0,13.0,9.0,11
0.0,58,0.0,0,2.0,5.0,2.0,6.0,2.0,6.0,0.0,9.0,12
1.0,29,1.0,0,2.0,6.0,6.0,4.0,2.0,3.0,13.0,1.0,13
0.0,23,1.0,0,2.0,5.0,6.0,6.0,2.0,3.0,5.0,9.0,14
1.0,23,0.0,0,2.0,2.0,2.0,6.0,2.0,8.0,5.0,9.0,15
1.0,33,0.0,25,2.0,2.0,2.0,3.0,2.0,3.0,5.0,9.0,16
0.0,55,1.0,0,2.0,6.0,2.0,0.0,2.0,3.0,11.0,9.0,17
2.0,36,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,10.0,18
2.0,39,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0,19
0.0,26,1.0,0,2.0,0.0,6.0,6.0,2.0,3.0,5.0,0.0,20
1.0,30,0.0,25,2.0,6.0,2.0,6.0,2.0,6.0,5.0,9.0,21
