province,city,postal_code,gender,education,salary,marital_status,loyalty_card,clv,enrollment_type,enrollment_year,enrollment_month,cancellation_year,cancellation_month,loyalty_history_id,country
7,21,31,1,1,75542,3,3,10108.68,2,2013,9,0.0,0.0,0,1
2,24,50,2,1,74487,2,3,5036.85,2,2014,5,0.0,0.0,1,1
9,13,10,1,1,93474,2,2,7300.28,2,2016,7,0.0,0.0,2,1
7,21,29,1,1,84022,2,1,8129.92,2,2015,6,0.0,12.0,3,1
7,21,34,1,1,72970,2,3,5887.84,2,2013,12,0.0,0.0,4,1
7,21,30,1,1,77788,2,1,6929.72,2,2016,10,0.0,0.0,5,1
2,24,51,1,1,63122,1,3,3275.5,2,2014,3,0.0,0.0,6,1
7,21,28,1,1,80165,2,1,7204.68,2,2016,10,0.0,0.0,7,1
2,24,51,2,2,0,3,2,10540.42,2,2013,8,0.0,0.0,8,1
2,24,51,2,1,68788,2,1,8063.5,2,2014,3,0.0,0.0,9,1
9,13,9,1,2,0,2,3,8229.99,2,2017,3,0.0,0.0,10,1
9,13,16,2,2,0,3,2,8010.58,2,2018,4,0.0,0.0,11,1
2,23,47,1,4,69845,1,2,4887.0,2,2013,12,0.0,0.0,12,1
7,21,26,2,1,78004,2,1,8477.96,1,2018,4,0.0,0.0,13,1
2,27,54,2,1,77158,1,1,8289.56,2,2015,12,0.0,0.0,14,1
7,15,19,2,2,0,3,2,5559.71,2,2012,1,0.0,0.0,15,1
2,24,51,2,1,91411,2,2,3894.5,2,2016,2,0.0,0.0,16,1
2,24,51,2,1,71681,3,3,9648.23,2,2012,5,0.0,0.0,17,1
9,13,17,1,2,0,3,3,3691.39,2,2016,9,0.0,0.0,18,1
7,21,29,1,2,0,3,2,2662.28,2,2017,7,0.0,0.0,19,1
7,24,51,1,1,79286,1,3,9096.67,2,2013,11,0.0,0.0,20,1
9,14,11,2,4,85456,1,2,7084.2,2,2013,8,0.0,0.0,21,1
7,14,16,2,2,0,3,3,5755.41,2,2013,8,0.0,0.0,22,1
7,20,21,1,4,77062,2,2,4991.97,2,2016,8,0.0,0.0,23,1
7,21,27,1,1,60854,2,3,15430.76,2,2018,9,0.0,0.0,24,1
2,24,50,2,4,0,2,3,5477.1,2,2018,11,0.0,0.0,25,1
2,24,55,1,1,100515,1,3,5187.7,2,2017,1,0.0,0.0,26,1
9,14,11,2,1,69233,2,2,5259.18,2,2013,8,0.0,0.0,27,1
7,21,24,1,2,0,2,1,9013.18,2,2018,10,0.0,0.0,28,1
7,21,36,2,1,96286,2,1,11710.28,2,2016,4,0.0,0.0,29,1
1,21,36,2,1,55126,3,3,7602.6,2,2015,1,0.0,0.0,30,1
6,13,7,1,1,60669,1,3,3883.71,1,2018,2,2018.0,10.0,31,1
2,3,45,1,1,79187,3,2,8055.85,2,2015,1,2017.0,9.0,32,1
2,26,52,2,1,92183,2,1,5474.66,2,2015,8,0.0,0.0,33,1
3,29,37,2,4,58461,2,2,2747.95,2,2013,12,0.0,0.0,34,1
1,13,39,2,2,62392,2,2,7579.24,2,2017,10,0.0,0.0,35,1
2,4,45,1,1,79266,1,3,5463.7,2,2017,9,0.0,0.0,36,1
7,13,22,1,1,80390,1,2,10507.25,2,2017,5,0.0,0.0,37,1
9,13,15,1,1,94107,2,2,9785.84,2,2013,1,0.0,0.0,38,1
4,6,6,2,2,0,3,3,4840.65,2,2015,10,0.0,0.0,39,1
2,27,53,2,2,0,2,2,11616.85,2,2015,7,0.0,0.0,40,1
2,24,48,2,1,76610,3,2,11419.62,2,2015,9,2018.0,10.0,41,1
7,10,19,2,1,92747,2,1,7208.79,2,2018,7,0.0,0.0,42,1
2,24,51,2,1,59171,2,3,9678.24,2,2012,12,0.0,0.0,43,1
4,13,16,1,1,81233,2,1,8381.45,2,2013,6,0.0,0.0,44,1
7,14,20,1,3,103656,1,3,8693.36,2,2016,11,0.0,0.0,45,1
7,9,29,1,1,85088,2,3,10195.95,2,2014,5,2015.0,3.0,46,1
2,24,50,2,1,88703,2,3,12247.16,2,2015,6,0.0,0.0,47,1
9,14,10,2,3,78646,2,2,5407.42,2,2013,8,2014.0,1.0,48,1
7,21,19,1,2,0,2,2,5800.76,2,2012,7,0.0,0.0,49,1
7,21,33,1,1,68442,1,2,8949.94,2,2012,10,0.0,0.0,50,1
6,6,4,2,1,64216,2,2,5573.04,2,2012,11,0.0,0.0,51,1
6,7,3,2,1,50296,2,3,5530.84,2,2014,8,0.0,0.0,52,1
2,24,46,2,1,90780,3,1,6215.18,2,2015,12,2014.0,11.0,53,1
7,21,24,1,1,67720,2,2,13778.28,2,2012,12,0.0,0.0,54,1
2,27,53,2,1,40864,2,3,3525.18,1,2018,2,0.0,0.0,55,1
2,24,49,1,5,111454,3,3,5514.36,2,2018,1,2018.0,9.0,56,1
7,21,22,2,1,72122,2,1,5427.79,2,2014,1,2018.0,10.0,57,1
2,24,52,1,1,78677,2,3,3014.84,2,2012,10,0.0,0.0,58,1
7,21,31,2,1,91788,2,2,5703.58,1,2018,2,0.0,0.0,59,1
10,18,35,1,3,103857,1,2,7402.03,2,2015,8,0.0,0.0,60,1
2,24,49,2,1,60020,2,2,8148.45,2,2015,6,0.0,0.0,61,1
9,13,8,2,2,0,3,3,5849.35,2,2012,10,0.0,0.0,62,1
6,7,2,1,1,58429,2,3,5353.96,2,2015,9,0.0,0.0,63,1
7,21,29,2,1,63031,2,1,15396.23,2,2013,3,0.0,0.0,64,1
7,20,21,1,2,0,1,2,7398.85,2,2015,6,0.0,0.0,65,1
9,13,9,1,3,98968,2,2,5011.27,2,2013,2,0.0,0.0,66,1
2,24,50,2,1,84389,1,3,3220.18,2,2012,10,0.0,0.0,67,1
9,21,21,2,1,59714,2,1,7813.29,2,2015,12,0.0,0.0,68,1
9,13,13,1,1,85157,1,2,8477.11,2,2017,7,0.0,0.0,69,1
9,14,8,1,4,50589,2,2,8473.58,2,2018,9,2014.0,9.0,70,1
7,9,30,2,2,0,3,1,7450.88,2,2018,10,0.0,0.0,71,1
9,22,17,2,1,68344,2,3,12458.6,2,2018,1,2018.0,9.0,72,1
2,24,52,1,1,59738,1,3,2628.44,2,2012,5,0.0,0.0,73,1
7,21,29,2,1,79946,1,1,9666.67,2,2016,4,0.0,0.0,74,1
7,15,16,2,1,64035,2,2,9388.13,2,2018,10,0.0,0.0,75,1
6,7,3,1,1,95861,3,3,3475.9,2,2016,8,0.0,0.0,76,1
9,13,8,1,2,0,3,3,3850.65,2,2018,9,0.0,0.0,77,1
2,24,51,2,1,77494,2,3,16736.74,2,2018,9,0.0,0.0,78,1
2,24,49,1,1,75290,2,3,8543.28,2,2017,5,0.0,0.0,79,1
7,21,21,2,1,99947,1,3,3630.18,2,2018,8,2017.0,10.0,80,1
9,13,10,2,3,52509,3,3,10593.95,2,2015,3,0.0,0.0,81,1
7,14,17,1,1,54368,2,2,18306.01,2,2017,10,0.0,0.0,82,1
9,13,11,2,2,0,3,2,16664.45,2,2013,11,2017.0,5.0,83,1
7,21,31,2,2,0,3,3,2446.55,2,2015,4,0.0,0.0,84,1
7,9,31,1,1,79652,1,1,25258.9,2,2014,4,0.0,0.0,85,1
7,13,33,2,5,105618,1,3,4585.09,2,2015,11,0.0,0.0,86,1
9,13,13,2,2,0,3,3,5612.96,2,2017,3,0.0,0.0,87,1
7,13,19,2,3,102775,2,1,7595.62,2,2018,9,0.0,0.0,88,1
7,24,49,1,4,67021,1,1,5113.4,2,2013,8,0.0,0.0,89,1
4,6,6,2,2,0,2,2,7034.47,2,2015,6,0.0,0.0,90,1
7,12,22,1,1,67096,1,2,5649.79,2,2014,7,2015.0,1.0,91,1
10,5,43,2,1,79708,2,1,8601.69,2,2018,8,0.0,0.0,92,1
2,24,51,1,1,77844,2,3,2488.54,2,2013,1,0.0,0.0,93,1
2,21,38,2,1,65069,3,3,19937.36,2,2012,12,0.0,0.0,94,1
7,21,21,1,1,58990,2,2,6971.36,2,2015,12,0.0,0.0,95,1
2,24,51,2,1,79962,2,2,35236.24,2,2016,2,0.0,0.0,96,1
7,15,18,1,1,51605,2,3,2666.23,1,2018,2,0.0,0.0,97,1
3,29,38,2,1,74750,2,1,7791.69,2,2015,7,0.0,0.0,98,1
2,24,49,2,1,92478,3,2,7562.09,2,2018,8,0.0,10.0,99,1
2,4,49,1,1,109040,2,1,5237.96,2,2015,8,2016.0,1.0,100,1
7,15,15,1,1,85054,2,1,5020.75,2,2016,3,0.0,0.0,101,1
7,21,29,1,1,52283,2,3,4789.82,2,2014,4,0.0,0.0,102,1
9,13,9,1,1,63022,2,3,7110.55,2,2018,6,0.0,0.0,103,1
9,12,9,1,1,58466,2,3,10006.3,2,2015,10,0.0,0.0,104,1
2,24,51,2,1,85201,3,2,3977.14,2,2012,9,0.0,0.0,105,1
7,13,13,1,1,53569,1,3,17047.17,2,2015,5,0.0,0.0,106,1
2,24,51,1,2,0,3,3,9260.46,2,2018,1,0.0,0.0,107,1
9,13,8,2,2,0,3,3,15252.62,2,2018,11,0.0,0.0,108,1
9,13,10,2,2,0,3,3,5399.59,2,2018,11,0.0,0.0,109,1
7,21,21,1,1,90693,1,3,4770.79,2,2015,1,2016.0,8.0,110,1
2,24,53,2,1,60752,2,3,8929.62,2,2015,4,0.0,0.0,111,1
2,24,49,2,2,0,2,3,2322.52,2,2014,10,2014.0,12.0,112,1
2,4,43,1,1,67762,3,1,6177.89,2,2017,5,0.0,0.0,113,1
2,24,50,1,1,61399,2,3,23846.58,2,2015,10,2016.0,3.0,114,1
7,21,32,2,1,74134,2,2,5203.46,2,2018,7,0.0,0.0,115,1
7,21,30,2,1,60349,2,3,10272.77,2,2012,9,0.0,0.0,116,1
9,12,10,1,3,76071,2,3,10004.22,2,2017,3,0.0,0.0,117,1
2,24,51,2,1,60664,1,2,18116.11,2,2016,6,2017.0,4.0,118,1
7,21,29,2,1,77337,3,1,6469.03,2,2018,6,0.0,0.0,119,1
2,24,46,2,1,116042,2,2,24697.26,1,2018,2,0.0,0.0,120,1
9,10,16,1,1,62024,3,3,2624.03,1,2018,3,0.0,0.0,121,1
7,15,20,2,1,61413,2,2,8024.64,2,2012,9,0.0,0.0,122,1
7,21,24,2,1,71771,1,1,22457.8,2,2014,3,0.0,0.0,123,1
2,10,41,2,1,79698,2,3,4365.16,2,2013,3,0.0,0.0,124,1
4,11,5,1,1,68320,2,3,6335.19,2,2018,11,0.0,0.0,125,1
2,27,53,1,1,54318,2,2,13744.58,2,2016,8,0.0,0.0,126,1
2,24,40,2,2,0,2,2,8195.64,2,2013,6,0.0,0.0,127,1
9,8,15,1,2,0,3,1,7176.62,2,2013,4,0.0,0.0,128,1
2,26,52,1,1,83204,2,3,9524.75,2,2018,11,0.0,0.0,129,1
