year,month,total_flights,distance,points_accumulated,points_redeemed,dollar_cost_points_redeemed,loyalty_history_id,activity_id
2018,11,2,2216,3311.3,0,0,477,0
2018,8,10,37373,56190.0,0,0,477,1
2018,8,0,0,0.0,0,0,477,2
2018,6,16,28443,42711.3,0,0,477,3
2018,8,0,0,0.0,0,0,477,4
2018,8,0,0,0.0,0,0,477,5
2018,8,0,0,0.0,0,0,477,6
2018,4,0,0,0.0,0,0,477,7
2018,12,15,11421,18283.1,0,0,477,8
2018,2,0,0,0.0,0,0,477,9
2018,5,0,0,0.0,0,0,477,10
2018,3,0,0,0.0,0,0,688,11
2018,4,0,0,0.0,0,0,688,12
2018,4,0,0,0.0,0,0,688,13
2018,4,12,25776,38668.4,0,0,688,14
2018,3,14,15856,22909.2,0,0,688,15
2018,12,15,31397,44934.7,0,0,688,16
2018,7,12,17525,26044.9,0,0,688,17
2018,12,6,10994,19570.0,0,0,688,18
2018,9,15,36417,54463.2,0,0,688,19
2018,3,0,0,0.0,0,0,688,20
2018,9,2,1350,1990.4,0,0,688,21
2018,2,0,0,0.0,0,0,973,22
2018,6,0,0,0.0,0,0,973,23
2018,8,0,0,0.0,0,0,973,24
2018,4,0,0,0.0,0,0,973,25
2018,10,3,2744,3679.4,322,69,973,26
2018,5,4,6476,9641.8,0,0,973,27
2018,7,0,0,0.0,0,0,973,28
2018,8,0,0,0.0,0,0,973,29
2018,11,0,0,0.0,0,0,973,30
2018,12,0,0,0.0,0,0,973,31
2018,6,0,0,0.0,0,0,973,32
2018,6,12,16233,23780.5,0,0,399,33
2018,10,0,0,0.0,0,0,399,34
2018,7,10,14226,21467.2,0,0,399,35
2018,5,0,0,0.0,0,0,399,36
2018,12,6,9957,15491.0,0,0,399,37
2018,9,0,0,0.0,0,0,399,38
2018,3,0,0,0.0,0,0,399,39
2018,4,0,0,0.0,0,0,399,40
2018,4,3,1971,2781.8,0,0,399,41
2018,6,13,28041,42050.0,0,0,399,42
2018,4,0,0,0.0,0,0,399,43
2018,12,0,0,0.0,0,0,299,44
2018,10,0,0,0.0,0,0,299,45
2018,11,0,0,0.0,0,0,299,46
2018,7,0,0,0.0,0,0,299,47
2018,5,0,0,0.0,0,0,299,48
2018,12,5,10251,14920.3,0,0,299,49
2018,2,0,0,0.0,0,0,299,50
2018,3,0,0,0.0,0,0,299,51
2018,3,0,0,0.0,0,0,299,52
2018,6,0,0,0.0,0,0,299,53
2018,4,0,0,0.0,0,0,299,54
2018,8,0,0,0.0,0,0,612,55
2018,10,0,0,0.0,0,0,612,56
2018,10,0,0,0.0,0,0,612,57
2018,3,0,0,0.0,0,0,612,58
2018,3,0,0,0.0,0,0,612,59
2018,10,0,0,0.0,0,0,612,60
2018,5,0,0,0.0,0,0,612,61
2018,6,0,0,0.0,0,0,612,62
2018,2,0,0,0.0,0,0,612,63
2018,12,4,5562,8382.1,0,0,612,64
2018,5,0,0,0.0,0,0,612,65
2018,10,5,5598,8551.9,0,0,815,66
2018,4,0,0,0.0,0,0,815,67
2018,11,12,13540,21535.1,0,0,815,68
2018,4,3,6531,9487.7,0,0,815,69
2018,10,1,1948,3028.9,0,0,815,70
2018,4,0,0,0.0,0,0,815,71
2018,3,0,0,0.0,0,0,815,72
2018,4,0,0,0.0,0,0,815,73
2018,3,8,8071,12138.4,0,0,815,74
2018,9,4,6542,9867.6,614,111,815,75
2018,3,2,3778,5080.3,545,98,815,76
2018,4,3,4622,7059.1,0,0,55,77
2018,6,0,0,0.0,0,0,55,78
2018,5,4,4186,6189.6,0,0,55,79
2018,6,8,10768,14382.4,0,0,55,80
2018,9,0,0,0.0,0,0,55,81
2018,7,16,38047,56139.4,0,0,55,82
2018,3,1,1115,1731.0,0,0,55,83
2018,5,0,0,0.0,0,0,55,84
2018,3,0,0,0.0,0,0,55,85
2018,7,0,0,0.0,0,0,55,86
2018,3,6,5168,7611.6,0,0,55,87
2017,7,0,0,0.0,0,0,363,88
2018,7,2,2600,2609.7,0,0,90,89
2017,11,0,0,0.0,0,0,283,90
2017,11,0,0,0.0,0,0,188,91
2017,1,0,0,0.0,0,0,730,92
2018,4,0,0,0.0,0,0,780,93
2018,4,0,0,0.0,0,0,965,94
2017,6,0,0,0.0,0,0,350,95
2017,8,0,0,0.0,0,0,288,96
2018,7,0,0,0.0,0,0,572,97
2018,6,1,1191,1174.2,0,0,524,98
2018,4,0,0,0.0,0,0,831,99
2017,3,0,0,0.0,0,0,118,100
2018,1,0,0,0.0,0,0,417,101
2017,9,0,0,0.0,0,0,965,102
2018,9,0,0,0.0,0,0,851,103
2017,1,0,0,0.0,0,0,879,104
2018,10,0,0,0.0,0,0,804,105
2017,6,0,0,0.0,0,0,942,106
2018,10,4,3507,3496.2,0,0,533,107
2017,8,0,0,0.0,0,0,611,108
2017,11,0,0,0.0,0,0,433,109
2018,11,3,3676,3667.1,0,0,137,110
2017,11,2,3005,3017.7,0,0,915,111
2017,11,2,1073,1063.1,0,0,643,112
