FARM,OWNERSHP,ACREHOUS,TAXINCL,PROPINSR,COSTELEC,VALUEH,ROOMS,PLUMBING,PUMA,household_id
0,2,0,0,0,10,99,1,2,136,0
0,1,1,1,59,7,35,3,2,206,1
0,2,0,0,0,7,99,5,2,132,2
0,1,1,1,51,6,35,5,2,189,3
0,2,0,0,0,1,99,1,2,194,4
0,1,1,0,59,5,61,9,2,38,5
0,2,0,0,0,3,99,2,2,41,6
0,0,0,0,0,0,99,0,0,85,7
0,2,1,0,0,6,99,4,2,148,8
0,0,0,0,0,0,99,0,0,208,9
0,1,1,0,28,6,14,5,2,66,10
0,2,0,0,0,4,99,1,2,136,11
0,0,0,0,0,0,99,0,0,134,12
0,2,0,0,0,4,99,1,2,77,13
0,2,0,0,0,3,99,3,2,179,14
0,1,1,0,59,0,27,9,2,58,15
0,1,1,1,59,31,68,7,2,38,16
0,1,1,2,59,0,18,2,2,27,17
0,2,1,0,0,6,99,4,2,213,18
0,1,1,2,59,12,27,8,2,142,19
0,2,0,0,0,4,99,4,2,77,20
0,2,1,0,0,8,99,2,2,81,21
0,1,1,0,38,6,22,6,2,206,22
0,1,0,2,46,8,25,5,2,99,23
0,1,1,0,35,6,11,7,2,43,24
0,1,1,1,59,20,66,9,2,38,25
0,1,1,2,39,6,26,5,2,11,26
0,1,1,0,59,15,16,4,2,73,27
0,1,1,2,39,14,35,6,2,76,28
0,1,1,1,39,8,23,8,2,197,29
0,2,0,0,0,3,99,3,2,79,30
0,1,1,0,59,28,43,9,2,103,31
0,2,1,0,0,2,99,5,2,216,32
0,0,0,0,0,0,99,0,0,86,33
0,2,0,0,0,3,99,3,2,79,34
0,1,1,0,40,9,16,7,2,220,35
0,1,1,1,59,10,27,6,2,201,36
0,0,0,0,0,0,99,0,0,112,37
0,1,1,2,59,4,65,8,2,150,38
0,2,0,0,0,6,99,4,2,162,39
0,2,0,0,0,4,99,5,2,158,40
0,1,1,0,59,8,27,9,2,221,41
0,2,0,0,0,5,99,4,2,60,42
0,0,0,0,0,0,99,0,0,232,43
0,1,1,1,58,10,27,9,2,207,44
0,2,0,0,0,4,99,4,2,228,45
0,2,0,0,0,3,99,4,2,201,46
0,1,1,0,43,4,16,6,2,34,47
0,2,1,0,0,6,99,5,2,43,48
0,2,0,0,0,10,99,4,2,115,49
0,1,1,2,38,5,16,3,2,165,50
0,1,1,1,59,8,35,3,2,220,51
0,1,1,0,40,10,35,7,2,64,52
0,1,1,0,43,7,13,5,2,100,53
0,1,1,1,48,8,11,5,2,88,54
0,2,1,0,0,4,99,1,2,143,55
0,1,1,2,59,6,11,6,2,174,56
0,2,0,0,0,0,99,3,2,160,57
0,1,1,1,59,6,19,5,2,81,58
0,2,1,0,0,10,99,6,2,133,59
0,0,0,0,0,0,99,0,0,16,60
0,1,1,1,32,5,14,4,2,103,61
0,2,0,0,0,10,99,1,2,46,62
0,1,1,1,38,6,21,5,2,204,63
0,1,1,2,42,7,13,3,2,139,64
0,1,1,1,59,8,99,9,2,133,65
0,1,1,2,59,3,11,8,2,116,66
0,2,0,0,0,6,99,2,2,96,67
0,2,1,0,0,99,99,5,2,143,68
0,1,1,2,59,7,15,5,2,164,69
0,1,1,0,45,6,18,6,2,223,70
0,0,0,0,0,0,99,0,0,201,71
0,1,1,1,59,17,34,9,2,27,72
0,1,1,1,59,9,22,7,2,29,73
0,0,0,0,0,0,99,0,0,199,74
0,1,1,2,59,16,13,7,2,21,75
0,1,1,1,59,13,27,6,2,211,76
0,2,1,0,0,12,99,2,2,84,77
0,2,0,0,0,0,99,3,2,90,78
0,1,1,2,59,9,20,6,2,104,79
0,2,0,0,0,2,99,3,2,147,80
0,2,1,0,0,3,99,5,2,161,81
0,1,1,0,49,4,32,6,2,71,82
