RELATE,SEX,AGE,MARST,RACE,CITIZEN,SPEAKENG,SCHOOL,EDUC,GRADEATT,SCHLTYPE,EMPSTAT,CLASSWKR,INCTOT,DISABWRK,household_id,individual_id
0,1,42,5,0,0,3,1,6,0,1,1,2,17,1,0,0
2,0,49,3,0,0,2,1,3,0,1,2,2,9,1,1,1
0,1,54,0,0,0,2,1,6,0,1,1,2,10,1,1,2
1,1,63,0,7,0,4,1,6,0,1,3,2,12,1,2,3
0,0,66,0,0,2,3,1,6,0,1,1,2,14,1,2,4
0,0,49,5,0,0,2,1,7,0,1,1,2,21,2,3,5
0,1,38,0,0,3,3,1,2,0,1,1,2,7,1,4,6
1,1,35,0,0,2,3,1,2,0,1,1,2,7,1,4,7
2,0,11,5,0,0,3,2,2,4,2,0,0,0,0,4,8
2,0,9,5,0,0,3,2,1,3,2,0,0,0,0,4,9
2,0,10,5,0,0,3,2,2,4,2,0,0,0,0,4,10
0,1,59,0,0,0,2,1,8,0,1,3,2,14,1,5,11
1,1,62,0,0,0,2,1,6,0,1,3,0,2,1,5,12
0,0,73,4,0,0,2,1,6,0,1,3,0,4,1,6,13
7,0,27,1,5,2,2,2,7,6,2,1,2,2,1,7,14
7,1,85,4,0,0,3,1,4,0,1,3,0,0,1,8,15
0,1,85,4,0,0,2,1,5,0,1,3,0,23,2,9,16
1,0,53,0,5,2,3,1,9,0,1,1,2,4,1,10,17
0,0,44,0,5,3,3,1,9,0,1,1,2,7,1,10,18
0,1,51,3,0,0,2,1,7,0,1,1,1,17,1,11,19
0,1,85,4,0,0,2,1,6,0,1,3,0,13,2,12,20
1,0,29,0,0,0,2,1,6,0,1,1,2,14,1,13,21
0,1,31,0,0,0,2,1,6,0,1,3,2,12,1,13,22
7,0,9,5,7,0,2,2,1,3,2,0,1,0,0,14,23
0,0,29,1,0,0,2,1,6,0,1,1,2,15,1,14,24
7,1,35,2,0,0,2,1,6,0,1,1,2,10,1,14,25
7,1,20,5,0,0,2,2,6,6,2,3,2,3,1,15,26
1,0,30,0,0,0,2,1,4,0,1,1,2,9,1,16,27
0,1,25,0,0,3,5,1,3,0,1,1,2,12,2,16,28
2,0,3,5,7,0,0,0,0,0,0,0,0,0,1,16,29
1,1,64,0,0,0,2,1,9,0,1,1,2,28,1,17,30
0,0,74,0,0,0,2,1,10,0,1,1,2,11,1,17,31
1,0,43,0,0,0,2,1,7,0,1,1,1,16,1,18,32
0,0,12,5,0,0,2,2,2,4,2,0,0,0,0,18,33
0,1,37,0,0,0,2,1,9,0,1,3,2,0,1,18,34
1,1,62,0,0,0,2,1,7,0,1,3,2,8,1,19,35
0,0,65,0,0,0,2,1,7,0,1,3,2,13,1,19,36
0,1,56,0,1,0,2,1,6,0,1,1,0,6,2,20,37
7,1,40,3,1,0,2,1,6,0,1,1,2,7,1,20,38
1,0,53,0,2,0,2,1,6,0,1,3,2,6,2,20,39
0,1,59,0,1,0,2,1,6,0,1,3,0,5,2,20,40
0,0,47,0,0,2,2,1,9,0,1,1,2,50,1,21,41
2,1,12,5,0,0,2,1,0,0,1,0,0,0,0,21,42
2,1,13,5,0,0,2,2,2,4,3,0,0,0,0,21,43
1,1,47,0,0,2,2,1,9,0,1,3,0,0,1,21,44
1,0,60,0,0,3,5,1,6,0,1,1,2,30,2,22,45
0,1,53,0,0,0,5,1,10,0,1,1,1,47,2,22,46
2,1,7,5,0,3,4,2,1,3,2,0,0,0,0,23,47
0,0,40,0,0,3,4,1,10,0,1,1,2,35,1,23,48
1,1,41,0,0,0,4,1,8,0,1,1,2,7,2,23,49
2,1,7,5,0,3,4,2,1,3,2,0,0,0,0,23,50
0,1,53,3,0,0,2,1,6,0,1,1,2,11,1,24,51
1,1,50,0,5,2,4,1,9,0,1,3,0,0,1,25,52
2,1,18,5,0,3,3,2,4,6,3,3,0,0,1,25,53
2,1,42,0,7,2,3,1,9,0,1,1,2,19,1,25,54
1,1,53,0,0,0,2,1,6,0,1,1,2,13,1,26,55
0,0,54,0,0,0,2,1,9,0,1,1,2,27,1,26,56
7,1,31,5,0,0,2,2,6,0,3,3,2,5,1,27,57
0,0,40,5,0,0,2,1,0,0,1,2,1,5,2,27,58
1,1,55,0,0,2,5,1,6,0,1,1,1,3,2,28,59
0,0,57,0,0,2,5,1,0,0,1,1,2,3,2,28,60
0,0,62,0,0,0,2,1,10,0,1,1,2,20,1,29,61
1,1,61,0,0,0,2,1,6,0,1,1,2,4,1,29,62
1,0,61,0,0,0,2,1,10,0,1,1,1,8,1,30,63
0,0,69,0,4,0,2,1,6,0,1,3,1,8,1,30,64
1,1,58,0,0,0,2,1,6,0,1,3,2,16,1,31,65
0,0,56,0,0,0,2,1,9,0,1,1,2,7,1,31,66
0,0,34,0,6,0,3,1,6,0,1,1,2,10,1,32,67
1,1,35,0,0,0,2,1,6,0,1,1,2,8,1,32,68
0,1,67,4,0,0,2,1,6,0,1,3,0,8,1,33,69
2,0,17,5,0,0,2,2,5,5,2,1,2,1,1,34,70
0,1,52,3,0,0,2,1,6,0,1,1,2,7,1,34,71
2,1,45,3,0,0,3,1,9,0,1,1,2,23,1,35,72
0,1,57,4,0,0,2,2,0,0,1,3,2,3,0,35,73
1,0,43,3,0,0,2,1,7,0,1,1,2,37,1,35,74
5,1,17,5,0,0,2,2,6,6,2,1,2,0,1,35,75
0,1,39,3,0,0,2,2,7,6,2,1,2,10,1,36,76
2,0,15,5,0,0,2,2,3,5,2,0,0,0,0,36,77
2,0,15,5,0,0,2,2,3,5,2,0,0,0,0,36,78
0,0,48,5,0,0,2,1,6,0,1,1,2,20,1,37,79
1,1,29,0,0,0,2,1,9,0,1,1,2,32,1,38,80
0,0,30,0,0,0,2,1,9,0,1,1,2,64,1,38,81
2,0,3,5,2,0,0,2,0,1,2,0,0,0,0,39,82
1,1,31,0,2,0,2,1,6,0,1,1,2,9,1,39,83
2,0,11,5,2,0,2,2,2,4,2,0,0,0,0,39,84
1,1,31,0,2,0,2,1,6,0,1,1,2,8,1,39,85
2,0,2,5,2,0,0,0,0,0,0,0,0,0,0,39,86
0,0,38,5,0,0,2,1,10,0,1,1,2,31,1,40,87
0,0,72,0,1,0,2,1,6,0,1,3,2,9,1,41,88
1,1,69,0,1,0,2,1,6,0,1,3,2,0,1,41,89
5,1,20,5,1,0,2,2,6,6,3,1,2,8,2,41,90
0,0,59,0,0,0,2,1,8,0,1,1,2,25,1,42,91
1,1,66,0,0,0,2,1,6,0,1,3,0,1,1,42,92
0,1,85,4,0,0,2,1,6,0,1,3,0,14,1,43,93
0,0,44,4,1,0,2,2,5,6,2,0,2,7,1,44,94
5,1,15,5,1,0,2,2,3,5,2,0,0,0,0,44,95
5,0,4,5,1,0,0,1,0,0,1,0,0,0,0,44,96
0,1,50,4,1,0,2,2,7,6,2,1,2,16,1,44,97
2,1,22,2,1,0,2,1,6,0,1,1,2,11,1,44,98
5,0,0,5,1,0,0,0,0,0,0,0,0,0,0,44,99
0,1,67,4,0,0,2,1,7,0,1,1,2,24,1,45,100
2,0,11,5,6,0,3,2,1,4,2,0,0,0,0,46,101
1,1,43,0,6,3,5,1,6,0,1,3,0,0,1,46,102
2,1,9,5,6,0,3,2,0,3,2,0,0,0,0,46,103
0,0,45,0,6,0,4,1,9,0,1,1,2,10,1,46,104
5,1,6,5,0,0,2,2,1,3,2,0,0,0,0,47,105
5,1,2,5,0,0,0,0,0,0,0,0,0,0,0,47,106
0,0,59,3,0,0,2,1,6,0,1,3,2,46,1,47,107
2,1,28,2,0,0,2,1,8,0,1,2,2,5,1,47,108
1,1,54,0,0,0,2,1,8,0,1,3,1,0,1,47,109
0,1,74,4,0,0,2,1,4,0,1,3,0,0,1,48,110
2,0,31,5,0,0,2,1,6,0,1,1,2,14,1,48,111
0,0,39,5,0,0,2,1,10,0,1,2,2,8,1,49,112
7,1,38,2,0,0,2,1,6,0,1,3,2,5,1,49,113
2,1,7,5,7,0,0,2,1,3,2,0,0,0,0,50,114
2,1,12,5,1,0,3,2,2,5,2,0,0,0,0,50,115
0,1,29,3,5,0,2,1,7,0,1,1,1,8,1,50,116
2,0,1,5,7,0,0,0,0,0,0,0,0,0,0,50,117
7,0,32,5,7,2,3,1,9,0,1,1,2,13,1,50,118
0,1,84,4,1,0,2,1,6,0,1,3,0,23,2,51,119
7,0,41,5,7,1,2,1,10,0,1,1,2,0,1,51,120
0,1,50,0,8,2,2,1,8,0,1,3,2,21,1,52,121
1,0,47,0,8,2,3,1,10,0,1,1,2,63,2,52,122
7,1,50,0,6,3,1,1,0,0,1,1,2,8,1,53,123
0,0,47,0,6,3,1,1,1,0,1,3,2,0,1,53,124
2,0,18,5,6,0,3,1,6,0,1,3,0,0,1,53,125
1,1,73,0,0,0,2,1,6,0,1,1,2,10,1,54,126
0,0,69,0,0,0,2,1,7,0,1,3,2,3,2,54,127
2,1,5,5,7,0,2,2,1,1,2,0,0,0,0,55,128
1,1,30,5,8,0,2,1,6,0,1,2,2,2,0,55,129
2,1,5,5,7,0,2,2,1,1,2,0,0,0,0,55,130
0,0,33,0,7,0,2,1,7,0,1,1,2,4,1,55,131
0,0,36,0,0,2,3,1,9,0,1,3,2,10,1,56,132
0,1,32,3,0,0,2,1,7,0,1,1,1,7,1,56,133
2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,56,134
2,1,12,5,0,0,2,2,2,4,2,0,0,0,0,56,135
2,0,9,5,0,0,3,2,1,3,2,0,0,0,0,56,136
0,0,56,3,0,0,2,1,6,0,1,1,1,13,1,57,137
7,0,20,5,0,0,2,2,7,6,3,1,2,8,1,58,138
0,0,48,0,1,0,2,1,7,0,1,1,2,13,1,59,139
2,0,18,5,1,0,2,2,5,5,2,3,0,0,1,59,140
1,1,46,0,1,0,2,1,6,0,1,1,2,12,1,59,141
2,0,13,5,1,0,2,2,6,4,2,0,0,0,0,59,142
7,0,22,5,0,0,4,1,6,0,1,1,2,15,1,60,143
7,0,43,5,0,1,2,1,6,0,1,3,2,0,2,61,144
7,0,19,5,0,0,2,1,6,0,1,1,2,6,1,62,145
7,1,22,5,0,0,2,1,6,0,1,1,2,6,1,63,146
0,1,21,5,0,0,2,1,9,0,1,2,2,1,1,64,147
7,1,22,5,0,0,2,1,9,0,1,2,2,2,1,64,148
7,1,22,5,0,0,2,1,6,0,1,1,2,9,1,64,149
7,0,27,5,0,0,2,1,9,0,1,1,2,21,1,65,150
0,0,38,5,0,0,2,1,9,0,1,1,2,7,1,65,151
7,0,22,5,0,0,2,1,7,0,1,1,2,6,1,65,152
