user_id,session_id,action,action_type,action_detail,device_type,secs_elapsed
0,24247,165.0,3.0,78.0,6.0,15.0
0,24248,118.0,3.0,101.0,6.0,165.0
0,24249,49.0,2.0,19.0,6.0,58825.0
0,24250,165.0,3.0,78.0,6.0,133.0
0,24251,23.0,2.0,17.0,6.0,1299.0
0,24252,158.0,7.0,57.0,6.0,18730.0
0,24253,23.0,2.0,17.0,6.0,793.0
0,24254,165.0,3.0,78.0,6.0,158.0
0,24255,158.0,7.0,92.0,6.0,48993.0
0,24256,81.0,7.0,99.0,6.0,1098.0
1,24291,118.0,3.0,101.0,8.0,136.0
1,24292,118.0,3.0,101.0,8.0,1082.0
1,24293,158.0,7.0,57.0,8.0,268.0
1,24294,165.0,3.0,78.0,8.0,637.0
1,24295,118.0,3.0,101.0,8.0,899.0
1,24296,158.0,7.0,57.0,8.0,10268.0
1,24297,23.0,2.0,17.0,8.0,797.0
1,24298,158.0,7.0,57.0,8.0,3695.0
1,24299,118.0,3.0,101.0,8.0,997.0
1,24300,118.0,3.0,101.0,8.0,37.0
2,24263,60.0,7.0,28.0,6.0,40.0
2,24264,158.0,7.0,57.0,6.0,1054.0
2,24265,127.0,0.0,0.0,6.0,145.0
2,24266,81.0,7.0,99.0,6.0,1632.0
2,24267,23.0,2.0,17.0,6.0,655.0
2,24268,107.0,0.0,0.0,6.0,5.0
2,24269,154.0,2.0,99.0,6.0,967.0
2,24270,158.0,7.0,57.0,6.0,165.0
2,24271,154.0,2.0,99.0,6.0,8994.0
2,24272,81.0,0.0,0.0,6.0,1213.0
3,24263,95.0,2.0,51.0,2.0,0.0
3,24264,158.0,7.0,57.0,2.0,1015.0
3,24265,81.0,7.0,99.0,2.0,6558.0
3,24266,158.0,7.0,57.0,2.0,637.0
3,24267,23.0,2.0,17.0,2.0,631.0
3,24268,23.0,2.0,17.0,2.0,65.0
3,24269,118.0,3.0,101.0,2.0,967.0
3,24270,158.0,7.0,57.0,2.0,348.0
3,24271,154.0,2.0,99.0,8.0,8107.0
3,24272,154.0,2.0,99.0,2.0,3736.0
4,24247,165.0,3.0,78.0,8.0,15.0
4,24248,118.0,3.0,101.0,8.0,165.0
4,24249,49.0,2.0,19.0,3.0,54425.0
4,24250,165.0,3.0,78.0,8.0,133.0
4,24251,23.0,2.0,17.0,8.0,1299.0
4,24252,158.0,7.0,57.0,8.0,18730.0
4,24253,23.0,2.0,17.0,8.0,798.0
4,24254,165.0,3.0,78.0,8.0,157.0
4,24255,158.0,7.0,92.0,8.0,48993.0
4,24256,81.0,7.0,99.0,8.0,798.0
5,24263,95.0,2.0,51.0,2.0,0.0
5,24264,158.0,7.0,57.0,6.0,1012.0
5,24265,23.0,2.0,17.0,6.0,635.0
5,24266,165.0,3.0,78.0,6.0,22.0
5,24267,23.0,2.0,17.0,6.0,689.0
5,24268,158.0,7.0,57.0,6.0,65.0
5,24269,23.0,2.0,17.0,6.0,471.0
5,24270,158.0,7.0,57.0,2.0,998.0
5,24271,158.0,7.0,57.0,6.0,8994.0
5,24272,158.0,7.0,57.0,6.0,733.0
6,24297,118.0,3.0,101.0,8.0,86.0
6,24298,118.0,3.0,101.0,8.0,137.0
6,24299,154.0,2.0,99.0,8.0,3865.0
6,24200,165.0,3.0,78.0,8.0,25.0
6,24201,23.0,2.0,17.0,8.0,889.0
6,24202,158.0,7.0,57.0,8.0,268.0
6,24203,23.0,2.0,17.0,8.0,497.0
6,24204,158.0,7.0,57.0,8.0,365.0
6,24205,118.0,3.0,101.0,8.0,993.0
6,24206,23.0,2.0,17.0,8.0,1024.0
7,24247,165.0,3.0,78.0,6.0,15.0
7,24248,118.0,3.0,101.0,6.0,165.0
7,24249,49.0,2.0,19.0,6.0,58825.0
7,24250,165.0,3.0,78.0,6.0,133.0
7,24251,23.0,2.0,17.0,6.0,1299.0
7,24252,158.0,7.0,57.0,6.0,18730.0
7,24253,23.0,2.0,17.0,6.0,793.0
7,24254,165.0,3.0,78.0,6.0,158.0
7,24255,158.0,7.0,57.0,6.0,8993.0
7,24256,81.0,7.0,99.0,6.0,1369.0
8,24267,56.0,7.0,26.0,2.0,461.0
8,24268,158.0,7.0,57.0,2.0,1024.0
8,24269,147.0,7.0,60.0,3.0,1631.0
8,24270,158.0,7.0,57.0,2.0,8137.0
8,24271,23.0,2.0,17.0,2.0,465.0
8,24272,103.0,6.0,53.0,2.0,7265.0
8,24273,23.0,2.0,17.0,2.0,171.0
8,24274,158.0,7.0,57.0,2.0,365.0
8,24275,118.0,3.0,101.0,8.0,757.0
8,24276,81.0,0.0,0.0,2.0,1013.0
9,24247,165.0,3.0,78.0,2.0,15.0
9,24248,118.0,3.0,101.0,8.0,165.0
9,24249,49.0,2.0,19.0,2.0,58865.0
9,24250,165.0,3.0,78.0,8.0,133.0
9,24251,23.0,2.0,17.0,8.0,1299.0
9,24252,158.0,7.0,57.0,8.0,18730.0
9,24253,23.0,2.0,17.0,8.0,798.0
9,24254,165.0,3.0,78.0,8.0,157.0
9,24255,158.0,7.0,92.0,8.0,8993.0
9,24256,158.0,7.0,57.0,8.0,798.0
10,24263,95.0,2.0,51.0,2.0,0.0
10,24264,158.0,7.0,57.0,6.0,2913.0
10,24265,23.0,2.0,17.0,6.0,631.0
10,24266,158.0,7.0,57.0,6.0,655.0
10,24267,23.0,2.0,17.0,6.0,684.0
10,24268,107.0,0.0,0.0,2.0,1065.0
10,24269,23.0,2.0,17.0,6.0,967.0
10,24270,158.0,7.0,57.0,6.0,165.0
10,24271,165.0,3.0,78.0,6.0,57.0
10,24272,158.0,7.0,57.0,6.0,736.0
11,24263,95.0,2.0,51.0,2.0,0.0
11,24264,158.0,7.0,57.0,6.0,2913.0
