user_id,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
0,0.0,55.0,0.0,0,2.0,7.0,6.0,0.0,2.0,7.0,11.0,4.0
1,2.0,25.0,0.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
2,1.0,39.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,8.0,9.0
3,0.0,31.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
4,2.0,34.0,1.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0
5,1.0,41.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,3.0
6,1.0,41.0,0.0,0,2.0,5.0,6.0,3.0,2.0,6.0,5.0,9.0
7,2.0,30.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
8,1.0,52.0,0.0,0,2.0,6.0,6.0,3.0,2.0,6.0,8.0,10.0
9,0.0,36.0,0.0,0,2.0,2.0,2.0,0.0,2.0,6.0,9.0,10.0
10,1.0,27.0,1.0,0,2.0,7.0,6.0,0.0,2.0,3.0,5.0,9.0
11,1.0,25.0,0.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
12,1.0,40.0,0.0,0,2.0,6.0,6.0,3.0,2.0,3.0,8.0,9.0
13,2.0,105.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,10.0
14,1.0,63.0,1.0,0,2.0,2.0,2.0,6.0,2.0,7.0,11.0,6.0
15,2.0,27.0,0.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
16,0.0,33.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,4.0
17,0.0,67.0,0.0,0,2.0,5.0,6.0,3.0,2.0,6.0,5.0,9.0
18,0.0,33.0,0.0,12,2.0,0.0,9.0,6.0,0.0,3.0,5.0,10.0
19,2.0,26.0,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,8.0,9.0
20,2.0,28.0,1.0,0,2.0,2.0,2.0,6.0,2.0,3.0,8.0,9.0
21,2.0,29.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,2.0
22,0.0,43.0,0.0,0,2.0,5.0,6.0,6.0,2.0,6.0,5.0,9.0
23,2.0,47.0,0.0,0,2.0,2.0,2.0,6.0,2.0,7.0,11.0,9.0
24,1.0,27.0,0.0,25,2.0,2.0,2.0,0.0,3.0,8.0,11.0,9.0
25,1.0,25.0,1.0,0,2.0,5.0,6.0,3.0,2.0,3.0,8.0,9.0
26,1.0,27.0,0.0,0,2.0,5.0,6.0,3.0,2.0,6.0,5.0,9.0
27,1.0,26.0,1.0,0,2.0,6.0,6.0,3.0,2.0,6.0,5.0,9.0
28,1.0,27.0,1.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,10.0
29,2.0,31.0,1.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
30,2.0,46.0,0.0,0,2.0,5.0,6.0,3.0,2.0,6.0,5.0,9.0
31,1.0,62.0,0.0,0,2.0,5.0,6.0,3.0,2.0,6.0,5.0,9.0
32,1.0,39.0,0.0,0,2.0,6.0,6.0,3.0,2.0,6.0,5.0,6.0
33,2.0,35.0,1.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
34,1.0,32.0,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0
35,0.0,42.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0
36,0.0,26.0,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,9.0
37,1.0,29.0,0.0,25,2.0,2.0,2.0,0.0,3.0,8.0,11.0,9.0
38,0.0,18.0,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,9.0,9.0
39,1.0,52.0,0.0,0,2.0,6.0,6.0,3.0,2.0,6.0,9.0,10.0
40,2.0,27.0,0.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0
41,1.0,26.0,1.0,0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,3.0
