loyalty_history_id,activity_id,year,month,total_flights,distance,points_accumulated,points_redeemed,dollar_cost_points_redeemed
0,392037,2018,6,20,27120,40130.0,0,0
0,392298,2018,12,8,19288,22132.0,0,0
0,392056,2018,10,2,2324,7876.0,0,0
0,392290,2018,4,4,2524,3434.0,0,0
0,392057,2018,4,2,1692,10736.0,0,0
0,392074,2018,3,0,0,0.0,0,0
0,392055,2018,3,0,0,0.0,0,0
0,392067,2018,5,0,0,0.0,0,0
0,392054,2018,6,0,0,0.0,0,0
0,392047,2018,9,0,0,0.0,0,0
0,392066,2018,10,0,0,0.0,0,0
1,392274,2018,5,8,12548,19252.0,0,0
1,392295,2018,10,8,11988,28972.0,0,0
1,392296,2018,12,8,12578,17822.0,0,75
1,392290,2018,4,4,5324,9836.0,0,0
1,392299,2018,4,0,672,10000.0,0,0
1,392074,2018,2,0,0,0.0,0,0
1,392296,2018,3,0,0,0.0,0,0
1,392017,2018,5,0,0,0.0,0,0
1,392297,2018,4,0,0,0.0,0,0
1,392096,2018,9,0,0,0.0,0,0
1,392297,2018,10,0,0,0.0,0,0
2,392035,2018,7,28,12680,19230.0,0,0
2,392294,2018,12,12,9288,17132.0,0,0
2,392296,2018,10,8,11548,17852.0,0,0
2,392297,2018,4,8,12324,2636.0,0,0
2,392057,2018,4,2,1828,12732.0,0,0
2,392054,2018,2,0,0,0.0,0,0
2,392059,2018,3,0,0,0.0,0,0
2,392016,2018,5,0,0,0.0,0,0
2,392057,2018,4,0,0,0.0,0,0
2,392076,2018,9,0,0,0.0,0,0
2,392877,2018,10,0,0,0.0,0,0
3,392077,2018,6,16,17124,19256.0,0,0
3,392066,2018,10,8,19688,27852.0,0,0
3,392297,2018,10,6,9224,9876.0,0,0
3,392290,2018,4,8,13324,9536.0,0,0
3,392299,2018,4,2,2828,12532.0,0,0
3,392054,2018,2,6,1584,59.0,0,0
3,392296,2018,3,0,0,720.0,0,0
3,392294,2018,5,0,0,0.0,0,0
3,392015,2018,4,0,0,0.0,0,0
3,392066,2018,9,0,0,0.0,0,0
3,392076,2018,10,0,0,0.0,0,0
4,392297,2018,7,20,26880,44470.0,0,0
4,392298,2018,12,8,15428,22432.0,0,0
4,390296,2018,12,8,11556,29824.0,0,0
4,392052,2018,4,4,2384,3436.0,0,0
4,390657,2018,4,2,1692,17000.0,0,0
4,392090,2018,3,0,0,0.0,0,0
4,392056,2018,3,0,0,0.0,0,0
4,392047,2018,5,0,0,0.0,0,0
4,392057,2018,4,0,0,0.0,0,0
4,392296,2018,9,0,0,0.0,0,0
4,392077,2018,10,0,0,0.0,0,0
5,392056,2018,7,28,12680,19250.0,0,0
5,392297,2018,10,8,19288,28932.0,0,0
5,392298,2018,12,6,12556,17824.0,0,0
5,392052,2018,4,8,11824,3436.0,0,0
5,392270,2018,4,2,0,17854.0,0,0
5,392297,2018,3,0,0,0.0,0,0
5,392055,2018,3,0,0,0.0,0,0
5,392017,2018,5,0,0,0.0,0,0
5,392054,2018,4,0,0,0.0,0,0
5,392056,2018,9,0,0,0.0,0,0
5,392059,2018,10,0,0,0.0,0,0
6,392295,2018,7,28,12580,19230.0,0,0
6,392296,2018,12,15,19988,28932.0,0,0
6,392057,2018,10,8,11556,7842.0,0,0
6,392290,2018,4,8,16384,5936.0,0,0
6,392059,2018,4,2,1828,12434.0,0,0
6,392044,2018,2,0,0,0.0,0,0
6,392056,2018,3,0,0,0.0,0,0
6,392074,2018,5,0,0,0.0,0,0
6,392057,2018,4,0,0,0.0,0,0
6,392066,2018,9,0,0,0.0,0,0
6,392297,2018,10,0,0,0.0,0,0
7,392296,2018,7,28,12860,18290.0,0,0
7,392297,2018,12,12,29488,38932.0,0,0
7,392297,2018,4,8,11556,27824.0,0,0
7,392290,2018,7,8,12384,3436.0,0,0
7,392057,2018,4,2,1828,17434.0,0,0
7,392294,2018,3,3,1800,2712.0,0,0
7,392055,2018,3,0,0,0.0,0,0
7,392017,2018,5,0,0,0.0,0,0
7,392295,2018,4,0,0,0.0,0,0
7,392066,2018,5,0,0,0.0,0,0
7,392077,2018,10,0,0,0.0,0,0
8,392056,2018,7,28,12680,19730.0,0,0
8,392057,2018,12,15,19888,28952.0,0,0
8,392297,2018,12,8,11556,27824.0,0,0
8,392056,2018,4,4,2324,3436.0,0,0
8,392057,2018,4,2,8692,17936.0,0,0
8,392054,2018,3,2,1782,0.0,0,0
8,392070,2018,5,0,0,0.0,0,0
8,392067,2018,3,0,0,0.0,0,0
8,392057,2018,4,0,0,0.0,0,0
8,392058,2018,9,0,0,0.0,0,0
8,392077,2018,10,0,0,0.0,0,0
9,392297,2018,7,20,22680,40750.0,0,0
9,392058,2018,10,8,19588,22732.0,0,0
9,392058,2018,12,2,2556,17632.0,0,0
9,392290,2018,4,8,12384,9836.0,0,0
9,392059,2018,4,2,1624,736.0,0,0
9,392044,2018,3,0,0,0.0,0,0
9,392059,2018,3,0,0,0.0,0,0
9,392017,2018,5,0,0,0.0,0,0
9,392095,2018,0,0,0,0.0,0,0
9,392066,2018,7,0,0,0.0,0,0
9,392690,2018,10,0,0,0.0,0,0
10,392297,2018,7,20,12680,18940.0,0,0
10,392298,2018,10,8,19288,28132.0,0,0
10,392019,2018,12,6,12576,17874.0,0,0
10,392050,2018,4,4,2384,3436.0,0,0
10,392295,2018,4,2,1822,12736.0,0,0
10,392072,2018,3,0,0,0.0,0,0
10,392059,2018,3,0,0,0.0,0,0
10,392044,2018,5,0,0,0.0,0,0
10,392297,2018,4,0,0,0.0,0,0
10,392046,2018,5,0,0,0.0,0,0
10,392077,2018,10,0,0,0.0,0,0
11,392035,2018,7,28,12564,19256.0,0,0
11,392296,2018,10,8,15488,22132.0,0,0
11,392297,2018,10,6,11556,17874.0,0,0
11,392290,2018,8,4,2328,3432.0,0,0
11,392060,2018,4,2,1648,6132.0,0,0
11,392084,2018,3,1,1588,2732.0,0,0
11,392056,2018,3,0,84,0.0,0,0
11,392059,2018,5,0,0,0.0,0,0
11,392057,2018,4,0,0,0.0,0,0
11,392070,2018,9,0,0,0.0,0,0
11,392074,2018,10,0,0,0.0,0,0
12,392296,2018,7,28,12680,18960.0,0,0
12,392297,2018,11,8,19288,22632.0,0,0
12,392295,2018,12,8,11556,17824.0,0,92
12,392052,2018,4,4,2524,9336.0,0,0
12,392295,2018,4,2,1848,7736.0,0,0
12,392054,2018,3,3,1800,0.0,0,0
12,392055,2018,3,0,0,0.0,0,0
12,392896,2018,5,0,0,0.0,0,0
12,392057,2018,4,0,0,0.0,0,0
12,392066,2018,5,0,0,0.0,0,0
12,392076,2018,10,0,0,0.0,0,0
13,392047,2018,6,16,22580,40730.0,0,0
13,392288,2018,10,8,19888,28852.0,0,0
13,392296,2018,11,6,2556,9874.0,0,99
13,392017,2018,4,8,19928,13832.0,0,0
13,392650,2018,4,2,1822,12730.0,0,0
13,392074,2018,2,0,0,0.0,0,0
13,392056,2018,3,0,0,0.0,0,0
13,392074,2018,5,0,0,0.0,0,0
13,392088,2018,4,0,0,0.0,0,0
13,392296,2018,7,0,0,0.0,0,0
13,392076,2018,10,0,0,0.0,0,0
14,392297,2018,7,20,22680,40720.0,0,0
14,392058,2018,12,15,19688,28132.0,0,0
14,392296,2018,12,8,11524,27846.0,0,0
14,392052,2018,7,8,19324,29836.0,0,0
14,392059,2018,4,2,2826,738.0,0,0
14,392054,2018,3,0,0,0.0,0,0
14,392855,2018,3,0,0,0.0,0,0
14,392049,2018,4,0,0,0.0,0,0
14,392057,2018,4,0,0,0.0,0,0
14,392016,2018,5,0,0,0.0,0,0
14,392657,2018,10,0,0,0.0,0,0
15,392075,2018,7,24,17880,19250.0,0,0
15,392296,2018,12,15,15976,22434.0,0,0
15,392297,2018,4,8,11556,17854.0,0,0
15,392050,2018,4,8,16384,5936.0,0,0
15,392057,2018,4,2,1608,17000.0,0,0
15,392666,2018,3,0,88,0.0,0,0
15,392070,2018,3,0,0,0.0,0,0
15,392897,2018,5,0,0,0.0,0,0
15,392057,2018,4,0,0,0.0,0,0
15,392058,2018,5,0,0,0.0,0,0
15,392059,2018,10,0,0,0.0,0,0
16,392035,2018,8,20,27640,41730.0,0,0
16,392296,2018,12,12,29485,28932.5,0,0
16,392058,2018,12,8,19524,28936.0,0,0
16,392290,2018,4,8,11384,3436.0,0,0
16,392239,2018,4,8,11692,12736.0,0,0
16,392295,2018,3,1,6688,18736.0,0,0
16,392050,2018,3,0,0,0.0,0,0
16,392056,2018,4,0,0,0.0,0,0
16,392064,2018,4,0,0,0.0,0,0
16,392096,2018,5,0,0,0.0,0,0
16,392047,2018,10,0,0,0.0,0,0
17,392035,2018,8,20,27220,47130.0,0,0
17,392056,2018,10,8,19288,22732.0,0,0
17,392057,2018,12,12,29224,7896.0,0,95
17,392052,2018,5,8,13324,3436.0,0,0
17,392040,2018,4,2,2646,7430.0,0,0
17,392054,2018,3,0,0,0.0,0,0
17,392055,2018,3,0,0,0.0,0,0
17,392076,2018,0,0,0,0.0,0,0
17,392057,2018,4,0,0,0.0,0,0
17,392056,2018,5,0,0,0.0,0,0
17,392077,2018,10,0,0,0.0,0,0
18,392035,2018,8,20,27920,48930.0,0,0
18,392056,2018,10,8,15976,27434.0,0,0
