loyalty_history_id,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,clv,enrollment_type,enrollment_year,enrollment_month,cancellation_year,cancellation_month
0,1,2,24,52,2,1,82916.0,2,2,14419.62,2,2014,12,0.0,0.0
1,1,2,24,51,1,1,85401.0,1,3,2441.74,2,2016,7,0.0,0.0
2,1,2,24,50,2,1,58310.0,2,2,10500.58,2,2018,10,0.0,0.0
3,1,7,21,35,1,1,87709.0,3,3,5894.77,2,2014,9,0.0,0.0
4,1,2,24,51,2,1,60952.0,1,3,2445.76,2,2015,1,0.0,0.0
5,1,9,22,15,2,1,80765.0,2,3,20328.86,2,2018,11,0.0,0.0
6,1,4,6,6,1,1,73604.0,1,2,14145.5,2,2012,7,0.0,0.0
7,1,9,13,9,2,1,84768.0,2,2,5594.49,2,2013,12,0.0,0.0
8,1,3,29,36,2,1,67052.0,2,1,9101.56,2,2018,6,0.0,0.0
9,1,2,24,49,2,2,0.0,2,2,4140.78,2,2015,8,0.0,0.0
10,1,7,14,17,2,2,0.0,2,3,2202.42,2,2018,10,2018.0,6.0
11,1,2,24,49,1,2,0.0,3,2,3461.16,2,2016,6,0.0,0.0
12,1,2,4,46,1,1,55831.0,1,3,2995.98,2,2015,7,0.0,0.0
13,1,7,21,23,1,1,99977.0,2,1,8380.95,2,2016,1,0.0,0.0
14,1,7,21,23,1,1,87114.0,1,3,4976.84,2,2012,11,0.0,0.0
15,1,2,24,51,1,1,61562.0,1,3,2697.02,2,2017,5,0.0,0.0
16,1,2,24,51,2,3,185861.0,1,3,2436.97,2,2018,10,0.0,0.0
17,1,7,10,30,1,1,45313.0,2,2,3382.13,2,2018,8,0.0,0.0
18,1,9,8,16,1,1,53814.0,1,3,3478.71,2,2016,10,2016.0,9.0
19,1,9,16,7,1,1,58742.0,2,3,2652.67,2,2015,6,0.0,0.0
20,1,1,5,44,2,1,64001.0,2,2,3236.51,2,2012,4,0.0,0.0
21,1,2,27,53,2,2,0.0,2,2,8096.78,2,2018,10,0.0,0.0
22,1,4,6,6,1,2,0.0,2,2,22847.81,2,2016,10,2015.0,12.0
23,1,2,24,50,2,1,96485.0,2,1,8455.34,2,2013,12,0.0,0.0
24,1,7,21,33,1,1,76905.0,3,2,8475.58,2,2015,4,0.0,0.0
25,1,2,27,53,2,2,0.0,3,3,2623.81,2,2018,10,0.0,0.0
26,1,1,5,42,2,1,88748.0,2,2,24605.14,2,2017,6,0.0,0.0
27,1,7,21,32,2,1,89856.0,1,2,4944.45,2,2016,6,0.0,0.0
28,1,7,21,23,2,1,61485.0,2,3,8288.5,2,2017,1,2017.0,12.0
29,1,2,25,58,1,1,81167.0,3,2,5677.9,2,2017,10,0.0,0.0
30,1,9,13,14,2,2,0.0,3,3,4799.95,2,2013,8,0.0,0.0
31,1,7,20,19,1,1,97923.0,2,2,3540.21,2,2016,2,0.0,0.0
32,1,6,7,3,2,2,0.0,3,2,8075.21,2,2018,9,0.0,0.0
33,1,4,6,6,2,1,83811.0,2,2,3241.17,2,2012,7,0.0,0.0
34,1,9,13,10,1,2,0.0,2,2,3700.68,2,2017,7,0.0,0.0
35,1,7,21,34,1,2,0.0,2,2,3707.7,2,2018,7,0.0,0.0
36,1,7,21,33,1,1,69493.0,2,3,4080.55,2,2016,2,2018.0,10.0
37,1,7,11,27,2,2,0.0,3,2,8041.71,2,2012,12,0.0,0.0
38,1,7,21,31,1,2,0.0,3,3,2382.46,2,2018,12,0.0,0.0
39,1,7,21,25,2,2,0.0,3,3,5389.42,2,2017,3,0.0,0.0
40,1,2,26,54,2,1,72651.0,2,2,7551.48,2,2016,7,2017.0,11.0
41,1,7,21,33,2,1,103524.0,2,1,9050.95,2,2018,9,0.0,0.0
42,1,1,5,42,2,1,99781.0,2,2,2909.36,2,2016,3,0.0,0.0
43,1,9,13,10,2,1,80892.0,2,2,10894.95,2,2016,8,2016.0,2.0
44,1,2,24,50,2,1,88265.0,1,2,4976.2,2,2018,8,0.0,0.0
45,1,7,10,30,1,3,172856.0,2,1,7290.27,2,2013,11,0.0,0.0
46,1,2,24,52,1,2,0.0,2,2,13436.66,2,2018,8,0.0,0.0
47,1,9,13,10,2,1,57808.0,1,2,5120.35,2,2016,8,0.0,0.0
48,1,1,5,44,1,2,0.0,2,3,2386.21,2,2013,1,0.0,0.0
49,1,10,17,40,1,1,47219.0,2,3,4839.8,2,2013,11,0.0,0.0
50,1,7,10,30,1,1,41119.0,2,3,32478.86,2,2017,5,0.0,0.0
51,1,7,21,23,2,2,0.0,3,3,2551.51,2,2012,9,0.0,0.0
52,1,2,24,50,1,1,56485.0,2,2,7995.36,1,2018,4,0.0,0.0
53,1,7,21,24,2,1,76156.0,2,3,8931.28,2,2014,8,0.0,0.0
54,1,6,7,3,2,1,83134.0,2,2,3333.5,2,2016,8,0.0,0.0
55,1,7,21,21,1,4,56056.0,1,2,8032.66,2,2016,12,0.0,0.0
56,1,7,10,30,2,2,0.0,1,2,7190.95,2,2013,3,0.0,0.0
57,1,2,24,52,2,1,84504.0,2,2,21453.2,2,2016,9,0.0,0.0
58,1,9,13,10,2,1,87897.0,3,3,4972.08,2,2016,4,0.0,0.0
59,1,7,21,32,2,1,72651.0,1,3,4974.06,2,2016,5,2018.0,7.0
60,1,2,4,46,1,1,99796.0,2,1,8169.89,2,2016,11,2017.0,0.0
61,1,9,13,10,2,2,0.0,3,2,13625.34,2,2018,7,0.0,0.0
62,1,7,21,25,2,1,46708.0,2,2,5109.69,2,2017,8,0.0,0.0
63,1,10,17,40,1,2,0.0,3,3,6252.07,2,2015,9,0.0,0.0
64,1,2,24,59,1,1,57168.0,2,2,7860.41,2,2017,8,0.0,0.0
65,1,7,21,23,1,1,82557.0,3,2,8044.77,2,2018,9,0.0,0.0
66,1,7,23,20,2,2,0.0,2,3,5100.0,2,2016,10,2017.0,11.0
67,1,2,24,49,2,1,91127.0,2,2,2787.48,2,2013,1,2016.0,1.0
68,1,2,24,49,2,1,98965.0,1,2,2830.62,2,2016,10,2016.0,10.0
69,1,7,21,35,2,2,0.0,2,3,5240.6,2,2017,6,0.0,0.0
70,1,7,21,34,1,5,87119.0,1,3,4974.68,2,2013,11,0.0,0.0
71,1,9,13,14,2,2,0.0,2,2,7866.13,2,2018,8,0.0,0.0
72,1,9,16,7,1,1,58250.0,3,3,2330.69,1,2018,4,0.0,0.0
73,1,2,24,51,2,1,70581.0,1,2,8964.2,2,2014,12,0.0,0.0
74,1,7,21,25,2,1,99765.0,3,1,8130.29,2,2018,8,0.0,0.0
75,1,2,26,54,1,1,57710.0,2,3,2767.54,2,2018,8,0.0,0.0
76,1,9,16,7,2,1,78749.0,2,2,5010.18,2,2017,8,0.0,0.0
77,1,4,12,5,2,1,72079.0,2,3,2676.81,2,2013,8,0.0,0.0
78,1,7,21,25,1,1,87259.0,2,3,4974.8,2,2015,4,0.0,0.0
79,1,9,13,8,1,1,64981.0,1,3,4363.46,2,2016,8,0.0,0.0
80,1,2,27,53,2,1,94881.0,2,3,2655.8,2,2013,5,0.0,0.0
81,1,9,13,14,2,2,0.0,2,3,4709.66,2,2018,8,0.0,0.0
82,1,7,21,32,2,1,73425.0,2,3,4937.5,2,2013,1,0.0,0.0
83,1,7,21,32,2,1,62520.0,3,2,2751.31,2,2013,2,0.0,0.0
84,1,7,21,23,2,1,82557.0,2,3,5330.17,2,2015,4,0.0,0.0
85,1,9,13,9,1,1,81856.0,2,2,5251.33,2,2016,2,0.0,0.0
86,1,6,7,3,2,1,51521.0,2,2,8269.08,2,2016,6,0.0,0.0
