loyalty_history_id,activity_id,year,month,total_flights,distance,points_accumulated,points_redeemed,dollar_cost_points_redeemed
0,19609,2018,9,5,5140,5140.0,507,140
0,30606,2018,8,4,4168,4168.0,0,0
0,30866,2018,7,4,7868,7868.0,790,0
0,57302,2017,2,3,2862,2862.0,334,98
0,62803,2017,2,3,7687,7687.0,0,0
0,87133,2018,11,3,2836,2836.0,0,0
0,100686,2018,11,2,4354,4354.0,563,128
0,165887,2018,7,1,2028,2028.0,764,78
0,167575,2018,10,1,111,111.0,7,0
0,160386,2018,2,1,1787,1787.0,7,0
0,167662,2018,3,1,10830,830.0,537,0
0,163699,2018,9,1,2287,2287.0,584,0
0,167882,2018,9,1,308,308.0,600,0
0,177993,2018,1,1,1308,1308.0,0,0
0,187608,2017,1,0,0,0.0,565,0
0,190403,2017,2,0,0,0.0,500,0
0,206194,2017,4,0,0,0.0,872,8
0,206005,2017,3,0,0,0.0,0,0
0,207986,2018,4,0,0,0.0,0,0
0,200003,2017,8,0,0,0.0,0,0
0,217706,2017,4,0,0,0.0,0,0
0,212466,2018,5,0,0,0.0,0,0
0,227176,2017,5,0,0,0.0,695,0
0,217674,2018,8,0,0,0.0,7,8
1,24869,2018,12,5,10600,10600.0,0,0
1,180626,2018,11,1,1867,1867.0,530,96
1,90966,2017,2,0,0,0.0,564,98
1,197303,2017,3,0,0,0.0,0,0
1,190966,2017,2,0,0,0.0,0,0
1,204662,2017,5,0,0,0.0,0,0
1,209005,2017,7,0,0,0.5,560,100
1,203107,2017,5,0,0,0.0,0,0
1,210003,2018,6,0,0,0.0,0,0
1,206866,2017,7,0,0,0.0,0,0
1,224006,2017,8,0,0,0.0,0,0
1,237896,2017,9,0,0,0.0,0,0
1,247861,2017,9,0,0,0.0,0,0
1,267636,2017,11,0,0,0.0,0,0
1,260862,2017,10,0,0,0.0,0,0
1,262369,2017,12,0,0,0.0,0,0
1,207009,2018,1,0,0,0.0,0,0
1,213867,2018,3,0,0,0.0,0,0
1,227608,2018,4,0,0,0.0,0,0
1,235143,2018,6,0,0,0.0,0,0
1,242307,2018,7,0,0,0.0,0,0
1,256675,2018,8,0,80,0.0,0,0
1,363102,2018,11,0,10000,0.0,0,9
1,369096,2018,12,0,0,0.0,0,8
2,1120,2017,7,7,10212,10212.0,0,0
2,7784,2018,8,6,3632,3632.0,0,0
2,7605,2017,9,8,4308,4308.0,500,0
2,8897,2017,3,5,605,605.0,507,121
2,9805,2018,6,6,7638,7638.0,525,59
2,4905,2018,1,4,4336,4336.0,0,8
2,97601,2017,6,3,4931,4931.0,500,1
2,95336,2017,5,2,3116,3116.0,0,0
2,90606,2018,1,2,4382,4382.0,0,8
2,101803,2017,11,2,4866,4866.0,560,0
2,100883,2018,4,2,4011,4011.0,500,0
2,104834,2018,12,2,4378,4378.0,0,0
2,152815,2018,1,1,786,786.0,0,0
2,160864,2018,2,0,0,0.0,0,0
2,184196,2017,1,0,0,0.0,1,0
2,190866,2017,2,0,0,0.0,0,8
2,207606,2017,3,0,0,0.0,598,100
2,237996,2018,7,0,0,0.0,0,0
2,237820,2018,8,0,0,0.0,0,1
2,237183,2017,7,0,0,0.0,4,0
2,252879,2018,12,0,0,0.0,527,0
2,265121,2018,9,0,0,0.0,0,0
2,266504,2018,11,0,0,0.0,521,0
2,267877,2018,12,0,0,0.0,0,1
3,737,2017,6,5,7675,7675.0,0,0
3,8986,2018,7,6,10776,10776.0,0,0
3,7865,2017,8,5,10887,887.0,500,0
3,10366,2018,12,5,7425,7425.0,0,0
3,17066,2017,1,5,10205,10805.0,0,0
3,25861,2018,8,8,10327,327.0,0,8
3,165195,2018,3,1,1801,1801.0,524,101
3,161696,2018,9,1,607,907.0,568,98
3,160626,2018,1,1,806,806.0,594,8
3,173686,2018,12,1,683,683.0,0,0
3,187664,2017,1,0,0,0.0,567,91
3,197113,2017,2,0,0,0.0,0,8
3,207608,2017,3,0,40000,0.0,0,8
3,200894,2017,4,0,0,0.0,0,5
3,210366,2017,4,0,0,0.0,0,0
3,264106,2017,11,0,0,0.0,0,8
3,260404,2018,8,0,0,0.0,0,1
3,268090,2018,6,0,0,0.0,0,0
3,260086,2017,18,0,0,0.0,0,0
3,267766,2018,9,0,0,0.0,0,0
3,260669,2018,9,0,0,0.0,0,1
3,286862,2017,10,0,0,0.0,0,0
3,306609,2018,11,0,0,0.0,0,0
3,303896,2018,12,0,0,0.0,4,0
4,4476,2018,6,6,11536,11536.0,866,78
4,164,2017,7,5,10885,10885.0,500,0
4,2162,2018,7,21,775,775.0,0,0
4,15063,2017,3,5,1835,2835.0,590,91
4,24911,2017,8,4,640,640.0,7,0
4,23865,2017,3,4,2118,2118.0,0,100
4,35193,2018,1,4,2697,2697.0,500,8
4,34607,2017,5,4,7,7.0,7,1
4,66522,2018,9,3,2328,2328.0,0,0
4,90867,2017,2,3,2136,2136.0,0,0
4,90834,2018,2,2,849,849.0,0,0
4,105805,2018,8,2,611,611.0,0,0
4,107666,2018,1,2,902,902.0,0,0
4,101189,2017,1,2,806,806.0,5,0
4,156899,2018,2,1,605,605.0,0,0
4,167609,2018,2,1,716,716.0,586,0
4,166175,2018,11,1,632,632.0,0,0
4,163135,2018,10,1,603,903.0,560,0
4,167196,2018,2,1,6,16.0,0,0
4,368803,2018,8,1,817,6.0,500,3
4,324503,2018,7,0,0,0.0,0,8
4,323679,2018,9,0,0,0.0,0,0
4,342607,2018,11,0,0,0.0,814,0
4,365807,2018,12,0,0,0.0,7,9
5,6495,2018,7,6,3706,3706.0,0,0
5,6865,2018,7,5,7240,7240.0,0,0
5,17309,2018,8,5,13805,13805.0,380,58
5,22823,2018,5,4,4142,4142.0,500,0
5,40513,2018,7,4,7406,12406.0,0,1
5,59876,2017,2,3,4138,4138.0,0,0
5,60393,2018,6,3,3367,3367.0,0,0
5,70103,2018,7,3,4216,4216.0,0,0
5,90407,2017,2,2,4432,4432.0,0,8
5,100186,2017,11,2,4846,4846.0,0,0
5,112303,2018,5,2,3308,3308.0,592,0
5,120706,2018,6,2,4836,4836.0,0,0
5,162287,2018,12,1,2461,2461.0,554,96
5,160126,2018,1,1,807,807.0,0,0
5,161872,2017,2,1,687,687.0,581,106
5,205655,2017,11,0,0,0.0,0,0
5,260166,2017,12,0,0,0.0,0,0
5,210803,2017,3,0,0,0.0,0,8
5,222067,2018,4,0,0,0.0,0,0
5,227103,2017,11,0,0,0.0,0,0
5,326613,2018,8,0,0,0.0,0,0
5,360606,2018,10,0,0,0.0,1,8
5,305016,2018,9,0,0,0.0,0,0
5,327614,2018,11,0,0,0.0,0,0
6,1976,2018,8,7,12089,12089.0,0,0
6,7636,2018,6,5,7370,7370.0,0,0
6,3176,2017,9,6,1300,1300.0,0,0
6,7967,2018,7,6,4678,4678.0,0,0
6,306,2018,1,5,7885,7875.0,522,41
6,7861,2017,12,6,8701,8701.0,0,0
6,10107,2018,5,5,3319,3319.0,0,0
6,58107,2017,4,3,4807,4807.0,0,0
6,97596,2017,8,2,4606,4606.0,0,0
6,90973,2018,3,1,2001,2001.0,8,1
6,99166,2018,2,0,0,0.0,0,0
6,104169,2017,1,0,0,0.0,0,0
6,100609,2017,6,0,0,0.0,0,0
6,107404,2017,2,0,0,0.0,4,0
6,186297,2017,1,0,0,0.0,0,0
6,120869,2018,2,0,0,0.0,0,0
6,260833,2017,10,0,0,0.0,524,0
6,269890,2017,12,0,0,0.0,0,0
6,263806,2018,1,0,0,0.0,587,71
6,260805,2017,11,0,0,0.0,0,0
6,269127,2017,5,0,0,0.0,0,0
6,262807,2017,12,0,0,0.0,8,0
6,260196,2018,11,0,0,0.0,0,8
6,260163,2018,11,0,0,0.0,514,0
7,2581,2017,6,6,4800,4800.0,0,0
7,65633,2017,1,3,2711,2711.0,0,8
7,60301,2018,2,3,4421,4421.0,0,0
7,68867,2017,8,3,4806,4806.0,598,108
7,67368,2018,1,3,1637,1636.0,590,0
7,111862,2018,5,2,4423,4423.0,0,1
7,120294,2018,6,2,3790,3790.0,0,0
