loyalty_history_id,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,clv,enrollment_type,enrollment_year,enrollment_month,cancellation_year,cancellation_month
0,1,2,24,51,2,3,112641.0,2,3,2398.62,2,2017,10,0.0,0.0
1,1,2,24,51,1,1,87110.0,1,3,2496.58,2,2012,10,0.0,0.0
2,1,2,4,46,1,1,51891.0,1,3,2695.48,2,2015,5,0.0,0.0
3,1,7,21,34,1,1,64245.0,2,2,7410.53,2,2018,5,0.0,0.0
4,1,9,13,11,2,1,55167.0,2,1,18070.28,2,2018,1,0.0,0.0
5,1,7,21,23,2,1,95564.0,2,3,2719.24,2,2016,4,0.0,0.0
6,1,7,21,32,1,1,86608.0,3,2,5009.16,2,2012,5,0.0,0.0
7,1,2,24,50,2,1,87118.0,2,2,7407.45,2,2016,4,0.0,0.0
8,1,7,21,33,2,2,0.0,2,2,5181.47,2,2018,11,0.0,0.0
9,1,7,19,28,1,1,62237.0,2,3,7646.06,2,2012,11,0.0,0.0
10,1,7,21,34,1,1,74004.0,2,3,3028.75,2,2018,11,0.0,0.0
11,1,7,21,32,2,1,96608.0,2,3,4625.17,2,2012,9,0.0,0.0
12,1,9,13,9,2,1,75312.0,2,2,8476.84,2,2013,4,0.0,0.0
13,1,7,10,30,2,1,72651.0,2,2,5178.98,2,2018,8,0.0,0.0
14,1,7,21,21,2,1,71660.0,1,3,4663.06,2,2012,8,0.0,0.0
15,1,2,24,49,1,2,0.0,3,2,3428.46,2,2013,6,0.0,0.0
16,1,7,21,31,1,2,0.0,2,3,2382.47,2,2017,3,0.0,0.0
17,1,6,7,3,1,1,91977.0,1,3,2666.95,2,2016,8,0.0,0.0
18,1,7,21,31,2,3,46669.0,2,3,4632.88,2,2015,4,0.0,0.0
19,1,7,14,17,1,1,97948.0,2,1,7611.55,1,2018,4,0.0,0.0
20,1,7,21,21,2,1,59607.0,2,2,8048.53,2,2012,12,0.0,0.0
21,1,2,27,53,2,1,93869.0,2,2,11631.98,2,2015,7,0.0,0.0
22,1,10,17,40,1,2,0.0,3,3,6240.07,2,2015,12,0.0,0.0
23,1,9,13,14,2,2,0.0,2,3,5379.73,2,2018,8,0.0,0.0
