household_id,individual_id,RELATE,SEX,AGE,MARST,RACE,CITIZEN,SPEAKENG,SCHOOL,EDUC,GRADEATT,SCHLTYPE,EMPSTAT,CLASSWKR,INCTOT,DISABWRK
0,267349,0,0,38,5,0,0,2,1,6,0,1,1,2,9,1
0,267350,3,1,75,4,0,0,2,1,6,0,1,3,0,5,1
1,229360,0,0,24,0,0,0,2,1,7,0,1,1,2,9,1
1,229361,1,1,27,0,0,0,2,2,7,6,2,1,2,9,1
1,229362,2,1,6,5,0,0,2,2,1,3,2,0,0,0,0
1,229363,2,0,5,5,0,0,2,2,1,2,2,0,0,0,0
2,267349,0,0,38,5,0,0,2,1,6,0,1,1,1,9,1
2,267350,3,1,75,4,0,0,2,1,6,0,1,3,0,2,1
3,265349,0,0,38,5,0,0,2,1,6,0,1,1,1,9,1
3,265350,3,1,76,4,0,0,2,1,6,0,1,3,0,4,1
4,205349,0,0,38,0,0,0,2,1,6,0,1,1,1,17,1
4,205350,1,1,36,0,0,0,2,1,6,0,1,1,2,0,1
5,265743,0,0,38,5,0,0,2,1,9,0,1,1,1,11,1
6,229344,0,0,38,5,0,0,2,1,9,0,1,1,1,17,1
7,265743,0,1,55,4,0,0,2,1,7,0,1,1,1,9,1
8,207349,0,0,38,5,0,0,2,1,6,0,1,1,2,9,1
8,207350,3,1,75,4,0,0,2,1,6,0,1,3,0,5,1
9,229344,0,0,38,5,0,0,2,1,9,0,1,1,1,9,1
9,229345,7,0,36,5,0,0,2,1,6,0,1,1,2,8,1
10,229340,0,0,38,0,0,0,2,1,6,0,1,1,1,99,1
10,229341,1,1,36,0,0,0,2,1,6,0,1,1,2,15,1
10,229342,2,0,4,5,0,0,0,1,0,0,1,0,0,0,0
10,229343,2,1,4,5,0,0,0,1,0,0,1,0,0,0,0
11,267349,0,0,38,0,0,0,2,1,6,0,1,1,1,99,1
11,267350,1,1,35,0,0,0,2,1,6,0,1,3,2,0,1
11,267351,2,0,4,5,0,0,0,1,0,0,1,0,0,0,0
11,267352,3,1,75,4,0,0,2,1,0,0,1,3,0,3,1
12,229354,0,1,81,0,0,0,2,1,6,0,1,3,0,5,1
12,229355,1,0,76,0,0,0,2,1,6,0,1,3,0,5,1
13,265743,0,0,38,5,0,0,2,1,9,0,1,1,1,9,1
14,229344,0,0,38,5,0,0,2,1,6,0,1,1,1,17,1
15,207349,0,0,38,0,0,0,2,1,6,0,1,1,2,7,1
15,207350,1,1,36,0,0,0,2,1,6,0,1,1,2,0,1
16,267349,0,0,38,5,0,0,2,1,6,0,1,1,1,99,1
16,267350,3,1,75,4,0,0,2,1,6,0,1,3,0,4,1
17,267349,0,0,38,0,0,0,2,1,6,0,1,1,1,99,1
17,267350,1,1,35,0,0,0,2,1,6,0,1,3,2,0,1
17,267351,2,0,4,5,0,0,0,1,0,0,1,0,0,0,0
17,267352,3,1,77,4,0,0,2,1,0,0,1,3,2,9,1
18,267349,0,0,38,0,0,0,2,1,6,0,1,1,1,9,1
18,267350,1,1,35,0,0,0,2,1,6,0,1,3,2,0,1
18,267351,2,0,4,5,0,0,0,1,0,0,1,0,0,0,0
18,267352,3,1,75,4,0,0,2,1,0,0,1,3,0,5,1
19,267349,0,0,38,0,0,0,2,1,6,0,1,1,1,9,1
19,267350,1,1,35,0,0,0,2,1,6,0,1,3,2,0,1
19,267351,2,0,4,5,0,0,0,1,0,0,1,0,0,0,0
19,267352,3,1,75,4,0,0,2,1,0,0,1,3,0,5,2
20,267349,0,0,38,5,0,0,2,1,6,0,1,1,1,9,1
20,267350,3,1,75,4,0,0,2,1,6,0,1,3,0,5,1
21,265749,0,0,38,5,0,0,2,1,6,0,1,1,1,5,1
21,265750,3,1,41,0,0,0,2,1,6,0,1,1,2,5,1
21,265751,2,0,31,5,0,0,2,1,6,0,1,2,2,5,1
22,207349,0,0,38,0,0,0,2,1,6,0,1,1,2,99,1
22,207350,1,1,35,0,0,0,2,1,6,0,1,3,0,0,1
22,207351,2,0,4,5,0,0,0,1,0,0,1,0,0,0,0
22,207352,2,0,5,5,0,0,2,2,1,2,2,0,0,0,0
23,67327,0,0,62,0,0,0,2,1,7,0,1,1,2,9,1
23,67328,1,1,62,0,0,0,2,1,7,0,1,3,2,0,1
24,267349,0,0,38,5,0,0,2,1,6,0,1,1,2,9,1
24,267350,3,1,75,4,0,0,2,1,6,0,1,3,0,0,1
25,229354,0,0,31,5,0,0,2,1,6,0,1,1,1,7,1
25,229355,3,1,76,4,0,0,2,1,6,0,1,3,2,15,1
26,229340,0,0,38,5,0,0,2,1,9,0,1,1,1,9,1
27,229344,0,0,38,5,0,0,2,1,6,0,1,1,1,9,1
28,207349,0,0,38,5,0,0,2,1,6,0,1,1,2,9,1
28,207350,7,0,35,5,0,0,2,2,7,6,2,1,2,6,1
29,201349,0,0,27,5,0,0,2,1,6,0,1,1,2,5,1
29,201350,7,0,35,5,0,0,2,2,7,6,2,1,2,3,1
30,229360,0,0,24,0,0,0,2,1,7,0,1,1,2,9,1
30,229361,1,1,22,0,0,0,2,2,7,6,2,1,2,3,1
31,27049,0,0,37,5,0,0,2,1,6,0,1,1,2,17,1
31,27050,2,0,11,5,0,0,2,2,2,4,2,0,0,0,0
32,229354,0,0,37,0,0,0,2,1,6,0,1,1,1,5,1
32,229355,1,1,35,0,0,0,2,2,7,6,2,1,2,0,1
32,229356,2,0,11,5,0,0,2,2,2,4,2,0,0,0,0
33,267349,0,0,38,5,0,0,2,1,6,0,1,1,1,99,1
33,267350,3,1,75,4,0,0,2,1,6,0,1,3,0,5,1
34,207423,0,0,44,0,0,0,2,1,7,0,1,1,2,99,1
34,207424,1,1,37,0,0,0,2,1,7,0,1,1,2,5,1
34,207425,2,0,4,5,0,0,0,1,0,0,1,0,0,0,0
34,207426,2,0,7,5,0,0,2,2,1,3,2,0,0,0,0
35,267349,0,0,38,5,0,0,2,1,6,0,1,1,1,9,1
35,267350,1,1,35,0,7,0,2,1,6,0,1,1,2,3,1
35,267351,2,0,4,5,7,0,0,1,0,0,1,0,0,0,0
35,267352,3,1,75,4,0,0,2,1,0,0,1,3,0,9,2
36,256344,0,0,37,5,0,0,2,1,4,0,1,1,1,9,2
37,267349,0,0,38,0,0,0,2,1,6,0,1,1,1,99,1
37,267350,1,1,35,0,0,0,2,1,6,0,1,3,2,0,1
37,267351,2,0,4,5,0,0,0,1,0,0,1,0,0,0,0
37,267352,2,0,5,5,0,0,2,2,1,2,2,0,0,0,0
38,207349,0,0,38,5,0,0,2,1,6,0,1,1,2,99,1
38,207350,3,1,75,4,0,0,2,1,6,0,1,3,0,4,1
39,267349,0,0,38,5,0,0,2,1,6,0,1,1,1,9,1
39,267350,3,1,75,4,0,0,2,1,6,0,1,3,0,5,1
40,229354,0,1,81,0,0,0,2,1,6,0,1,3,0,5,1
40,229355,1,0,76,0,0,0,2,1,6,0,1,3,0,19,1
41,229354,0,1,81,0,0,0,2,1,6,0,1,3,0,5,1
41,229355,1,0,76,0,0,0,2,1,6,0,1,3,0,19,1
42,229340,0,0,38,0,0,0,2,1,2,0,1,1,1,99,1
42,229341,1,1,36,0,0,0,2,1,6,0,1,1,1,0,1
42,229342,2,0,4,5,0,0,0,1,0,0,1,0,0,0,0
42,229343,2,1,5,5,0,0,2,2,1,2,2,0,0,0,0
43,229354,0,1,81,0,0,0,2,1,6,0,1,3,0,5,1
43,229355,1,0,76,0,0,0,2,1,6,0,1,3,0,0,1
44,229334,0,0,37,5,0,0,2,1,9,0,1,1,1,9,1
44,229335,3,1,70,3,0,0,2,1,6,0,1,3,2,8,1
45,229354,0,1,85,0,0,0,2,1,6,0,1,3,0,5,1
45,229355,1,0,76,0,0,0,2,1,6,0,1,3,0,19,1
46,207349,0,0,38,5,0,0,2,1,6,0,1,1,2,5,1
46,207350,3,1,76,3,0,0,2,1,6,0,1,3,0,0,1
47,64157,0,0,50,0,0,0,2,1,9,0,1,1,1,9,1
47,64158,1,1,39,0,0,0,2,1,7,0,1,3,2,3,1
47,64159,2,0,13,5,0,0,2,2,2,4,2,0,0,0,0
47,64160,2,0,12,5,0,0,2,2,2,4,2,0,0,0,0
48,207422,0,0,54,4,0,0,2,1,7,0,1,1,2,7,1
48,207423,3,1,85,0,0,0,2,1,7,0,1,3,0,5,1
49,265349,0,0,38,0,0,0,2,1,6,0,1,1,1,9,1
49,265350,1,1,35,0,0,0,2,1,6,0,1,3,2,0,1
49,265351,2,0,4,5,0,0,0,1,0,0,1,0,0,0,0
49,265352,3,1,85,4,0,0,2,1,0,0,1,3,0,3,1
50,267349,0,0,38,0,0,0,2,1,6,0,1,1,1,99,1
50,267350,1,1,35,0,0,0,2,1,6,0,1,3,2,0,1
50,267351,2,0,4,5,0,0,0,1,0,0,1,0,0,0,0
50,267352,3,1,85,4,0,0,2,1,0,0,1,3,0,5,2
51,229354,0,1,81,0,0,0,2,1,6,0,1,3,0,5,1
51,229355,1,0,76,0,0,0,2,1,6,0,1,3,0,19,1
52,229340,0,0,24,5,0,0,2,1,7,0,1,1,2,9,1
53,207349,0,0,38,5,0,0,2,1,6,0,1,1,2,9,1
53,207350,3,1,75,3,0,0,2,1,6,0,1,3,0,5,1
54,207349,0,0,38,0,0,0,2,1,6,0,1,1,2,5,1
54,207350,1,1,35,0,0,0,2,1,6,0,1,1,2,15,1
55,229354,0,1,81,0,0,0,2,1,6,0,1,3,0,5,1
55,229355,1,0,76,0,0,0,2,1,6,0,1,3,0,5,1
56,229360,0,0,31,5,0,0,2,1,9,0,1,1,1,7,1
57,207349,0,0,38,0,0,0,2,1,6,0,1,1,2,7,1
57,207350,1,1,35,0,0,0,2,1,6,0,1,1,2,2,1
58,229344,0,0,38,5,0,0,2,1,9,0,1,1,1,9,1
59,287344,0,0,38,0,7,0,2,1,6,0,1,1,1,99,2
59,287345,1,1,35,0,7,0,2,1,6,0,1,3,2,0,1
59,287346,2,0,4,5,7,0,0,1,0,0,1,0,0,0,0
59,287347,2,1,7,5,7,0,2,2,1,3,2,0,0,0,0
60,229344,0,0,38,5,0,0,2,1,6,0,1,1,1,9,1
61,28180,0,0,41,5,0,0,2,1,7,0,1,1,1,9,1
61,28181,7,1,35,5,0,0,2,1,6,0,1,1,1,7,1
61,28182,7,1,42,5,0,0,2,1,6,0,1,3,2,0,1
62,229360,0,0,31,5,0,0,2,1,6,0,1,1,1,7,1
63,229354,0,0,31,5,0,0,2,1,6,0,1,1,1,7,1
63,229355,3,1,76,3,0,0,2,1,6,0,1,3,2,10,1
64,229360,0,0,31,5,0,0,2,1,6,0,1,1,1,7,1
65,269344,0,0,38,5,0,0,2,1,9,0,1,1,1,9,1
65,269345,7,0,35,5,0,0,2,1,7,0,1,1,2,8,1
66,229354,0,1,85,0,0,0,2,1,6,0,1,3,0,5,1
66,229355,1,0,76,0,0,0,2,1,6,0,1,3,0,8,1
67,267349,0,0,38,0,0,0,2,1,6,0,1,1,1,9,1
67,267350,1,1,35,0,0,0,2,1,6,0,1,3,2,0,1
67,267351,2,0,4,5,0,0,0,1,0,0,1,0,0,0,0
67,267352,2,0,5,5,0,0,2,2,1,2,2,0,0,0,0
68,229344,0,0,38,5,0,0,2,1,9,0,1,1,1,17,1
69,207349,0,0,38,5,0,0,2,1,6,0,1,1,2,5,1
69,207350,3,1,72,0,0,0,2,1,6,0,1,3,0,0,1
70,235949,0,0,38,0,0,0,2,1,6,0,1,1,1,19,1
70,235950,1,1,39,0,7,0,2,1,7,0,1,1,2,9,1
70,235951,2,0,4,5,7,0,0,1,1,0,1,0,0,0,0
70,235952,2,0,5,5,7,0,2,2,1,2,2,0,0,0,0
71,229340,0,0,38,0,0,0,2,1,2,0,1,1,1,99,1
71,229341,1,1,36,0,0,0,2,1,6,0,1,1,2,7,1
71,229342,2,0,4,5,0,0,0,1,0,0,1,0,0,0,0
71,229343,2,1,5,5,0,0,2,2,1,2,2,0,0,0,0
72,207349,0,0,38,5,0,0,2,1,6,0,1,1,2,6,1
72,207350,4,1,35,5,0,0,2,1,7,0,1,1,2,1,1
73,229340,0,0,38,0,0,0,2,1,9,0,1,1,1,99,1
73,229341,1,1,36,0,0,0,2,1,6,0,1,1,1,0,1
73,229342,2,0,4,5,0,0,0,1,0,0,1,0,0,0,0
73,229343,2,1,5,5,0,0,2,2,1,1,2,0,0,0,0
74,229340,0,0,38,5,0,0,2,1,6,0,1,1,1,99,1
75,229340,0,0,38,5,0,0,2,1,9,0,1,1,1,99,1
76,229360,0,0,24,0,0,0,2,1,7,0,1,1,2,3,1
76,229361,1,1,28,0,0,0,2,2,7,6,2,1,2,9,1
77,235949,0,0,38,0,0,0,2,1,6,0,1,1,1,15,1
77,235950,1,1,39,0,0,0,2,1,7,0,1,1,1,9,2
77,235951,2,0,4,5,0,0,0,1,0,0,1,0,0,0,0
77,235952,2,0,5,5,0,0,2,2,1,2,2,0,0,0,0
78,265743,0,1,55,4,0,0,2,1,7,0,1,1,1,15,1
79,229354,0,1,81,0,0,0,2,1,6,0,1,3,0,5,1
79,229355,1,0,76,0,0,0,2,1,6,0,1,3,0,19,1
80,229354,0,1,81,0,0,0,2,1,6,0,1,3,0,5,1
80,229355,1,0,76,0,0,0,2,1,6,0,1,3,0,4,1
81,227944,0,0,38,0,0,0,2,1,6,0,1,1,1,99,2
81,227945,1,1,34,0,0,0,2,1,6,0,1,3,2,0,1
81,227946,2,0,4,5,0,0,0,1,0,0,1,0,0,0,0
82,215349,0,0,38,5,0,0,2,1,6,0,1,1,1,9,1
82,215350,2,0,9,5,0,0,2,2,1,3,2,0,0,0,0
83,235911,0,0,41,0,5,2,4,1,6,0,1,1,2,9,1
83,235912,1,1,34,0,5,2,3,1,6,0,1,3,2,0,1
83,235913,2,1,15,5,5,0,2,2,3,5,2,0,0,0,0
83,235914,2,0,13,5,5,0,2,2,2,4,2,0,0,0,0
83,235915,3,1,71,5,5,3,1,1,0,0,1,3,2,3,1
84,229380,0,0,24,5,0,0,2,1,7,0,1,1,2,7,1
84,229381,7,0,25,5,0,0,2,2,7,6,2,1,2,9,1
85,267349,0,0,38,0,0,0,2,1,6,0,1,1,1,9,1
85,267350,1,1,35,0,0,0,2,1,6,0,1,3,0,0,1
85,267351,2,0,4,5,0,0,0,1,0,0,1,0,0,0,0
