household_id,FARM,OWNERSHP,ACREHOUS,TAXINCL,PROPINSR,COSTELEC,VALUEH,ROOMS,PLUMBING,PUMA
0,0,1,1,2,59,8,22,7,2,207
1,0,1,1,1,0,12,4,3,2,216
2,0,2,1,0,0,12,99,6,2,32
3,0,1,1,1,40,4,35,6,2,148
4,0,2,0,0,0,10,99,5,2,150
5,0,2,1,0,0,5,99,2,2,208
6,0,2,0,0,0,99,99,3,2,202
7,0,0,0,0,0,0,99,0,0,46
8,0,1,1,1,40,10,22,7,2,165
9,0,1,1,2,59,6,16,7,2,164
10,0,1,1,1,23,4,1,4,2,18
11,0,2,0,0,0,5,99,4,2,77
12,0,2,1,0,0,5,99,4,2,61
13,0,1,1,0,59,7,45,6,2,74
14,0,1,1,2,40,7,35,7,2,62
15,0,2,0,0,0,7,99,2,2,70
16,0,1,1,1,40,10,87,9,2,68
17,0,1,1,2,54,10,16,5,2,211
18,0,1,1,1,59,12,62,6,2,38
19,0,2,0,0,0,4,99,4,2,205
20,0,1,1,2,36,12,11,3,2,96
21,0,1,1,2,59,7,27,3,2,197
22,0,1,1,2,50,5,27,5,2,11
23,0,2,0,0,0,4,99,6,2,229
24,0,2,1,0,0,18,99,5,2,25
25,0,1,1,2,40,3,13,6,2,64
26,0,2,0,0,0,12,99,3,2,135
27,0,1,1,2,40,5,9,5,2,87
28,0,1,1,2,48,5,16,3,2,188
29,0,1,1,2,35,12,27,9,2,204
30,0,2,0,0,0,1,99,1,2,4
31,0,1,1,1,59,7,27,7,2,197
32,0,1,1,2,35,7,8,5,2,60
33,0,2,0,0,0,3,99,3,2,133
34,0,2,1,0,0,12,99,7,2,65
35,0,1,1,2,36,8,35,5,2,203
36,0,1,1,1,50,5,22,6,2,194
37,0,2,0,0,0,12,99,2,2,96
38,0,1,1,1,59,7,11,3,2,197
39,0,2,1,0,0,12,99,4,2,2
40,0,1,1,0,59,4,13,6,2,118
41,0,2,0,0,0,0,99,4,2,178
42,0,2,1,0,0,12,99,8,2,202
43,0,2,0,0,0,3,99,4,2,222
44,0,1,1,2,59,6,27,7,2,120
45,0,1,1,0,59,10,27,8,2,87
46,0,1,1,2,59,7,8,6,2,213
47,0,1,1,1,30,9,35,6,2,209
48,0,2,0,0,0,99,99,3,2,133
49,0,2,0,0,0,3,99,4,2,123
50,0,1,1,2,40,3,11,3,2,188
51,0,2,1,0,0,4,99,2,2,166
52,0,2,0,0,0,7,99,4,2,203
53,0,1,1,2,46,5,11,3,2,111
54,0,2,0,0,0,4,99,4,2,66
55,0,1,1,1,40,3,35,6,2,155
56,0,1,1,2,40,10,13,6,2,63
57,0,1,1,2,16,5,18,5,2,221
58,0,2,0,0,0,2,99,3,2,87
59,0,2,0,0,0,0,99,2,2,208
60,0,2,1,0,0,11,99,6,2,171
61,0,1,1,2,59,12,35,7,2,205
62,0,2,0,0,0,3,99,2,2,146
63,0,2,0,0,0,15,99,6,2,71
64,0,1,1,2,59,10,13,7,2,110
65,0,1,1,2,53,7,8,5,2,110
66,0,1,1,1,59,6,45,9,2,227
67,0,1,1,1,59,10,16,5,2,163
68,0,2,0,0,0,0,99,4,2,80
69,0,1,1,0,59,8,45,6,2,130
